Subject:	S212
Project:	glassroutes
Time:	2015-01-30_11-36-10

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
148	41784.188	2987.060	0;baselinestart;1422635787524;	0	baselinestart	1422635787524	
501	41814.159	3017.013	0;baselineend;1422635817526;	0	baselineend	1422635817526	
508	41814.680	3017.580	15;easystart;1422635818029	15	easystart	1422635818029	
867	41845.170	3048.016	15;easy;1422635848548	15	easy	1422635848548	
873	41845.677	3048.562	10;passed;1422635849049	10	passed	1422635849049	
1021	41858.179	3061.081	16;hardstart;1422635861550	16	hardstart	1422635861550	
1381	41888.700	3091.623	16;hard;1422635892072	16	hard	1422635892072	
1387	41889.251	3092.147	10;passed;1422635892574	10	passed	1422635892574	
1535	41901.788	3104.688	15;easystart;1422635905074	15	easystart	1422635905074	
1892	41932.224	3134.955	15;easy;1422635935597	15	easy	1422635935597	
1900	41932.742	3135.670	10;passed;1422635936098	10	passed	1422635936098	
2047	41945.210	3148.104	16;hardstart;1422635948599	16	hardstart	1422635948599	
2407	41975.777	3178.668	16;hard;1422635979121	16	hard	1422635979121	
2413	41976.236	3179.171	10;passed;1422635979622	10	passed	1422635979622	
2561	41988.729	3191.712	15;easystart;1422635992122	15	easystart	1422635992122	
2920	42019.263	3222.189	15;easy;1422636022640	15	easy	1422636022640	
2927	42019.809	3222.757	10;passed;1422636023140	10	passed	1422636023140	
3073	42032.264	3235.128	15;easystart;1422636035641	15	easystart	1422636035641	
3434	42062.817	3265.775	15;easy;1422636066159	15	easy	1422636066159	
3440	42063.300	3266.258	10;passed;1422636066660	10	passed	1422636066660	
3587	42075.844	3278.755	15;easystart;1422636079161	15	easystart	1422636079161	
3947	42106.318	3309.276	15;easy;1422636109682	15	easy	1422636109682	
3953	42106.830	3309.780	10;passed;1422636110184	10	passed	1422636110184	
4100	42119.248	3322.279	16;hardstart;1422636122684	16	hardstart	1422636122684	
4460	42149.819	3352.799	16;hard;1422636153203	16	hard	1422636153203	
4467	42150.401	3353.366	10;passed;1422636153704	10	passed	1422636153704	
4613	42162.789	3365.779	15;easystart;1422636166205	15	easystart	1422636166205	
4974	42193.377	3396.383	15;easy;1422636196728	15	easy	1422636196728	
4979	42193.794	3396.803	10;passed;1422636197229	10	passed	1422636197229	
5126	42206.341	3409.282	16;hardstart;1422636209730	16	hardstart	1422636209730	
5487	42236.901	3439.886	16;hard;1422636240253	16	hard	1422636240253	
5493	42237.443	3440.431	10;passed;1422636240753	10	passed	1422636240753	
5640	42249.888	3452.887	15;easystart;1422636253255	15	easystart	1422636253255	
6000	42280.331	3483.407	15;easy;1422636283776	15	easy	1422636283776	
6005	42280.886	3483.848	10;passed;1422636284277	10	passed	1422636284277	
6301	42305.926	3508.929	15;easystart;1422636309278	15	easystart	1422636309278	
6660	42336.422	3539.407	15;easy;1422636339798	15	easy	1422636339798	
6667	42336.994	3539.974	10;passed;1422636340300	10	passed	1422636340300	
6814	42349.439	3552.429	16;hardstart;1422636352801	16	hardstart	1422636352801	
7174	42379.928	3582.992	16;hard;1422636383321	16	hard	1422636383321	
7180	42380.478	3583.497	10;passed;1422636383822	10	passed	1422636383822	
7327	42392.878	3595.995	16;hardstart;1422636396323	16	hardstart	1422636396323	
7687	42423.497	3626.515	16;hard;1422636426843	16	hard	1422636426843	
7693	42423.933	3626.998	10;passed;1422636427343	10	passed	1422636427343	
7840	42436.404	3639.495	15;easystart;1422636439844	15	easystart	1422636439844	
8201	42467.024	3670.100	15;easy;1422636470360	15	easy	1422636470360	
8206	42467.489	3670.500	10;passed;1422636470862	10	passed	1422636470862	
8353	42479.978	3683.018	15;easystart;1422636483363	15	easystart	1422636483363	
8713	42510.498	3713.539	15;easy;1422636513886	15	easy	1422636513886	
8720	42511.060	3714.105	10;passed;1422636514387	10	passed	1422636514387	
8866	42523.464	3726.519	15;easystart;1422636526888	15	easystart	1422636526888	
9227	42554.058	3757.124	15;easy;1422636557406	15	easy	1422636557406	
9232	42554.491	3757.524	10;passed;1422636557907	10	passed	1422636557907	
9380	42567.053	3770.105	16;hardstart;1422636570408	16	hardstart	1422636570408	
9740	42597.599	3800.624	16;hard;1422636600930	16	hard	1422636600930	
9746	42598.108	3801.150	10;passed;1422636601431	10	passed	1422636601431	
9894	42610.566	3813.690	16;hardstart;1422636613932	16	hardstart	1422636613932	
10254	42641.105	3844.211	16;hard;1422636644452	16	hard	1422636644452	
10259	42641.569	3844.672	10;passed;1422636644953	10	passed	1422636644953	
10407	42654.153	3857.213	16;hardstart;1422636657454	16	hardstart	1422636657454	
10766	42684.565	3887.648	16;hard;1422636687976	16	hard	1422636687976	
10772	42685.033	3888.174	10;passed;1422636688477	10	passed	1422636688477	
10921	42697.699	3900.797	16;hardstart;1422636700979	16	hardstart	1422636700979	
11280	42728.204	3931.234	16;hard;1422636731497	16	hard	1422636731497	
11286	42728.617	3931.780	10;passed;1422636731999	10	passed	1422636731999	
11581	42753.680	3956.797	16;hardstart;1422636756999	16	hardstart	1422636756999	
11941	42784.172	3987.337	16;hard;1422636787518	16	hard	1422636787518	
11946	42784.588	3987.737	10;passed;1422636788020	10	passed	1422636788020	
12094	42797.224	4000.319	15;easystart;1422636800520	15	easystart	1422636800520	
12454	42827.690	4030.840	15;easy;1422636831040	15	easy	1422636831040	
12459	42828.102	4031.238	10;passed;1422636831541	10	passed	1422636831541	
12607	42840.735	4043.821	15;easystart;1422636844042	15	easystart	1422636844042	
12967	42871.217	4074.342	15;easy;1422636874562	15	easy	1422636874562	
12972	42871.675	4074.761	10;passed;1422636875063	10	passed	1422636875063	
13121	42884.241	4087.406	15;easystart;1422636887564	15	easystart	1422636887564	
13480	42914.692	4117.843	15;easy;1422636918084	15	easy	1422636918084	
13486	42915.262	4118.388	10;passed;1422636918585	10	passed	1422636918585	
13634	42927.724	4130.929	16;hardstart;1422636931085	16	hardstart	1422636931085	
13994	42958.271	4161.450	16;hard;1422636961604	16	hard	1422636961604	
13999	42958.740	4161.890	10;passed;1422636962105	10	passed	1422636962105	
14147	42971.312	4174.430	16;hardstart;1422636974606	16	hardstart	1422636974606	
14507	43001.806	4204.950	16;hard;1422637005128	16	hard	1422637005128	
14513	43002.282	4205.475	10;passed;1422637005629	10	passed	1422637005629	
14660	43014.693	4217.930	16;hardstart;1422637018130	16	hardstart	1422637018130	
15020	43045.290	4248.472	16;hard;1422637048649	16	hard	1422637048649	
15025	43045.755	4248.914	10;passed;1422637049151	10	passed	1422637049151	
15173	43058.290	4261.454	15;easystart;1422637061652	15	easystart	1422637061652	
15532	43088.736	4291.890	15;easy;1422637092168	15	easy	1422637092168	
15539	43089.299	4292.499	10;passed;1422637092669	10	passed	1422637092669	
15686	43101.764	4304.954	16;hardstart;1422637105170	16	hardstart	1422637105170	
16046	43132.309	4335.517	16;hard;1422637135690	16	hard	1422637135690	
16053	43132.826	4336.085	10;passed;1422637136190	10	passed	1422637136190	
