S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
-0.32359,-0.43977,-0.50538,-0.56334,-0.54169,-0.53695,-0.66784,-0.84657,-0.27135,-0.35436,-0.40276,-0.50696,-0.21971,-0.31286,-0.36825,-0.48917,-0.016484,-0.023235,-0.025941,-0.032349,-0.018157,-0.015704,-0.016285,-0.021957,-0.00034859,-0.0067145,-0.0030751,-0.0079332,-0.0077624,-0.014025,-0.01518,-0.024834,15
-0.40197,-0.45574,-0.53756,-0.6008,-0.1073,-0.099477,-0.037482,0.0056851,-0.079585,-0.010552,-0.029629,0.00835,-0.25979,-0.32947,-0.42225,-0.49424,-0.024155,-0.029338,-0.036541,-0.042839,0.00069714,0.0025169,0.011223,0.017827,-0.0012858,0.0041865,0.006092,0.0084622,-0.016804,-0.020741,-0.025845,-0.031954,15
-0.19376,-0.20363,-0.23041,-0.24485,0.021425,0.056095,0.088322,0.095186,0.31209,0.40977,0.46025,0.45965,-0.20166,-0.24723,-0.25925,-0.22254,-0.018124,-0.018766,-0.021564,-0.022984,0.014087,0.017813,0.025341,0.031133,0.025553,0.035077,0.039391,0.039469,-0.024943,-0.029265,-0.030755,-0.025788,15
-0.18747,-0.22191,-0.31942,-0.37298,-0.60425,-0.54034,-0.55444,-0.58589,-0.25179,-0.21869,-0.14793,-0.081308,0.083253,-0.0068127,-0.083082,-0.24793,-0.01753,-0.019639,-0.026146,-0.029773,-0.035609,-0.030748,-0.02815,-0.028014,-0.027808,-0.025583,-0.022956,-0.019467,-0.0087062,-0.014915,-0.018172,-0.025739,15
-0.40679,-0.40149,-0.41705,-0.44211,-0.50305,-0.45378,-0.50059,-0.51849,-0.27258,-0.25672,-0.23602,-0.2757,-0.32364,-0.35904,-0.32904,-0.37474,-0.024423,-0.023402,-0.025765,-0.029868,-0.021739,-0.019138,-0.019633,-0.02132,-0.0058125,-0.0031183,0.0038548,0.0050094,-0.024008,-0.029967,-0.028809,-0.030709,15
0.19717,0.19312,0.2426,0.32475,0.070562,0.029053,-0.062494,-0.023311,0.15315,0.14965,0.13072,0.19664,0.090188,0.13935,0.13983,0.19852,-0.011144,-0.011584,-0.010873,-0.0062921,-0.023097,-0.02441,-0.0341,-0.037344,-0.01164,-0.010584,-0.014271,-0.010606,-0.0099865,-0.0093897,-0.010486,-0.0080076,15
-0.12219,-0.088793,-0.041555,0.027108,-0.41769,-0.4083,-0.49015,-0.56197,-0.21842,-0.24413,-0.32272,-0.27132,0.039788,0.058467,0.077359,0.15026,-0.043405,-0.045959,-0.050025,-0.053669,-0.039863,-0.039778,-0.046786,-0.054952,-0.029344,-0.026715,-0.032661,-0.028245,-0.033553,-0.035144,-0.035717,-0.032689,15
-1.2847,-1.3006,-1.3182,-1.2811,-1.2161,-1.2491,-1.4423,-1.4764,-1.3544,-1.3683,-1.7451,-1.883,-0.86556,-0.85569,-0.9639,-1.0078,-0.09403,-0.097336,-0.10517,-0.11272,-0.069417,-0.070139,-0.07979,-0.0865,-0.089905,-0.090179,-0.10843,-0.1157,-0.075156,-0.07945,-0.085645,-0.090286,15
-0.61163,-0.7396,-0.91258,-1.0513,-0.8394,-0.80821,-0.79877,-0.78272,-0.59784,-0.54111,-0.64725,-0.62196,-0.20878,-0.31452,-0.48121,-0.65541,-0.032675,-0.040688,-0.049325,-0.055506,-0.039455,-0.038075,-0.035542,-0.035133,-0.029451,-0.027526,-0.03443,-0.034019,-0.015312,-0.02132,-0.028023,-0.035624,15
-0.4218,-0.50871,-0.59376,-0.60556,-0.43952,-0.4637,-0.5262,-0.48804,-0.37997,-0.31092,-0.36269,-0.40655,-0.15121,-0.20653,-0.26363,-0.35903,-0.032449,-0.037144,-0.039464,-0.036204,-0.030903,-0.032773,-0.036323,-0.033727,-0.023683,-0.019792,-0.027872,-0.033748,-0.016869,-0.019242,-0.020411,-0.023532,15
