rr_interval,condition
620,hard
620,hard
624,hard
628,hard
616,hard
620,hard
632,hard
624,hard
624,hard
616,hard
628,hard
624,hard
628,hard
624,hard
636,hard
648,hard
632,hard
640,hard
636,hard
648,hard
648,hard
668,hard
644,hard
648,hard
660,hard
656,hard
656,hard
656,hard
664,hard
684,hard
668,hard
660,hard
668,hard
676,hard
680,hard
664,hard
652,hard
672,hard
668,hard
656,hard
652,hard
648,hard
656,hard
672,hard
660,hard
652,hard
672,hard
684,hard
688,hard
692,hard
692,hard
684,hard
688,hard
680,hard
684,hard
664,hard
680,hard
664,hard
660,hard
636,hard
644,hard
636,hard
652,hard
644,hard
644,hard
672,hard
664,hard
656,hard
648,hard
656,hard
648,hard
648,hard
632,hard
640,hard
640,hard
640,hard
636,hard
636,hard
648,hard
648,hard
644,hard
648,hard
640,hard
652,hard
656,hard
660,hard
668,hard
676,hard
680,hard
676,hard
672,hard
672,hard
692,hard
688,hard
676,hard
684,hard
684,hard
684,hard
680,hard
664,hard
688,hard
696,hard
704,hard
692,hard
668,hard
680,hard
680,hard
660,hard
668,hard
676,hard
680,hard
692,hard
680,hard
672,hard
684,hard
680,hard
692,hard
668,hard
676,hard
684,hard
660,hard
664,hard
648,hard
648,hard
640,hard
632,hard
652,hard
676,hard
664,hard
672,hard
684,hard
680,hard
684,hard
676,hard
672,hard
664,hard
660,hard
656,hard
684,easy
680,easy
660,easy
664,easy
688,easy
672,easy
676,easy
664,easy
664,easy
680,easy
680,easy
672,easy
652,easy
664,easy
664,easy
660,easy
656,easy
652,easy
680,easy
680,easy
672,easy
672,easy
688,easy
700,easy
684,easy
664,easy
672,easy
676,easy
660,easy
664,easy
652,easy
660,easy
668,easy
672,easy
680,easy
664,easy
684,easy
676,easy
676,easy
664,easy
676,easy
668,easy
676,easy
660,easy
680,easy
672,easy
692,easy
704,easy
684,easy
668,easy
680,easy
692,easy
696,easy
684,easy
668,easy
668,easy
672,easy
672,easy
668,easy
668,easy
680,easy
696,easy
724,easy
696,easy
688,easy
712,easy
704,easy
704,easy
688,easy
676,easy
692,easy
684,easy
676,easy
664,easy
656,easy
680,easy
668,easy
664,easy
652,easy
664,easy
692,easy
688,easy
680,easy
684,easy
716,easy
700,easy
676,easy
668,easy
672,easy
680,easy
676,easy
696,easy
680,easy
700,easy
704,easy
700,easy
684,easy
680,easy
700,easy
700,easy
692,easy
672,easy
676,easy
684,easy
688,easy
692,easy
680,easy
704,easy
716,easy
724,easy
712,easy
704,easy
712,easy
712,easy
700,easy
676,easy
680,easy
684,easy
684,easy
684,easy
696,easy
692,easy
696,easy
708,easy
704,easy
708,easy
724,easy
716,easy
696,easy
704,easy
712,easy
704,easy
728,easy
636,hard
628,hard
636,hard
660,hard
684,hard
700,hard
668,hard
644,hard
636,hard
640,hard
636,hard
624,hard
620,hard
612,hard
640,hard
644,hard
676,hard
660,hard
656,hard
664,hard
664,hard
652,hard
628,hard
632,hard
640,hard
644,hard
656,hard
660,hard
648,hard
652,hard
672,hard
672,hard
656,hard
668,hard
684,hard
672,hard
664,hard
652,hard
672,hard
688,hard
672,hard
676,hard
664,hard
688,hard
704,hard
684,hard
688,hard
672,hard
692,hard
676,hard
680,hard
704,hard
724,hard
716,hard
676,hard
684,hard
688,hard
688,hard
672,hard
664,hard
648,hard
664,hard
668,hard
660,hard
648,hard
648,hard
664,hard
672,hard
676,hard
660,hard
684,hard
676,hard
688,hard
664,hard
672,hard
668,hard
676,hard
660,hard
668,hard
660,hard
656,hard
660,hard
652,hard
660,hard
676,hard
664,hard
672,hard
668,hard
676,hard
668,hard
680,hard
668,hard
680,hard
664,hard
664,hard
668,hard
664,hard
652,hard
660,hard
668,hard
660,hard
648,hard
632,hard
640,hard
628,hard
648,hard
660,hard
636,hard
660,hard
656,hard
652,hard
648,hard
652,hard
656,hard
656,hard
1280,hard
648,hard
648,hard
648,hard
640,hard
656,hard
672,hard
672,hard
676,hard
680,hard
668,hard
676,hard
692,hard
692,hard
676,hard
672,hard
688,hard
708,hard
692,hard
680,hard
688,hard
708,hard
704,hard
688,hard
696,hard
704,hard
704,hard
688,hard
696,hard
704,hard
712,hard
716,hard
688,hard
704,hard
708,hard
716,hard
704,hard
700,hard
704,hard
728,hard
704,hard
696,hard
704,hard
696,hard
692,hard
708,hard
680,hard
696,hard
708,hard
712,hard
708,hard
692,hard
700,hard
704,hard
692,hard
684,hard
684,hard
676,hard
684,hard
672,hard
660,hard
668,hard
696,hard
696,hard
692,hard
660,hard
