Subject:	S201
Project:	glassroutes
Time:	2015-01-19_13-39-46

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
767	49251.624	2009.263	0;baselinestart;1421692851623;	0	baselinestart	1421692851623	
1121	49281.676	2039.300	0;baselineend;1421692881627;	0	baselineend	1421692881627	
1126	49282.122	2039.741	16;hardstart;1421692882130	16	hardstart	1421692882130	
1488	49312.731	2070.429	16;hard;1421692912651	16	hard	1421692912651	
1493	49313.286	2070.849	10;passed;1421692913152	10	passed	1421692913152	
1640	49325.755	2083.347	15;easystart;1421692925653	15	easystart	1421692925653	
2000	49356.268	2113.868	15;easy;1421692956176	15	easy	1421692956176	
2006	49356.719	2114.351	10;passed;1421692956677	10	passed	1421692956677	
2153	49369.232	2126.848	16;hardstart;1421692969177	16	hardstart	1421692969177	
2513	49399.742	2157.369	16;hard;1421692999698	16	hard	1421692999698	
2519	49400.190	2157.914	10;passed;1421693000200	10	passed	1421693000200	
2667	49412.791	2170.434	16;hardstart;1421693012701	16	hardstart	1421693012701	
3027	49443.286	2200.955	16;hard;1421693043224	16	hard	1421693043224	
3032	49443.782	2201.417	10;passed;1421693043724	10	passed	1421693043724	
3180	49456.300	2213.956	15;easystart;1421693056226	15	easystart	1421693056226	
3539	49486.759	2244.392	15;easy;1421693086748	15	easy	1421693086748	
3546	49487.367	2245.001	10;passed;1421693087249	10	passed	1421693087249	
3693	49499.752	2257.458	16;hardstart;1421693099750	16	hardstart	1421693099750	
4053	49530.341	2287.979	16;hard;1421693130269	16	hard	1421693130269	
4059	49530.870	2288.503	10;passed;1421693130770	10	passed	1421693130770	
4207	49543.334	2301.043	15;easystart;1421693143270	15	easystart	1421693143270	
4566	49573.797	2331.479	15;easy;1421693173789	15	easy	1421693173789	
4572	49574.266	2332.025	10;passed;1421693174290	10	passed	1421693174290	
4720	49586.846	2344.564	15;easystart;1421693186791	15	easystart	1421693186791	
5079	49617.381	2375.043	15;easy;1421693217315	15	easy	1421693217315	
5086	49617.860	2375.611	10;passed;1421693217816	10	passed	1421693217816	
5233	49630.399	2388.067	16;hardstart;1421693230317	16	hardstart	1421693230317	
5593	49660.906	2418.629	16;hard;1421693260835	16	hard	1421693260835	
5599	49661.423	2419.111	10;passed;1421693261336	10	passed	1421693261336	
5746	49673.846	2431.567	16;hardstart;1421693273837	16	hardstart	1421693273837	
6106	49704.398	2462.130	16;hard;1421693304358	16	hard	1421693304358	
6112	49704.913	2462.635	10;passed;1421693304859	10	passed	1421693304859	
6259	49717.432	2475.090	16;hardstart;1421693317360	16	hardstart	1421693317360	
6619	49747.969	2505.653	16;hard;1421693347880	16	hard	1421693347880	
6625	49748.393	2506.135	10;passed;1421693348381	10	passed	1421693348381	
6920	49773.484	2531.174	15;easystart;1421693373382	15	easystart	1421693373382	
7280	49803.969	2561.693	15;easy;1421693403900	15	easy	1421693403900	
7286	49804.531	2562.240	10;passed;1421693404402	10	passed	1421693404402	
7433	49816.942	2574.675	16;hardstart;1421693416903	16	hardstart	1421693416903	
7793	49847.495	2605.216	16;hard;1421693447424	16	hard	1421693447424	
7799	49847.993	2605.741	10;passed;1421693447926	10	passed	1421693447926	
7946	49860.470	2618.198	16;hardstart;1421693460426	16	hardstart	1421693460426	
8307	49891.028	2648.801	16;hard;1421693490944	16	hard	1421693490944	
8460	49904.070	2661.782	15;easystart;1421693503946	15	easystart	1421693503946	
8819	49934.494	2692.219	15;easy;1421693534466	15	easy	1421693534466	
8826	49935.054	2692.827	10;passed;1421693534968	10	passed	1421693534968	
8973	49947.455	2705.306	15;easystart;1421693547469	15	easystart	1421693547469	
9333	49978.052	2735.846	15;easy;1421693577986	15	easy	1421693577986	
9339	49978.584	2736.351	10;passed;1421693578486	10	passed	1421693578486	
9486	49990.973	2748.806	16;hardstart;1421693590986	16	hardstart	1421693590986	
9845	50021.559	2779.285	16;hard;1421693621506	16	hard	1421693621506	
9853	50022.110	2779.935	10;passed;1421693622007	10	passed	1421693622007	
9999	50034.537	2792.307	15;easystart;1421693634508	15	easystart	1421693634508	
10360	50065.125	2822.954	15;easy;1421693665025	15	easy	1421693665025	
10366	50065.590	2823.437	10;passed;1421693665526	10	passed	1421693665526	
10513	50078.090	2835.935	16;hardstart;1421693678027	16	hardstart	1421693678027	
10873	50108.625	2866.456	16;hard;1421693708546	16	hard	1421693708546	
10878	50109.096	2866.876	10;passed;1421693709047	10	passed	1421693709047	
11025	50121.608	2879.373	15;easystart;1421693721548	15	easystart	1421693721548	
11386	50152.136	2909.977	15;easy;1421693752070	15	easy	1421693752070	
11392	50152.607	2910.460	10;passed;1421693752571	10	passed	1421693752571	
11538	50165.105	2922.875	15;easystart;1421693765072	15	easystart	1421693765072	
11899	50195.645	2953.480	15;easy;1421693795596	15	easy	1421693795596	
11905	50196.113	2953.983	10;passed;1421693796097	10	passed	1421693796097	
12200	50221.147	2978.999	16;hardstart;1421693821099	16	hardstart	1421693821099	
12559	50251.615	3009.436	16;hard;1421693851620	16	hard	1421693851620	
12565	50252.184	3009.981	10;passed;1421693852121	10	passed	1421693852121	
12713	50264.671	3022.523	15;easystart;1421693864622	15	easystart	1421693864622	
13072	50295.179	3053.001	15;easy;1421693895144	15	easy	1421693895144	
13078	50295.653	3053.484	10;passed;1421693895645	10	passed	1421693895645	
13226	50308.176	3066.023	15;easystart;1421693908146	15	easystart	1421693908146	
13586	50338.688	3096.586	15;easy;1421693938669	15	easy	1421693938669	
13593	50339.247	3097.153	10;passed;1421693939169	10	passed	1421693939169	
13739	50351.717	3109.526	15;easystart;1421693951670	15	easystart	1421693951670	
14099	50382.189	3140.088	15;easy;1421693982192	15	easy	1421693982192	
14105	50382.687	3140.591	10;passed;1421693982693	10	passed	1421693982693	
14252	50395.242	3153.089	15;easystart;1421693995194	15	easystart	1421693995194	
14612	50425.770	3183.609	15;easy;1421694025713	15	easy	1421694025713	
14619	50426.281	3184.176	10;passed;1421694026213	10	passed	1421694026213	
14766	50438.810	3196.675	16;hardstart;1421694038714	16	hardstart	1421694038714	
15126	50469.298	3227.196	16;hard;1421694069235	16	hard	1421694069235	
15133	50469.888	3227.762	10;passed;1421694069737	10	passed	1421694069737	
15279	50482.298	3240.176	15;easystart;1421694082238	15	easystart	1421694082238	
15640	50512.883	3270.801	15;easy;1421694112760	15	easy	1421694112760	
15645	50513.292	3271.200	10;passed;1421694113261	10	passed	1421694113261	
