heart_rate,condition
77,negative
77,negative
77,negative
76,negative
76,negative
75,negative
74,negative
75,negative
76,negative
77,negative
78,negative
80,negative
81,negative
80,negative
80,negative
74,positive
74,positive
74,positive
75,positive
76,positive
76,positive
77,positive
77,positive
77,positive
77,positive
76,positive
75,positive
74,positive
74,positive
74,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
74,positive
75,positive
75,positive
74,positive
72,positive
71,positive
69,neutral
69,neutral
70,neutral
72,neutral
74,neutral
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
73,neutral
74,neutral
75,neutral
75,neutral
76,negative
75,negative
73,negative
72,negative
72,negative
72,negative
73,negative
74,negative
76,negative
76,negative
76,negative
76,negative
75,negative
74,negative
73,negative
63,neutral
62,neutral
63,neutral
63,neutral
65,neutral
66,neutral
67,neutral
68,neutral
68,neutral
68,neutral
68,neutral
67,neutral
67,neutral
66,neutral
66,neutral
71,neutral
72,neutral
72,neutral
72,neutral
72,neutral
72,neutral
73,neutral
74,neutral
76,neutral
78,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
71,neutral
72,neutral
73,neutral
73,neutral
73,neutral
72,neutral
71,neutral
69,neutral
68,neutral
66,neutral
65,neutral
65,neutral
65,neutral
66,neutral
70,neutral
68,neutral
67,neutral
66,neutral
66,neutral
67,neutral
67,neutral
69,neutral
70,neutral
72,neutral
74,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,positive
74,positive
73,positive
73,positive
74,positive
75,positive
76,positive
76,positive
77,positive
78,positive
79,positive
79,positive
79,positive
78,positive
76,positive
75,positive
75,positive
75,positive
76,positive
76,positive
77,positive
77,positive
76,positive
76,positive
75,positive
72,positive
72,positive
71,positive
71,positive
71,positive
70,neutral
69,neutral
69,neutral
69,neutral
70,neutral
71,neutral
72,neutral
72,neutral
73,neutral
73,neutral
73,neutral
72,neutral
71,neutral
69,neutral
69,neutral
66,negative
67,negative
68,negative
70,negative
71,negative
73,negative
74,negative
75,negative
76,negative
76,negative
74,negative
73,negative
72,negative
71,negative
72,negative
73,positive
72,positive
71,positive
71,positive
71,positive
72,positive
74,positive
76,positive
77,positive
78,positive
78,positive
78,positive
77,positive
76,positive
75,positive
71,positive
71,positive
71,positive
71,positive
71,positive
72,positive
72,positive
72,positive
73,positive
74,positive
76,positive
77,positive
79,positive
80,positive
81,positive
81,neutral
82,neutral
82,neutral
81,neutral
80,neutral
79,neutral
78,neutral
74,neutral
71,neutral
70,neutral
69,neutral
69,neutral
69,neutral
70,neutral
72,neutral
70,neutral
68,neutral
67,neutral
67,neutral
67,neutral
68,neutral
70,neutral
71,neutral
72,neutral
73,neutral
73,neutral
73,neutral
73,neutral
72,neutral
79,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
86,negative
87,negative
86,negative
86,negative
86,negative
86,negative
85,negative
85,negative
90,neutral
89,neutral
87,neutral
86,neutral
85,neutral
83,neutral
82,neutral
80,neutral
80,neutral
80,neutral
80,neutral
79,neutral
78,neutral
77,neutral
76,neutral
77,neutral
78,neutral
78,neutral
79,neutral
78,neutral
77,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
72,neutral
71,neutral
70,neutral
70,neutral
70,neutral
69,neutral
69,neutral
69,neutral
69,neutral
70,neutral
70,neutral
70,neutral
69,neutral
69,neutral
70,neutral
70,neutral
71,neutral
73,negative
74,negative
74,negative
74,negative
74,negative
73,negative
73,negative
73,negative
73,negative
74,negative
75,negative
77,negative
78,negative
79,negative
81,negative
80,negative
79,negative
78,negative
78,negative
77,negative
77,negative
77,negative
76,negative
76,negative
75,negative
75,negative
74,negative
74,negative
73,negative
73,negative
72,neutral
73,neutral
73,neutral
74,neutral
75,neutral
76,neutral
78,neutral
79,neutral
79,neutral
79,neutral
77,neutral
76,neutral
76,neutral
75,neutral
75,neutral
76,neutral
78,negative
78,negative
78,negative
79,negative
81,negative
82,negative
83,negative
84,negative
85,negative
86,negative
87,negative
88,negative
89,negative
89,negative
89,negative
88,negative
87,negative
86,negative
85,negative
84,negative
83,negative
83,negative
82,negative
81,negative
80,negative
80,negative
79,negative
78,negative
77,negative
77,negative
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
75,positive
74,positive
74,positive
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
73,neutral
74,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
78,negative
80,negative
81,negative
81,negative
81,negative
80,negative
79,negative
78,negative
77,negative
77,negative
76,negative
76,negative
76,negative
76,negative
76,negative
73,negative
73,negative
73,negative
74,negative
74,negative
74,negative
74,negative
74,negative
74,negative
73,negative
73,negative
73,negative
73,negative
72,negative
72,negative
71,neutral
71,neutral
71,neutral
70,neutral
70,neutral
70,neutral
70,neutral
70,neutral
71,neutral
71,neutral
72,neutral
72,neutral
73,neutral
73,neutral
73,neutral
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
73,positive
73,positive
73,positive
72,positive
73,positive
73,positive
73,positive
74,positive
74,positive
75,positive
75,positive
74,positive
74,positive
74,positive
74,positive
75,positive
74,positive
74,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
74,positive
74,positive
74,positive
75,positive
75,positive
76,positive
78,positive
79,positive
80,positive
81,positive
83,positive
84,positive
85,positive
85,positive
84,positive
85,positive
85,positive
84,positive
82,positive
80,positive
79,positive
77,positive
76,positive
76,positive
75,positive
75,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
83,neutral
84,neutral
85,neutral
86,neutral
86,neutral
87,neutral
87,neutral
86,neutral
86,neutral
85,neutral
85,neutral
85,neutral
85,neutral
83,neutral
82,neutral
81,negative
80,negative
80,negative
81,negative
81,negative
81,negative
81,negative
80,negative
79,negative
79,negative
78,negative
78,negative
77,negative
77,negative
77,negative
77,negative
77,negative
77,negative
78,negative
79,negative
80,negative
80,negative
80,negative
79,negative
77,negative
75,negative
74,negative
72,negative
71,negative
71,negative
71,negative
71,negative
71,negative
71,negative
72,negative
72,negative
71,negative
71,negative
70,negative
70,negative
69,negative
69,negative
69,negative
69,negative
69,negative
71,positive
70,positive
71,positive
70,positive
71,positive
71,positive
71,positive
73,positive
74,positive
75,positive
74,positive
74,positive
73,positive
72,positive
72,positive
73,positive
73,positive
72,positive
72,positive
72,positive
72,positive
72,positive
72,positive
71,positive
71,positive
72,positive
72,positive
72,positive
71,positive
71,positive
78,neutral
79,neutral
79,neutral
79,neutral
80,neutral
80,neutral
80,neutral
80,neutral
79,neutral
78,neutral
77,neutral
76,neutral
75,neutral
74,neutral
73,neutral
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
74,positive
75,positive
76,positive
78,positive
79,positive
80,positive
80,positive
80,positive
77,positive
76,positive
77,positive
78,positive
79,positive
79,positive
79,positive
78,positive
78,positive
77,positive
77,positive
77,positive
77,positive
77,positive
77,positive
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
73,neutral
73,neutral
72,neutral
72,neutral
73,neutral
73,neutral
74,neutral
75,neutral
75,neutral
89,negative
89,negative
90,negative
90,negative
89,negative
88,negative
86,negative
84,negative
82,negative
81,negative
80,negative
80,negative
80,negative
80,negative
80,negative
79,negative
80,negative
80,negative
81,negative
81,negative
81,negative
81,negative
82,negative
82,negative
82,negative
82,negative
82,negative
82,negative
83,negative
83,negative
79,negative
79,negative
78,negative
77,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
75,negative
74,negative
74,negative
73,negative
73,negative
72,positive
72,positive
72,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
70,positive
70,positive
69,positive
71,neutral
71,neutral
72,neutral
72,neutral
72,neutral
72,neutral
72,neutral
72,neutral
72,neutral
71,neutral
72,neutral
72,neutral
73,neutral
73,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
72,neutral
72,neutral
72,neutral
72,positive
72,positive
73,positive
74,positive
75,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
77,positive
78,positive
79,positive
80,positive
84,positive
85,positive
85,positive
84,positive
84,positive
84,positive
84,positive
84,positive
83,positive
83,positive
82,positive
81,positive
82,positive
82,positive
83,positive
88,negative
88,negative
88,negative
88,negative
88,negative
88,negative
89,negative
90,negative
91,negative
90,negative
89,negative
88,negative
87,negative
85,negative
83,negative
76,negative
77,negative
78,negative
79,negative
79,negative
79,negative
78,negative
78,negative
78,negative
79,negative
79,negative
80,negative
79,negative
78,negative
77,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
74,negative
73,neutral
73,neutral
74,neutral
74,neutral
74,neutral
74,neutral
75,neutral
75,neutral
76,neutral
76,neutral
76,neutral
77,neutral
77,neutral
77,neutral
77,neutral
75,positive
75,positive
75,positive
75,positive
75,positive
76,positive
75,positive
75,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
