rr_interval,condition
868,negative
832,negative
872,negative
772,negative
812,negative
800,negative
792,negative
908,negative
888,negative
844,negative
792,negative
740,negative
720,negative
708,negative
696,negative
676,negative
652,negative
668,negative
688,negative
884,positive
876,positive
832,positive
820,positive
804,positive
756,positive
736,positive
736,positive
744,positive
752,positive
740,positive
736,positive
752,positive
804,positive
828,positive
876,positive
904,positive
876,positive
860,positive
840,positive
848,positive
824,positive
836,positive
840,positive
788,positive
804,positive
804,positive
828,positive
808,positive
856,positive
876,positive
808,positive
768,positive
744,positive
732,positive
784,positive
868,positive
944,neutral
904,neutral
836,neutral
816,neutral
792,neutral
740,neutral
720,neutral
700,neutral
700,neutral
720,neutral
800,neutral
852,neutral
832,neutral
812,neutral
848,neutral
868,neutral
868,neutral
820,neutral
752,neutral
728,neutral
920,negative
944,negative
940,negative
940,negative
124,negative
808,negative
888,negative
824,negative
800,negative
780,negative
768,negative
756,negative
752,negative
672,negative
732,negative
800,negative
784,negative
876,negative
984,negative
1040,neutral
968,neutral
920,neutral
800,neutral
764,neutral
792,neutral
696,neutral
684,neutral
356,neutral
336,neutral
724,neutral
864,neutral
884,neutral
992,neutral
1084,neutral
1152,neutral
1056,neutral
988,neutral
980,neutral
816,neutral
176,neutral
1024,neutral
1004,neutral
464,neutral
132,neutral
364,neutral
904,neutral
852,neutral
808,neutral
788,neutral
764,neutral
684,neutral
748,neutral
680,neutral
656,neutral
648,neutral
660,neutral
720,neutral
936,neutral
940,neutral
744,neutral
808,neutral
716,neutral
696,neutral
704,neutral
780,neutral
900,neutral
892,neutral
1116,neutral
1244,neutral
1180,neutral
1156,neutral
1108,neutral
1036,neutral
980,neutral
924,neutral
988,neutral
1040,neutral
1132,neutral
1060,neutral
1008,neutral
964,neutral
896,neutral
852,neutral
760,neutral
760,neutral
728,neutral
756,neutral
632,neutral
688,neutral
768,neutral
740,neutral
924,neutral
712,positive
744,positive
856,positive
896,positive
924,positive
900,positive
872,positive
800,positive
776,positive
728,positive
224,positive
456,positive
664,positive
652,positive
344,positive
324,positive
752,positive
892,positive
900,positive
956,positive
992,positive
788,positive
772,positive
1152,positive
328,positive
692,positive
680,positive
668,positive
676,positive
