S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
8.9049e-005,-0.0024642,-0.020845,-0.031752,0.11066,-0.00050859,0.028305,0.013369,0.11083,0.12319,0.12258,-0.08779,0.16049,0.15317,0.12402,0.14356,0.002419,0.0028892,0.00106,-0.00034267,0.010963,0.0025582,0.0056347,0.0048516,0.0023944,0.0044738,0.0014128,-0.011677,0.011094,0.010331,0.0086125,0.0087061,17
-0.24554,-0.2179,-0.246,-0.28645,-0.1938,-0.20684,-0.29581,-0.30465,-0.27629,-0.29426,-0.45324,-0.48452,-0.25343,-0.26043,-0.24413,-0.23394,-0.025041,-0.022752,-0.025841,-0.029849,-0.0078339,-0.011752,-0.016576,-0.015271,-0.020013,-0.019465,-0.028281,-0.037156,-0.023355,-0.02403,-0.023772,-0.025596,17
0.11914,0.10963,0.080127,0.059218,0.072985,0.061205,0.11352,0.13832,-0.010989,0.049999,0.0090266,0.07305,-0.0065378,0.011057,0.018692,0.026849,-0.0050441,-0.0053471,-0.0068019,-0.0086599,-0.004495,-0.0077213,-0.0088221,-0.0067208,-0.0098722,-0.0062844,-0.012044,-0.016842,-0.0080314,-0.0062451,-0.005129,-0.0055888,17
-0.44254,-0.43167,-0.45679,-0.48849,-0.08315,-0.17612,-0.17674,-0.074824,0.069449,0.10343,0.15866,0.11216,-0.38089,-0.40498,-0.38092,-0.42757,-0.029052,-0.029363,-0.029027,-0.030865,0.002192,-0.010893,-0.011117,-0.0042874,0.014007,0.016422,0.026585,0.021068,-0.019247,-0.019481,-0.01772,-0.020751,17
0.089438,0.073544,0.030371,0.01646,-0.10568,0.021573,0.0078925,0.048315,-0.18811,-0.1692,-0.24096,-0.30586,-0.087177,-0.095496,-0.070038,-0.081552,-0.0020465,-0.0032365,-0.0040681,-0.0049087,-0.0084773,-0.005273,-0.0085679,-0.0060931,-0.0085655,-0.0088105,-0.01221,-0.018767,-0.0050541,-0.0047035,-0.002283,-0.0029706,17
-0.45823,-0.51264,-0.51694,-0.56833,-0.34267,-0.54037,-0.73383,-0.74888,-0.29754,-0.29756,-0.14323,-0.10329,-0.58887,-0.56732,-0.56289,-0.58907,-0.030662,-0.034189,-0.033915,-0.037128,-0.018514,-0.032773,-0.042187,-0.042254,-0.011292,-0.011694,-0.0019897,0.0049827,-0.031909,-0.031661,-0.032646,-0.035351,17
-0.14074,-0.10053,-0.1436,-0.17253,-0.31878,-0.17517,-0.2374,-0.26778,-0.14664,-0.15133,-0.11335,-0.22406,-0.13144,-0.11486,-0.12147,-0.12263,-0.01307,-0.012129,-0.016835,-0.019929,-0.012688,-0.010189,-0.01433,-0.0151,-0.012506,-0.016425,-0.011085,-0.016575,-0.02008,-0.017389,-0.017314,-0.019065,17
-0.009751,-0.00098311,-0.024031,-0.059703,-0.028394,-0.03021,0.014494,0.027349,-0.20477,-0.067182,-0.25601,-0.35615,0.057483,0.045186,0.017066,-0.0052857,-0.015667,-0.014401,-0.019305,-0.023502,-0.0095956,-0.0092771,-0.0082372,-0.0052298,-0.028997,-0.017068,-0.033221,-0.04442,-0.01365,-0.013587,-0.015616,-0.017764,17
-0.090343,-0.13443,-0.12824,-0.11043,-0.48612,-0.49676,-0.69437,-0.7336,-0.13566,-0.2144,-0.26869,-0.3101,0.056315,0.020362,0.039987,0.063857,-0.021817,-0.023131,-0.025093,-0.02717,-0.028121,-0.034206,-0.049541,-0.053922,-0.0082461,-0.019261,-0.022391,-0.023903,-0.010527,-0.011084,-0.0092555,-0.0086205,17
0.13366,0.13141,0.14616,0.17266,0.26005,0.19272,0.24661,0.27143,0.271,0.1285,0.25561,0.38554,0.082738,0.04222,0.063003,0.060408,0.0077174,0.0083662,0.0095321,0.010791,0.026463,0.018287,0.022402,0.020743,0.025883,0.0076021,0.015512,0.022904,0.0079979,0.0066117,0.011173,0.013177,17
-0.49426,-0.48824,-0.51416,-0.57488,-0.21541,-0.29396,-0.29906,-0.25357,0.21925,0.10327,0.19574,0.32287,-0.3051,-0.28646,-0.26666,-0.27236,-0.029722,-0.029462,-0.031106,-0.035311,-0.0049456,-0.012768,-0.011769,-0.0061241,0.0063831,0.0046218,0.0080669,0.013937,-0.019403,-0.015972,-0.014001,-0.013117,17
-0.00075475,-0.011376,-0.064374,-0.10351,-0.040169,-0.03284,-0.067204,-0.11669,0.19859,0.058575,0.12194,0.18748,0.048585,0.0054679,-0.009275,-0.0041256,-0.0090045,-0.0087896,-0.013372,-0.016833,0.00058869,-0.0016879,-0.0036048,-0.0047643,0.00051448,-0.00040596,-0.0022713,-0.0042254,-0.0059369,-0.0058944,-0.0067434,-0.0061543,17
0.10082,0.086714,0.12238,0.11847,-0.42384,-0.35848,-0.50636,-0.53696,0.22997,-0.033088,0.064649,0.22482,0.03951,0.068132,0.11995,0.1311,-0.021297,-0.020869,-0.023754,-0.028584,-0.034753,-0.031086,-0.042268,-0.043533,-0.0071356,-0.017213,-0.020607,-0.01782,-0.02144,-0.01797,-0.014934,-0.014319,17
0.16667,0.11801,0.17113,0.20183,0.079672,-0.051568,-0.070161,-0.075571,0.16432,0.10666,0.16745,0.18659,0.15335,0.15096,0.16935,0.19491,0.0098515,0.0076323,0.010826,0.01268,0.0022354,-0.0038266,-0.0058273,-0.0069025,0.012722,0.0069809,0.012178,0.015141,0.010243,0.010066,0.011489,0.01314,17
