S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.058641,0.023377,0.033455,0.038062,0.09189,0.06972,0.083428,0.043234,0.15634,0.055391,0.019022,-0.026358,0.079152,0.03325,0.055221,0.064369,0.0035127,0.0025331,0.0050458,0.0074784,0.0035251,0.0010116,-0.00058683,-0.0061985,0.0092465,0.0029187,-0.0012361,-0.0040801,0.0044397,0.0021876,0.0041434,0.0047925,15
0.058165,0.023852,-0.038323,-0.094875,0.090196,0.10973,0.12259,0.16902,0.14747,0.098393,0.14954,0.19362,0.046095,0.0040527,0.0030074,-0.020535,0.0010029,0.00037878,-0.002049,-0.0051637,0.0024537,0.0031867,0.0041384,0.0059521,0.0060145,0.0055098,0.0087829,0.011679,-0.0039351,-0.0045555,-0.0021712,-0.0033398,15
-0.08867,-0.090898,-0.082206,-0.089676,0.03801,0.058635,0.050676,0.025776,0.040817,0.026816,0.0076256,-0.02402,-0.022599,-0.05623,-0.038955,-0.057209,-0.0071661,-0.0080769,-0.0093958,-0.013082,0.00026553,0.0016141,0.0038521,0.004369,0.003555,0.0059464,0.0092088,0.010257,-0.0056627,-0.0072286,-0.0059273,-0.00761,15
0.0925,0.12115,0.12991,0.1776,0.13836,0.15696,0.10683,0.074056,0.31309,0.16475,0.13253,0.13796,0.10634,0.12034,0.084473,0.086749,0.010514,0.01268,0.010432,0.011552,0.0064947,0.0082011,0.0067151,0.005274,0.023827,0.012641,0.012231,0.015048,0.014899,0.018249,0.011527,0.01129,15
-0.021521,-0.0062188,-0.014283,-0.032363,-0.017502,-0.075945,-0.035571,-0.067444,-0.052296,0.050056,0.11061,0.14598,-0.11175,-0.11381,-0.11133,-0.14034,-0.0083231,-0.0052965,-0.0040853,-0.0034099,-0.0028094,-0.005236,-0.0062916,-0.011075,-0.016157,-0.0044347,-0.0042264,-0.0049284,-0.021536,-0.021637,-0.014033,-0.012433,15
0.088783,0.053595,0.015696,-0.0378,0.037586,-0.049552,0.066356,0.097854,0.013418,0.077457,0.16576,0.22842,0.10564,0.11042,0.077732,0.055621,0.0033182,0.003111,0.0013553,-0.0008952,0.00014808,-0.0062649,0.00092488,0.0013897,-0.0033071,0.0021103,0.0065878,0.010891,0.0040412,0.0055774,0.0052454,0.0051958,15
0.013249,-0.0044472,-0.010111,-0.039291,0.036748,0.00040596,0.071667,0.13475,-0.033685,0.05459,0.097078,0.094356,-0.050442,-0.054585,-0.034434,-0.02853,0.00057603,7.0565e-005,-0.0012205,-0.0034593,0.0026661,-3.3071e-005,0.005171,0.0091729,-0.0016651,0.0034224,0.0072823,0.0088651,-0.0048458,-0.0032673,-0.0018192,-0.00071864,15
-0.089597,-0.13253,-0.14189,-0.20506,-0.010004,-1.4551e-005,0.020775,0.066731,-0.32614,-0.09903,-0.11283,-0.12529,-0.2656,-0.28689,-0.18009,-0.17937,-0.010027,-0.011529,-0.012304,-0.015924,0.00029983,0.002948,0.0030327,0.0058605,-0.022304,-0.0060347,-0.0060221,-0.0075061,-0.021908,-0.02272,-0.014299,-0.012761,15
-0.061515,-0.067861,-0.09867,-0.14575,-0.0041393,-0.041959,0.024566,0.033054,-0.014839,0.063664,0.095119,0.14379,-0.19548,-0.23635,-0.20486,-0.19425,-0.0083509,-0.0082167,-0.010622,-0.01434,-0.0087743,-0.009113,-0.0055421,-0.0060567,-0.011161,-0.0044762,-0.0027659,-0.001255,-0.015218,-0.019813,-0.013691,-0.012064,15
0.40518,0.33346,0.34811,0.45682,0.51812,0.4574,0.3492,0.34123,0.69717,0.39216,0.41841,0.42384,0.28695,0.39167,0.2424,0.15818,0.030408,0.027088,0.027807,0.034956,0.027299,0.023558,0.017963,0.014264,0.044675,0.019823,0.018875,0.020322,0.031494,0.043255,0.03098,0.027831,15
0.0036429,-0.0008118,0.013439,-0.0088886,0.058121,0.018064,0.057865,0.093402,-0.17,0.025402,0.063844,0.13045,-0.20381,-0.25517,-0.23278,-0.23872,0.0050106,0.0052173,0.004551,0.0033917,0.0029939,0.0010895,0.0038545,0.0061544,-0.0053682,0.0043192,0.0073618,0.01314,-0.0084091,-0.013045,-0.012977,-0.013476,15
-0.041722,-0.078144,-0.044385,-0.05792,0.063054,0.038032,0.031964,0.038724,-0.035109,0.0084387,-0.021064,-0.017296,-0.10002,-0.13072,-0.12249,-0.12233,-0.0034697,-0.0046323,-0.0025437,-0.0030153,0.0035026,0.0026663,0.00098011,0.00071136,-0.0038457,0.00057386,-0.0008175,0.00014671,-0.0085491,-0.011557,-0.010224,-0.0098907,15
0.11996,0.11059,0.078005,0.050825,0.025652,-0.0066784,0.013451,0.015937,0.10888,0.09227,0.11945,0.14619,0.16885,0.1541,0.060509,0.011654,0.0051896,0.0058714,0.0060048,0.0073204,0.0021281,0.00013912,-0.0002327,-0.0031006,-0.002633,-0.00040121,-0.0023529,-0.0033722,0.0049617,0.0052059,0.0031969,0.0016104,15
-0.075177,-0.1091,-0.098894,-0.13751,0.038877,0.025674,0.026063,0.047735,-0.056877,-0.0060537,-0.02432,0.0052089,-0.15528,-0.18282,-0.14244,-0.13094,-0.0051601,-0.0068941,-0.0051924,-0.0064674,0.0018993,0.00060589,0.00063793,0.0012378,-0.0035251,-0.00051327,-0.0018346,-0.00010961,-0.011875,-0.013831,-0.010415,-0.009507,15
0.035672,0.036579,0.026622,0.026555,-0.022576,-0.014706,0.011353,0.019403,0.21291,0.088868,0.13728,0.15125,0.1674,0.14033,0.099339,0.094451,0.001746,0.0016408,0.00075969,0.00026565,-0.0020412,-0.0015039,-5.0854e-005,0.0004107,0.011619,0.0048793,0.0077578,0.0087487,0.0097479,0.0079975,0.0055916,0.0051496,15
0.024709,0.087321,0.10342,0.10209,0.025269,0.075899,0.065647,0.048646,-0.03804,0.012429,-0.0033906,-0.021111,0.15914,0.23092,0.25129,0.28218,0.0020265,0.0029225,0.0036964,0.0027646,0.00085807,0.00071864,1.5599e-005,-0.00024482,-0.0040266,8.9516e-005,-0.00030222,-0.00028049,0.0093224,0.010612,0.012608,0.014143,17
0.1012,0.14162,0.12051,0.10431,0.036889,0.056994,0.047589,0.050366,0.12744,0.064976,0.021705,-0.033873,0.22271,0.27513,0.25085,0.26587,0.0098077,0.01155,0.010774,0.010744,0.0032601,0.0020597,0.00082971,-0.00016909,0.0094555,0.0051168,0.002007,-0.00056676,0.013936,0.017818,0.016351,0.017225,17
0.20402,0.26834,0.28536,0.35828,0.11134,0.094715,0.012703,-0.067462,0.10707,0.049633,-0.0038854,-0.075042,0.2516,0.30807,0.24452,0.25543,0.014093,0.018603,0.018547,0.02263,0.0046072,0.002856,0.00029388,-0.0045632,0.0075589,0.0024276,-0.00043889,-0.0031683,0.019151,0.022433,0.016416,0.017486,17
-0.035011,-0.00030811,0.058856,0.10521,0.050362,0.1043,0.0455,-0.0096645,-0.03451,0.041719,0.035559,0.024701,-0.20951,-0.15335,-0.066309,-0.056951,-0.00076316,0.0032295,0.0074357,0.012436,0.00083693,0.004707,0.0002238,-0.0055916,-0.0012389,0.00053918,-0.0023567,-0.0043666,-0.011108,-0.0062122,-0.00050804,0.001331,17
0.038845,0.047504,0.073099,0.049767,0.083496,0.052307,0.055828,0.038058,0.17446,0.18695,0.25306,0.26692,0.037552,0.040438,0.0057029,-0.027475,0.003021,0.0046154,0.0068749,0.0068618,0.0047491,0.0031418,0.0017526,-0.0012582,0.005691,0.0072625,0.0077253,0.0060547,0.0001772,0.0016717,0.001548,0.001887,17
