A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,origin,control,rating,condition,awareness
-0.001894,-0.00262,-1.919E-4,-2.126E-5,-0.001045,4.715E-4,1.539E-4,-3.843E-4,0.02936,-0.04668,-7.079E-4,-1.145E-4,-1.64E-4,-1.955E-5,-9.857E-4,-2.748E-5,junk,junk,junk,junk,junk
-0.004507,-0.006643,-7.382E-5,-3.792E-6,-2.343E-4,2.688E-4,-1.119E-4,-1.103E-5,0.02574,-0.04632,-0.001004,-9.778E-5,2.612E-4,-5.625E-5,-0.001237,2.187E-4,junk,junk,junk,junk,junk
-0.005979,-0.003577,-6.012E-5,2.602E-5,-6.142E-4,3.356E-4,-8.546E-4,-5.52E-5,0.03217,-0.05648,-5.353E-4,-4.507E-4,-2.561E-4,7.651E-5,-6.353E-4,5.755E-5,junk,junk,junk,junk,junk
4.321E-4,-0.003892,-7.185E-4,6.749E-5,-7.383E-4,2.342E-4,-1.579E-4,-7.343E-5,0.0317,-0.04874,-0.001554,-1.577E-4,-5.218E-4,4.729E-6,-7.929E-4,-3.104E-4,junk,junk,junk,junk,junk
-0.008184,0.002092,-5.821E-4,4.473E-5,-6.047E-4,3.889E-4,-4.726E-4,4.385E-5,0.02527,-0.04942,-0.002027,2.228E-4,-0.001061,2.742E-4,-7.976E-4,1.514E-5,junk,junk,junk,junk,junk
-0.003491,-0.001507,-5.895E-4,6.545E-6,-5.718E-4,-7.953E-5,-6.915E-4,-5.328E-5,0.02263,-0.04337,-9.731E-4,-3.151E-4,-7.715E-4,-5.299E-5,-0.001306,-6.211E-5,junk,junk,junk,junk,junk
-0.005117,-0.001089,-6.39E-4,1.926E-4,-8.952E-4,8.028E-5,-4.926E-4,-1.614E-4,0.03059,-0.05556,-3.787E-4,-2.172E-4,1.159E-4,-2.5E-4,-0.001771,3.683E-4,junk,junk,junk,junk,junk
3.948E-4,-0.002044,-3.002E-5,3.481E-5,-1.247E-4,1.452E-4,-7.706E-6,-7.928E-5,0.01204,-0.01891,-2.927E-4,-8.425E-5,2.446E-4,5.842E-5,-1.528E-4,3.219E-5,junk,junk,junk,junk,junk
3.824E-4,-0.002013,-2.601E-5,3.248E-5,-1.322E-4,1.504E-4,-2.671E-5,-8.575E-5,0.01306,-0.02063,-3.455E-4,-8.536E-5,2.194E-4,5.775E-5,-1.671E-4,3.275E-5,junk,junk,junk,junk,junk
3.513E-4,-0.001986,-4.64E-5,3.795E-5,-1.393E-4,1.42E-4,-1.361E-5,-9.625E-5,0.01396,-0.02222,-4.099E-4,-7.963E-5,1.973E-4,5.641E-5,-2.061E-4,3.018E-5,junk,junk,junk,junk,junk
5.25E-4,-0.002202,-6.017E-5,4.375E-5,-1.557E-4,1.477E-4,-4.307E-5,-1.12E-4,0.01483,-0.02393,-4.233E-4,-8.622E-5,1.749E-4,5.7E-5,-2.582E-4,3.142E-5,junk,junk,junk,junk,junk
7.625E-4,-0.0023,-7.853E-5,5.009E-5,-1.749E-4,1.577E-4,-6.729E-5,-1.129E-4,0.0161,-0.0256,-4.77E-4,-8.613E-5,1.433E-4,5.083E-5,-2.771E-4,2.354E-5,junk,junk,junk,junk,junk
9.348E-4,-0.002335,-8.428E-5,4.85E-5,-2.075E-4,1.718E-4,-8.866E-5,-1.182E-4,0.01706,-0.02708,-5.084E-4,-9.053E-5,1.273E-4,3.657E-5,-3.039E-4,2.549E-5,junk,junk,junk,junk,junk
