Subject:	S215
Project:	glassroutes
Time:	2015-02-06_15-35-10

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
166	56124.972	17201.290	0;baselinestart;1423254923868;	0	baselinestart	1423254923868	
518	56154.834	17231.160	0;baselineend;1423254953873;	0	baselineend	1423254953873	
525	56155.399	17231.720	15;easystart;1423254954376	15	easystart	1423254954376	
885	56185.967	17262.290	15;easy;1423254984904	15	easy	1423254984904	
891	56186.357	17262.790	10;passed;1423254985406	10	passed	1423254985406	
1038	56198.893	17275.220	15;easystart;1423254997907	15	easystart	1423254997907	
1399	56229.509	17305.890	15;easy;1423255028431	15	easy	1423255028431	
1404	56229.986	17306.290	10;passed;1423255028931	10	passed	1423255028931	
1552	56242.486	17318.830	15;easystart;1423255041432	15	easystart	1423255041432	
1911	56273.007	17349.310	15;easy;1423255071960	15	easy	1423255071960	
1918	56273.557	17349.880	10;passed;1423255072460	10	passed	1423255072460	
2065	56286.008	17362.330	15;easystart;1423255084962	15	easystart	1423255084962	
2425	56316.529	17392.900	15;easy;1423255115487	15	easy	1423255115487	
2430	56317.001	17393.310	10;passed;1423255115988	10	passed	1423255115988	
2578	56329.510	17405.900	16;hardstart;1423255128488	16	hardstart	1423255128488	
2938	56360.087	17436.420	16;hard;1423255159016	16	hard	1423255159016	
2944	56360.540	17436.900	10;passed;1423255159517	10	passed	1423255159517	
3091	56372.974	17449.400	15;easystart;1423255172018	15	easystart	1423255172018	
3452	56403.619	17480.000	15;easy;1423255202544	15	easy	1423255202544	
3457	56404.052	17480.420	10;passed;1423255203044	10	passed	1423255203044	
3605	56416.595	17492.980	16;hardstart;1423255215545	16	hardstart	1423255215545	
3965	56447.109	17523.500	16;hard;1423255246071	16	hard	1423255246071	
3971	56447.653	17524.010	10;passed;1423255246572	10	passed	1423255246572	
4118	56460.105	17536.510	15;easystart;1423255259072	15	easystart	1423255259072	
4478	56490.634	17567.030	15;easy;1423255289598	15	easy	1423255289598	
4484	56491.151	17567.550	10;passed;1423255290099	10	passed	1423255290099	
4631	56503.648	17580.010	15;easystart;1423255302600	15	easystart	1423255302600	
4992	56534.176	17610.610	15;easy;1423255333127	15	easy	1423255333127	
4997	56534.580	17611.050	10;passed;1423255333628	10	passed	1423255333628	
5144	56547.090	17623.510	15;easystart;1423255346129	15	easystart	1423255346129	
5504	56577.629	17654.030	15;easy;1423255376656	15	easy	1423255376656	
5510	56578.149	17654.570	10;passed;1423255377157	10	passed	1423255377157	
5658	56590.675	17667.110	16;hardstart;1423255389658	16	hardstart	1423255389658	
6018	56621.244	17697.630	16;hard;1423255420184	16	hard	1423255420184	
6024	56621.725	17698.160	10;passed;1423255420686	10	passed	1423255420686	
6318	56646.669	17723.110	16;hardstart;1423255445686	16	hardstart	1423255445686	
