rr_interval,condition
800,negative
808,negative
260,negative
108,negative
360,negative
712,negative
688,negative
712,negative
1060,negative
952,negative
848,negative
796,negative
800,negative
848,negative
852,negative
748,negative
748,negative
88,negative
456,negative
872,negative
936,negative
184,positive
164,positive
344,positive
508,positive
536,positive
340,positive
828,positive
808,positive
728,positive
716,positive
724,positive
736,positive
768,positive
776,positive
664,positive
660,positive
664,positive
672,positive
700,positive
1108,positive
1068,positive
872,positive
924,positive
768,positive
844,positive
896,positive
948,positive
952,positive
944,positive
960,positive
896,positive
872,positive
876,positive
896,positive
768,positive
428,positive
252,positive
200,positive
312,positive
176,positive
236,positive
292,positive
180,positive
252,positive
192,positive
348,positive
240,positive
844,positive
988,neutral
888,neutral
772,neutral
828,neutral
896,neutral
976,neutral
868,neutral
772,neutral
768,neutral
852,neutral
940,neutral
968,neutral
572,neutral
220,neutral
840,neutral
880,neutral
828,neutral
776,neutral
876,neutral
952,negative
808,negative
928,negative
1016,negative
812,negative
860,negative
496,negative
268,negative
212,negative
760,negative
208,negative
552,negative
872,negative
1052,negative
796,negative
844,negative
960,negative
892,negative
792,negative
944,negative
912,negative
980,negative
856,negative
840,negative
820,negative
744,negative
816,negative
864,negative
912,negative
908,negative
908,negative
884,negative
800,negative
784,negative
720,negative
708,negative
752,negative
832,negative
752,negative
832,negative
952,negative
832,negative
780,negative
924,negative
992,negative
804,negative
912,negative
1044,negative
876,negative
788,negative
956,negative
1128,negative
964,negative
816,negative
916,negative
968,neutral
992,neutral
840,neutral
856,neutral
1104,neutral
1012,neutral
844,neutral
944,neutral
1044,neutral
896,neutral
812,neutral
896,neutral
992,neutral
1004,neutral
876,neutral
812,neutral
844,neutral
1020,neutral
1080,neutral
816,neutral
924,neutral
1064,neutral
948,neutral
816,neutral
968,neutral
1024,neutral
812,neutral
832,neutral
1004,neutral
1104,neutral
828,neutral
784,neutral
1032,negative
824,negative
960,negative
996,negative
824,negative
620,negative
176,negative
412,negative
60,negative
240,negative
256,negative
420,negative
852,negative
1084,negative
1000,negative
964,negative
916,negative
816,negative
780,negative
812,negative
752,negative
836,negative
788,neutral
940,neutral
1092,neutral
896,neutral
856,neutral
956,neutral
984,neutral
808,neutral
900,neutral
1012,neutral
920,neutral
796,neutral
928,neutral
972,neutral
876,neutral
868,neutral
1096,neutral
936,positive
884,positive
800,positive
948,positive
936,positive
788,positive
864,positive
948,positive
1028,positive
812,positive
880,positive
1008,positive
884,positive
828,positive
992,positive
996,positive
828,positive
792,negative
920,negative
936,negative
808,negative
812,negative
916,negative
996,negative
828,negative
868,negative
972,negative
936,negative
780,negative
848,negative
956,negative
860,negative
816,negative
996,negative
828,neutral
944,neutral
1028,neutral
856,neutral
896,neutral
1056,neutral
892,neutral
848,neutral
1056,neutral
948,neutral
804,neutral
900,neutral
984,neutral
812,neutral
944,neutral
952,neutral
788,neutral
852,neutral
788,neutral
948,neutral
1004,neutral
812,neutral
980,neutral
1000,neutral
812,neutral
948,neutral
1088,neutral
808,neutral
904,neutral
1056,neutral
900,neutral
832,neutral
1088,neutral
812,positive
952,positive
1300,positive
952,positive
812,positive
916,positive
1028,positive
956,positive
848,positive
1068,positive
1164,positive
888,positive
952,positive
1080,positive
964,positive
824,positive
1072,positive
268,positive
752,positive
796,positive
880,positive
948,positive
916,positive
796,positive
896,positive
936,positive
952,positive
800,positive
908,positive
980,positive
840,positive
804,positive
1140,neutral
1024,neutral
996,neutral
948,neutral
796,neutral
840,neutral
848,neutral
888,neutral
836,neutral
788,neutral
880,neutral
956,neutral
968,neutral
920,neutral
788,neutral
868,neutral
836,negative
812,negative
872,negative
952,negative
932,negative
784,negative
672,negative
1164,negative
960,negative
812,negative
772,negative
900,negative
1040,negative
864,negative
812,negative
1004,negative
1016,negative
944,negative
884,negative
788,negative
920,negative
968,negative
828,negative
780,negative
864,negative
908,negative
848,negative
780,negative
924,negative
940,negative
