heart_rate,condition
81,positive
82,positive
83,positive
83,positive
83,positive
82,positive
82,positive
82,positive
82,positive
82,positive
83,positive
84,positive
85,positive
85,positive
81,negative
81,negative
81,negative
82,negative
83,negative
84,negative
84,negative
83,negative
82,negative
81,negative
80,negative
79,negative
79,negative
80,negative
81,negative
84,positive
84,positive
84,positive
85,positive
86,positive
86,positive
87,positive
88,positive
88,positive
87,positive
86,positive
85,positive
85,positive
84,positive
85,positive
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
82,neutral
81,neutral
81,neutral
81,neutral
88,positive
89,positive
90,positive
92,positive
93,positive
95,positive
95,positive
95,positive
95,positive
94,positive
93,positive
92,positive
90,positive
88,positive
86,positive
80,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
80,neutral
80,neutral
81,neutral
82,neutral
83,neutral
84,neutral
84,neutral
81,positive
82,positive
83,positive
84,positive
85,positive
85,positive
85,positive
84,positive
83,positive
81,positive
81,positive
81,positive
81,positive
82,positive
83,positive
81,neutral
82,neutral
82,neutral
83,neutral
83,neutral
82,neutral
81,neutral
81,neutral
81,neutral
82,neutral
83,neutral
84,neutral
85,neutral
84,neutral
84,neutral
85,neutral
84,neutral
84,neutral
84,neutral
84,neutral
84,neutral
83,neutral
83,neutral
82,neutral
82,neutral
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
84,neutral
85,neutral
86,neutral
86,neutral
86,neutral
85,neutral
84,neutral
84,neutral
84,neutral
84,neutral
85,neutral
85,neutral
86,neutral
86,neutral
86,neutral
81,negative
82,negative
82,negative
82,negative
83,negative
83,negative
83,negative
83,negative
84,negative
84,negative
83,negative
82,negative
81,negative
80,negative
79,negative
79,neutral
79,neutral
78,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
79,neutral
80,neutral
80,neutral
80,neutral
81,neutral
87,negative
87,negative
86,negative
86,negative
85,negative
85,negative
84,negative
83,negative
81,negative
80,negative
79,negative
78,negative
77,negative
77,negative
77,negative
77,neutral
78,neutral
80,neutral
81,neutral
82,neutral
82,neutral
82,neutral
82,neutral
83,neutral
84,neutral
85,neutral
86,neutral
86,neutral
85,neutral
84,neutral
83,neutral
79,negative
77,negative
76,negative
76,negative
76,negative
77,negative
78,negative
79,negative
79,negative
79,negative
78,negative
77,negative
76,negative
76,negative
76,negative
78,positive
78,positive
78,positive
78,positive
78,positive
78,positive
77,positive
77,positive
77,positive
77,positive
77,positive
76,positive
76,positive
75,positive
76,positive
76,positive
78,negative
78,negative
77,negative
77,negative
76,negative
77,negative
77,negative
78,negative
78,negative
79,negative
78,negative
77,negative
76,negative
76,negative
76,negative
79,negative
79,negative
79,negative
79,negative
79,negative
79,negative
79,negative
80,negative
80,negative
80,negative
79,negative
78,negative
77,negative
77,negative
76,negative
76,neutral
77,neutral
77,neutral
77,neutral
76,neutral
75,neutral
74,neutral
74,neutral
74,neutral
75,neutral
76,neutral
76,neutral
76,neutral
75,neutral
75,neutral
81,classifying
82,classifying
83,classifying
