Subject:	S204
Project:	glassroutes
Time:	2015-01-20_15-18-47

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
160	55141.565	8826.128	0;baselinestart;1421785141491;	0	baselinestart	1421785141491	
514	55171.528	8856.146	0;baselineend;1421785171495;	0	baselineend	1421785171495	
519	55172.063	8856.607	15;easystart;1421785171998	15	easystart	1421785171998	
880	55202.627	8887.211	15;easy;1421785202521	15	easy	1421785202521	
885	55203.064	8887.631	10;passed;1421785203023	10	passed	1421785203023	
1033	55215.566	8900.193	15;easystart;1421785215524	15	easystart	1421785215524	
1393	55246.103	8930.712	15;easy;1421785246044	15	easy	1421785246044	
1399	55246.665	8931.259	10;passed;1421785246545	10	passed	1421785246545	
1546	55259.098	8943.715	16;hardstart;1421785259045	16	hardstart	1421785259045	
1907	55289.681	8974.298	16;hard;1421785289563	16	hard	1421785289563	
1912	55290.174	8974.760	10;passed;1421785290064	10	passed	1421785290064	
2059	55302.608	8987.215	16;hardstart;1421785302565	16	hardstart	1421785302565	
2420	55333.205	9017.820	16;hard;1421785333083	16	hard	1421785333083	
2425	55333.593	9018.261	10;passed;1421785333584	10	passed	1421785333584	
2573	55346.182	9030.802	15;easystart;1421785346085	15	easystart	1421785346085	
2933	55376.675	9061.343	15;easy;1421785376605	15	easy	1421785376605	
2938	55377.125	9061.763	10;passed;1421785377106	10	passed	1421785377106	
3086	55389.660	9074.323	16;hardstart;1421785389607	16	hardstart	1421785389607	
3445	55420.164	9104.760	16;hard;1421785420128	16	hard	1421785420128	
3452	55420.724	9105.369	10;passed;1421785420629	10	passed	1421785420629	
3599	55433.175	9117.825	16;hardstart;1421785433130	16	hardstart	1421785433130	
3959	55463.707	9148.388	16;hard;1421785463651	16	hard	1421785463651	
3965	55464.221	9148.870	10;passed;1421785464152	10	passed	1421785464152	
4112	55476.631	9161.326	16;hardstart;1421785476653	16	hardstart	1421785476653	
4472	55507.245	9191.909	16;hard;1421785507173	16	hard	1421785507173	
4478	55507.732	9192.391	10;passed;1421785507674	10	passed	1421785507674	
4625	55520.206	9204.849	15;easystart;1421785520174	15	easystart	1421785520174	
4986	55550.773	9235.474	15;easy;1421785550691	15	easy	1421785550691	
4992	55551.232	9235.978	10;passed;1421785551191	10	passed	1421785551191	
5139	55563.772	9248.476	15;easystart;1421785563692	15	easystart	1421785563692	
5499	55594.300	9278.996	15;easy;1421785594212	15	easy	1421785594212	
5505	55594.769	9279.480	10;passed;1421785594713	10	passed	1421785594713	
