A-DC1,A-DC2,A-DC3,A-DC4,A-DC5,A-DC6,A-DC7,A-DC8,B-DC1,B-DC2,B-DC3,B-DC4,B-DC5,B-DC6,B-DC7,B-DC8,condition
1586.000,371.900,98.470,31.780,1323.000,316.900,78.960,21.960,173.700,45.530,13.220,4.067,334.400,86.360,23.920,7.540,baseline
1561.000,366.900,96.420,31.420,1323.000,316.500,79.860,21.810,173.800,45.120,13.270,4.063,335.500,86.610,23.900,7.552,baseline
1555.000,368.400,96.650,31.540,1309.000,316.500,80.330,21.970,174.400,45.410,13.240,4.067,335.700,86.910,24.080,7.569,baseline
1567.000,365.700,97.460,31.570,1320.000,317.300,79.710,21.840,173.500,45.350,13.300,4.075,336.300,86.680,24.090,7.605,baseline
1572.000,371.800,98.410,31.790,1331.000,321.600,80.180,22.050,173.000,45.420,13.290,4.082,338.100,87.690,24.280,7.622,baseline
1602.000,378.400,99.650,32.620,1320.000,322.000,81.320,22.230,174.200,45.380,13.340,4.103,340.200,88.140,24.470,7.701,baseline
1618.000,383.700,101.100,33.070,1325.000,319.900,81.780,22.400,174.800,45.900,13.400,4.101,341.600,89.160,24.560,7.804,baseline
1652.000,387.800,103.300,34.010,1358.000,324.200,81.890,22.310,175.200,45.920,13.410,4.116,343.700,89.180,24.720,7.750,baseline
1630.000,381.400,99.490,32.470,1339.000,317.100,79.930,21.870,174.800,45.700,13.320,4.077,336.600,86.880,23.900,7.538,baseline
1559.000,369.800,96.430,31.660,1310.000,313.500,79.590,21.730,173.200,45.280,13.200,4.039,334.100,86.660,23.810,7.505,baseline
1560.000,368.200,96.640,31.410,1311.000,316.300,79.580,21.840,172.800,45.360,13.190,4.069,333.700,86.830,23.850,7.580,baseline
1563.000,370.600,97.390,31.460,1306.000,318.500,79.810,21.790,173.800,45.360,13.240,4.093,335.400,86.980,24.040,7.503,baseline
1569.000,373.300,97.850,31.870,1323.000,319.500,79.870,21.960,172.700,45.420,13.280,4.066,336.500,87.300,24.160,7.625,baseline
1584.000,374.300,99.060,32.220,1329.000,321.600,81.010,22.090,173.900,45.490,13.300,4.090,339.100,87.510,24.230,7.690,baseline
1611.000,383.000,100.700,32.810,1333.000,321.100,81.240,22.220,174.100,45.680,13.360,4.108,340.400,88.630,24.500,7.734,baseline
1641.000,387.000,102.800,33.310,1353.000,324.000,81.170,22.510,176.000,45.760,13.410,4.102,342.600,89.250,24.790,7.807,baseline
1653.000,393.300,102.800,33.570,1356.000,320.800,80.810,21.930,174.300,45.920,13.370,4.119,342.100,88.580,24.310,7.675,baseline
1593.000,377.600,99.360,31.610,1319.000,317.500,79.030,21.680,174.900,45.410,13.210,4.055,335.700,86.840,23.920,7.539,baseline
1573.000,369.700,96.840,31.380,1310.000,319.000,79.590,21.660,174.600,45.420,13.220,4.066,336.100,86.720,23.910,7.525,baseline
1563.000,368.300,96.740,31.850,1329.000,318.900,80.180,21.980,173.200,45.280,13.230,4.057,336.700,87.180,23.930,7.584,baseline
1595.000,373.900,97.650,31.610,1334.000,319.200,79.660,21.980,173.400,45.490,13.240,4.089,337.200,87.420,24.030,7.626,baseline
1580.000,373.800,98.850,32.030,1326.000,318.900,80.380,22.010,173.800,45.540,13.290,4.073,338.100,87.720,24.300,7.658,baseline
1606.000,381.600,100.300,32.520,1347.000,322.400,80.850,22.290,174.000,45.640,13.310,4.083,341.000,88.290,24.420,7.730,baseline
1630.000,389.300,102.100,33.430,1336.000,322.400,81.160,22.350,173.600,45.690,13.380,4.084,342.900,89.280,24.520,7.815,baseline
1646.000,390.500,104.000,34.050,1356.000,324.300,82.020,22.450,174.400,45.850,13.410,4.127,343.900,89.550,24.730,7.846,baseline
1658.000,389.000,101.800,32.930,1335.000,318.000,79.660,21.790,175.800,45.840,13.280,4.094,338.100,87.470,24.140,7.599,baseline
1597.000,377.100,98.880,31.940,1320.000,317.600,80.160,21.740,173.500,45.400,13.210,4.060,336.300,87.510,24.030,7.611,baseline
1591.000,376.100,98.950,32.070,1346.000,317.400,79.970,21.800,173.800,45.520,13.230,4.074,337.400,87.280,24.210,7.621,baseline
1591.000,377.600,99.330,32.300,1327.000,319.400,80.080,21.860,173.600,45.490,13.280,4.088,337.900,87.460,24.250,7.636,baseline
1594.000,377.400,100.000,32.520,1331.000,321.500,80.610,21.970,173.400,45.590,13.300,4.071,339.300,87.580,24.210,7.648,baseline
