Subject:	S205
Project:	glassroutes
Time:	2015-01-21_11-33-36

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
41616.784	0	3007.071	0	1720.000	392.000	93.640	22.870	2294.000	503.500	124.200	29.320	273.500	60.850	15.730	4.731	445.100	99.340	25.670	8.489	
41616.935	0	3007.135	0	1744.000	391.700	95.160	23.270	2298.000	503.100	124.400	29.170	274.700	61.340	15.810	4.769	446.400	99.870	25.920	8.519	
41616.952	0	3007.219	0	1736.000	390.600	94.880	23.250	2312.000	505.200	124.100	29.370	274.500	61.190	15.860	4.757	448.800	100.100	26.050	8.541	
41617.069	0	3007.303	0	1762.000	392.000	95.380	23.150	2319.000	505.100	125.300	29.380	275.400	61.320	15.840	4.767	449.200	100.200	25.980	8.564	
41617.175	0	3007.386	0	1753.000	394.900	94.590	23.140	2308.000	507.100	125.200	29.450	272.700	61.270	15.880	4.783	449.400	100.900	26.050	8.695	
41617.275	0	3007.470	0	1749.000	397.300	96.520	23.360	2320.000	505.800	126.000	29.400	276.600	61.590	15.930	4.824	453.000	101.800	26.520	8.659	
41617.288	0	3007.533	0	1759.000	395.500	95.720	23.530	2322.000	508.600	125.800	29.400	275.900	61.880	15.950	4.871	454.800	102.700	26.280	8.729	
41617.397	0	3007.638	0	1759.000	395.300	95.010	23.280	2297.000	504.600	124.200	29.290	275.200	61.700	15.910	4.775	450.200	100.100	25.810	8.517	
41617.496	0	3007.701	0	1743.000	393.100	95.000	23.230	2299.000	502.300	124.100	29.090	275.800	61.110	15.820	4.724	449.200	99.800	25.690	8.402	
41617.596	0	3007.785	0	1745.000	393.000	94.170	22.970	2297.000	500.800	123.500	29.300	275.700	61.100	15.810	4.716	446.800	99.540	25.730	8.463	
41617.696	0	3007.911	0	1738.000	390.700	93.810	22.960	2297.000	500.300	125.200	29.120	273.800	61.310	15.830	4.736	448.300	99.480	25.720	8.504	
41617.797	0	3007.995	0	1751.000	391.400	94.780	23.050	2299.000	502.700	124.300	29.350	274.800	61.350	15.760	4.762	446.500	99.320	25.640	8.474	
41617.897	0	3008.079	0	1749.000	392.900	94.940	23.120	2298.000	504.500	124.500	29.350	275.600	61.330	15.810	4.775	449.000	99.710	25.710	8.466	
41617.963	0	3008.163	0	1748.000	394.500	95.030	23.040	2299.000	506.200	124.000	29.410	274.800	61.620	15.810	4.766	448.200	100.100	25.830	8.557	
41618.004	0	3008.248	0	1756.000	396.400	95.950	23.290	2325.000	508.800	124.500	29.370	274.600	61.550	15.850	4.775	449.400	100.100	25.850	8.576	
41618.103	0	3008.332	0	1757.000	397.200	95.150	23.310	2307.000	507.600	125.000	29.330	276.400	61.530	15.870	4.769	451.300	100.800	25.920	8.557	
41618.204	0	3008.416	0	1759.000	399.300	96.180	23.470	2310.000	507.900	125.200	29.460	275.500	61.600	15.900	4.782	450.700	100.800	26.140	8.610	
41618.304	0	3008.500	0	1770.000	396.600	96.960	23.530	2325.000	509.400	125.900	29.570	277.700	61.590	15.900	4.793	453.700	101.400	26.370	8.686	
41618.317	0	3008.563	0	1776.000	400.200	96.870	23.720	2321.000	509.900	125.800	29.640	277.300	61.710	16.020	4.811	454.400	102.200	26.330	8.777	
41618.419	0	3008.647	0	1775.000	403.900	97.240	23.810	2328.000	511.800	125.900	29.620	276.900	62.000	16.060	4.869	457.300	102.700	26.600	8.798	
41618.531	0	3008.731	0	1792.000	402.300	96.580	23.510	2320.000	508.400	125.900	29.530	278.000	62.020	16.020	4.824	455.300	101.700	26.210	8.656	
41618.643	0	3008.814	0	1769.000	398.400	96.370	23.310	2320.000	508.000	124.800	29.330	275.400	61.650	15.850	4.789	452.100	100.600	26.030	8.608	
41618.754	0	3008.898	0	1763.000	397.200	95.600	23.180	2313.000	507.000	125.600	29.460	275.400	61.550	15.840	4.800	451.400	100.400	25.830	8.575	
41618.767	0	3008.982	0	1774.000	398.200	95.460	23.320	2317.000	506.200	124.800	29.320	273.800	61.370	15.820	4.794	449.100	100.000	25.860	8.501	
41618.872	0	3009.108	0	1763.000	397.500	95.660	23.330	2305.000	506.200	124.400	29.140	274.500	61.270	15.730	4.761	449.700	99.900	25.820	8.557	
41618.986	0	3009.171	0	1755.000	396.400	96.130	23.430	2313.000	507.000	124.600	29.410	273.900	61.460	15.870	4.783	450.400	100.700	25.890	8.564	
41619.098	0	3009.277	0	1765.000	399.100	96.270	23.440	2314.000	507.400	124.600	29.410	274.200	61.700	15.800	4.792	450.400	100.800	25.840	8.620	
41619.194	0	3009.361	0	1766.000	397.900	95.730	23.620	2324.000	507.600	125.300	29.590	274.800	61.440	15.880	4.815	450.400	100.900	26.010	8.673	
41619.207	0	3009.424	0	1765.000	403.000	96.290	23.440	2321.000	507.800	125.500	29.370	273.900	61.620	15.860	4.815	452.900	100.900	26.100	8.689	
41619.312	0	3009.508	0	1775.000	398.700	96.520	23.450	2319.000	509.600	125.200	29.440	273.600	61.550	15.890	4.801	454.200	101.300	26.250	8.739	
41619.424	0	3009.592	0	1776.000	400.100	96.840	23.610	2327.000	508.300	125.400	29.480	277.500	61.770	15.940	4.802	455.400	101.800	26.360	8.789	
41619.531	0	3009.676	0	1770.000	401.000	97.820	23.740	2322.000	510.700	126.500	29.580	275.900	62.080	15.950	4.839	457.600	102.800	26.470	8.834	
41619.544	0	3009.760	0	1786.000	402.100	96.610	23.630	2322.000	512.800	125.200	29.340	277.700	61.660	15.850	4.814	453.500	101.300	26.070	8.613	
41619.649	0	3009.844	0	1753.000	400.600	95.480	23.480	2303.000	508.600	124.800	29.250	276.500	61.510	15.900	4.791	451.800	100.100	26.010	8.585	
41619.761	0	3009.928	0	1760.000	398.400	95.300	23.380	2304.000	506.000	124.100	29.300	274.500	61.410	15.800	4.767	450.700	100.100	25.760	8.534	
41619.877	0	3010.012	0	1744.000	393.900	96.050	23.250	2303.000	506.100	124.200	29.290	272.200	61.360	15.820	4.734	449.700	99.910	25.710	8.489	
41619.890	0	3010.075	0	1749.000	395.400	95.000	23.230	2286.000	504.500	124.200	29.160	274.100	61.010	15.840	4.738	450.100	100.200	25.750	8.566	
41619.995	0	3010.179	0	1750.000	392.800	95.470	23.090	2288.000	501.100	124.700	29.110	276.400	61.410	15.810	4.761	452.100	100.700	26.090	8.622	
41620.107	0	3010.284	0	1755.000	395.200	94.880	23.130	2287.000	502.000	124.000	29.130	277.200	61.630	15.840	4.814	450.300	101.300	26.170	8.644	
41620.208	0	3010.369	0	1742.000	395.400	95.270	23.450	2282.000	503.100	123.600	28.970	278.400	61.450	15.890	4.808	452.600	101.300	26.150	8.678	
41620.220	0	3010.453	0	1740.000	397.200	95.990	23.500	2294.000	503.900	123.600	29.190	276.500	61.200	15.900	4.810	453.300	101.600	26.140	8.641	
41620.323	0	3010.536	0	1746.000	395.800	96.320	23.520	2292.000	502.900	125.000	29.250	280.200	61.410	15.940	4.809	455.800	102.100	26.330	8.732	
41620.439	0	3010.620	0	1764.000	400.100	96.980	23.750	2290.000	506.200	124.800	29.410	278.000	61.850	15.890	4.818	456.800	102.600	26.500	8.809	
41620.535	0	3010.704	0	1771.000	399.600	96.370	23.630	2296.000	507.100	125.000	29.230	277.100	61.950	16.020	4.824	458.700	102.800	26.600	8.814	
41620.548	0	3010.788	0	1755.000	395.700	95.930	23.450	2282.000	505.900	123.800	29.080	275.900	61.530	15.860	4.811	454.100	101.600	26.110	8.654	
41620.644	0	3010.872	0	1735.000	395.200	95.450	23.150	2283.000	501.100	124.400	28.950	276.900	61.270	15.790	4.771	451.000	100.400	26.040	8.545	
41620.740	0	3010.956	0	1733.000	392.200	95.010	23.020	2276.000	502.800	124.100	28.970	273.900	61.020	15.720	4.761	450.200	100.200	25.740	8.545	
41620.818	0	3011.040	0	1731.000	392.800	95.020	23.130	2283.000	503.400	123.300	28.950	275.400	60.880	15.760	4.784	451.000	99.850	25.770	8.538	
41620.859	0	3011.103	0	1723.000	393.900	94.500	22.900	2271.000	500.800	123.500	28.990	274.000	60.970	15.760	4.766	446.500	99.820	25.760	8.473	
41620.958	0	3011.187	0	1750.000	394.100	93.980	23.060	2279.000	500.300	123.500	29.070	273.200	60.910	15.720	4.786	448.200	100.200	25.760	8.538	
41621.058	0	3011.271	0	1726.000	393.100	95.070	23.070	2281.000	501.800	124.000	29.030	273.900	60.980	15.750	4.761	448.200	99.440	25.820	8.536	
41621.159	0	3011.355	0	1726.000	394.700	94.730	23.060	2279.000	501.400	123.100	29.170	273.200	60.850	15.720	4.757	449.100	100.100	25.660	8.537	
41621.253	0	3011.482	0	1755.000	394.600	94.900	23.190	2274.000	504.400	124.500	29.120	273.700	61.130	15.690	4.782	449.700	100.400	25.870	8.637	
41621.352	0	3011.566	0	1740.000	394.700	95.230	23.250	2284.000	504.200	124.200	29.140	272.400	61.010	15.770	4.760	451.400	101.100	26.200	8.577	
41621.454	0	3011.650	0	1742.000	398.100	95.720	23.660	2287.000	505.600	124.500	29.110	272.900	61.230	15.750	4.790	449.300	101.800	26.170	8.686	
41621.467	0	3011.713	0	1760.000	400.000	96.460	23.590	2309.000	508.300	125.100	29.480	274.600	61.390	15.850	4.776	453.600	101.300	26.280	8.675	
41621.576	0	3011.818	0	1752.000	400.700	97.360	23.610	2291.000	506.100	124.000	29.310	275.400	61.330	15.810	4.781	452.800	100.800	26.080	8.658	
41621.673	0	3011.902	0	1739.000	393.100	95.780	23.340	2293.000	503.700	124.100	29.070	270.500	60.900	15.630	4.773	449.300	99.880	25.590	8.529	
41621.769	0	3011.965	0	1733.000	392.600	95.360	22.910	2280.000	501.200	124.400	29.100	271.400	60.760	15.600	4.709	444.600	99.440	25.520	8.420	
41621.872	0	3012.048	0	1725.000	392.100	93.960	22.940	2266.000	498.600	123.300	29.130	268.600	60.530	15.560	4.682	444.000	98.860	25.420	8.445	
41621.884	0	3012.132	0	1722.000	391.900	94.060	22.970	2268.000	500.900	123.800	28.980	269.100	60.600	15.540	4.675	443.400	98.330	25.390	8.408	
41622.004	0	3012.216	0	1722.000	392.700	94.580	23.010	2253.000	501.300	123.100	29.140	269.700	60.570	15.540	4.696	444.100	98.660	25.310	8.411	
41622.105	0	3012.300	0	1731.000	388.700	94.180	23.050	2269.000	503.300	124.200	29.190	268.400	60.660	15.580	4.725	443.000	98.320	25.480	8.389	
41622.205	0	3012.384	0	1725.000	389.500	94.510	23.250	2257.000	501.500	123.800	29.070	270.000	60.840	15.550	4.720	443.600	99.280	25.610	8.489	
41622.270	0	3012.469	0	1722.000	392.300	94.700	23.110	2277.000	502.600	124.200	29.200	269.600	60.800	15.620	4.738	445.200	99.390	25.690	8.523	
41622.282	0	3012.553	0	1715.000	393.100	94.840	23.270	2270.000	500.300	123.900	29.130	271.700	60.970	15.630	4.746	446.600	100.100	25.850	8.589	
41622.431	0	3012.658	0	1728.000	392.600	94.400	23.370	2261.000	499.500	123.300	29.180	269.400	61.260	15.740	4.770	448.100	100.800	25.950	8.579	
41622.534	0	3012.763	0	1743.000	390.700	94.950	23.290	2269.000	499.800	123.700	29.280	270.800	61.400	15.690	4.767	449.700	101.400	26.060	8.710	
41622.632	0	3012.826	0	1739.000	394.200	95.270	23.390	2280.000	501.700	124.600	29.290	269.500	61.540	15.770	4.780	451.000	101.000	26.250	8.815	
41622.748	0	3012.910	0	1730.000	394.800	95.180	23.500	2268.000	499.400	123.200	29.040	272.200	61.520	15.810	4.789	451.100	100.700	25.990	8.599	
41622.760	0	3012.994	0	1727.000	391.000	94.270	23.040	2251.000	496.300	122.800	28.860	271.200	61.160	15.710	4.772	448.200	100.800	26.160	8.685	
41622.864	0	3013.078	0	1718.000	392.000	94.470	23.190	2281.000	498.900	122.900	28.780	273.400	62.340	16.150	4.900	454.600	102.300	26.500	8.702	
41622.980	0	3013.162	0	1727.000	393.800	94.610	23.140	2290.000	501.400	123.600	29.010	277.800	62.550	16.200	4.864	452.700	102.900	26.400	8.752	
41623.077	0	3013.246	0	1748.000	396.300	94.940	23.280	2305.000	503.600	123.700	29.090	272.600	62.800	16.230	4.897	456.100	102.800	26.650	8.797	
41623.090	0	3013.330	0	1763.000	397.600	95.070	23.490	2316.000	508.300	124.200	29.180	276.900	62.950	16.290	4.909	457.900	103.200	26.790	8.853	
41623.102	0	3013.394	0	1773.000	399.400	95.690	23.410	2329.000	507.400	124.300	29.200	277.600	63.320	16.300	4.950	459.100	103.700	26.940	8.935	
41623.250	0	3013.476	0	1776.000	402.000	96.220	23.570	2346.000	509.300	125.900	29.230	277.900	63.270	16.370	4.981	460.300	104.300	26.750	8.921	
41623.324	0	3013.582	0	1803.000	408.600	97.690	23.970	2359.000	517.200	124.700	29.420	279.200	63.390	16.340	4.948	463.200	104.500	26.880	8.906	
41623.431	0	3013.645	0	1803.000	408.500	98.010	23.660	2357.000	513.200	125.600	29.370	280.300	63.780	16.440	4.983	465.200	105.900	27.260	9.096	
41623.532	0	3013.729	0	1818.000	410.500	97.710	23.920	2379.000	515.900	125.500	29.230	279.400	64.500	16.750	5.115	471.900	107.700	28.170	9.385	
41623.632	0	3013.813	0	1845.000	414.500	97.730	24.070	2396.000	519.600	123.000	28.950	282.400	65.590	17.150	5.281	479.200	110.100	29.150	9.728	
41623.735	0	3013.939	0	1862.000	415.400	96.770	24.200	2411.000	517.700	122.000	28.520	286.700	68.020	17.870	5.593	487.800	113.600	30.030	10.230	
41623.837	0	3014.023	0	1842.000	409.400	95.740	23.860	2359.000	508.100	119.400	28.090	292.400	68.890	18.390	5.728	493.400	114.600	30.140	10.230	
41623.939	0	3014.107	0	1810.000	402.900	93.990	23.520	2323.000	497.300	116.100	27.420	293.500	68.870	18.470	5.749	488.700	113.900	30.170	10.220	
41623.952	0	3014.191	0	1806.000	402.000	94.100	23.360	2293.000	493.900	115.100	27.140	286.400	68.060	18.360	5.723	482.900	113.300	30.110	10.150	
41624.056	0	3014.254	0	1835.000	407.200	94.820	23.710	2311.000	498.300	114.400	26.940	289.400	67.740	18.240	5.716	481.300	112.100	29.990	10.310	
41624.157	0	3014.338	0	1820.000	404.700	93.220	23.510	2248.000	481.700	111.900	26.180	286.100	67.900	18.300	5.764	485.000	113.600	30.280	10.360	
41624.276	0	3014.444	0	1805.000	405.500	93.360	23.420	2241.000	479.000	111.100	26.060	285.600	67.520	18.200	5.683	486.600	114.300	30.600	10.340	
41624.288	0	3014.507	0	1790.000	401.000	92.680	23.430	2247.000	484.000	111.900	26.350	287.900	67.820	18.450	5.774	492.300	116.200	31.220	10.570	
41624.396	0	3014.591	0	1801.000	397.000	92.170	23.400	2239.000	484.600	110.200	26.210	292.000	68.980	18.710	5.853	498.000	117.000	31.470	10.670	
41624.508	0	3014.675	0	1788.000	401.000	92.230	23.360	2247.000	482.700	111.100	26.190	291.500	68.980	18.720	5.905	499.500	117.800	31.840	10.820	
41624.612	0	3014.759	0	1786.000	400.700	92.460	23.550	2233.000	483.900	112.400	26.410	291.400	69.400	18.640	5.928	498.200	117.900	31.640	10.650	
41624.625	0	3014.843	0	1814.000	406.400	93.870	23.790	2290.000	503.100	116.800	27.460	288.900	68.150	18.280	5.713	485.100	113.100	29.930	10.110	
41624.715	0	3014.926	0	1875.000	419.400	98.340	24.480	2404.000	521.100	121.900	28.500	285.100	66.680	17.780	5.576	475.700	109.900	29.140	9.863	
41624.817	0	3015.010	0	1926.000	430.600	100.100	24.680	2433.000	529.900	123.500	28.950	282.900	65.490	17.520	5.445	468.700	108.500	28.760	9.651	
41624.918	0	3015.115	0	1940.000	438.300	101.900	24.960	2449.000	534.100	125.000	29.230	281.700	65.260	17.410	5.386	466.600	107.300	28.480	9.562	
41625.018	0	3015.199	0	1943.000	441.200	102.500	25.200	2472.000	543.000	127.700	29.700	278.800	64.860	17.120	5.323	462.300	106.500	28.030	9.378	
41625.137	0	3015.283	0	1962.000	439.200	103.200	25.230	2473.000	546.500	127.400	29.710	277.700	64.170	17.070	5.226	462.500	105.800	27.630	9.258	
41625.149	0	3015.367	0	1953.000	441.600	103.300	25.180	2479.000	543.200	127.900	29.800	277.400	63.630	16.920	5.133	460.000	104.900	27.580	9.200	
41625.255	0	3015.451	0	1973.000	444.900	103.000	25.290	2492.000	548.800	129.300	30.050	278.300	63.200	16.760	5.075	457.900	103.900	27.380	9.042	
41625.384	0	3015.536	0	1982.000	447.000	104.600	25.460	2499.000	550.300	129.600	30.190	274.000	62.760	16.680	5.030	456.400	103.700	27.470	9.042	
41625.397	0	3015.620	0	1977.000	450.900	104.300	25.870	2510.000	551.400	129.900	30.320	273.800	62.080	16.640	5.027	457.200	103.100	27.430	9.084	
41625.498	0	3015.704	0	2002.000	451.800	105.300	25.900	2514.000	552.200	129.900	30.460	274.200	62.200	16.650	5.058	458.400	103.700	27.410	9.102	
