Subject:	S208
Project:	glassroutes
Time:	2015-01-22_15-34-00

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
2455	56249.747	3295.348	0;baselinestart;1421959048323;	0	baselinestart	1421959048323	
2807	56279.603	3325.216	0;baselineend;1421959078327;	0	baselineend	1421959078327	
2814	56280.135	3325.826	15;easystart;1421959078829	15	easystart	1421959078829	
3173	56310.667	3356.284	15;easy;1421959109349	15	easy	1421959109349	
3179	56311.201	3356.767	10;passed;1421959109850	10	passed	1421959109850	
3326	56323.660	3369.264	16;hardstart;1421959122351	16	hardstart	1421959122351	
3687	56354.278	3399.869	16;hard;1421959152874	16	hard	1421959152874	
3693	56354.707	3400.351	10;passed;1421959153375	10	passed	1421959153375	
3840	56367.204	3412.850	16;hardstart;1421959165875	16	hardstart	1421959165875	
4200	56397.730	3443.371	16;hard;1421959196394	16	hard	1421959196394	
4206	56398.249	3443.875	10;passed;1421959196895	10	passed	1421959196895	
4353	56410.765	3456.372	15;easystart;1421959209396	15	easystart	1421959209396	
4714	56441.313	3486.955	15;easy;1421959239918	15	easy	1421959239918	
4719	56441.758	3487.417	10;passed;1421959240419	10	passed	1421959240419	
4866	56454.260	3499.874	16;hardstart;1421959252920	16	hardstart	1421959252920	
5227	56484.826	3530.479	16;hard;1421959283438	16	hard	1421959283438	
5232	56485.289	3530.919	10;passed;1421959283939	10	passed	1421959283939	
5380	56497.806	3543.459	15;easystart;1421959296439	15	easystart	1421959296439	
5740	56528.332	3573.979	15;easy;1421959326959	15	easy	1421959326959	
5745	56528.798	3574.441	10;passed;1421959327460	10	passed	1421959327460	
5893	56541.302	3586.980	15;easystart;1421959339962	15	easystart	1421959339962	
6259	56572.469	3618.027	10;passed;1421959370983	10	passed	1421959370983	
6407	56584.887	3630.567	16;hardstart;1421959383483	16	hardstart	1421959383483	
6767	56615.438	3661.129	16;hard;1421959414002	16	hard	1421959414002	
6773	56615.921	3661.611	10;passed;1421959414503	10	passed	1421959414503	
6920	56628.392	3674.067	16;hardstart;1421959427003	16	hardstart	1421959427003	
7280	56658.868	3704.630	16;hard;1421959457521	16	hard	1421959457521	
7285	56659.351	3705.051	10;passed;1421959458022	10	passed	1421959458022	
7433	56671.899	3717.590	15;easystart;1421959470523	15	easystart	1421959470523	
7792	56702.378	3748.069	15;easy;1421959501043	15	easy	1421959501043	
7799	56702.953	3748.635	10;passed;1421959501544	10	passed	1421959501544	
7946	56715.424	3761.090	15;easystart;1421959514044	15	easystart	1421959514044	
8305	56745.869	3791.570	15;easy;1421959544563	15	easy	1421959544563	
8311	56746.395	3792.054	10;passed;1421959545063	10	passed	1421959545063	
8606	56771.418	3817.091	15;easystart;1421959570065	15	easystart	1421959570065	
8967	56802.000	3847.695	15;easy;1421959600586	15	easy	1421959600586	
8972	56802.447	3848.157	10;passed;1421959601086	10	passed	1421959601086	
9120	56814.948	3860.677	16;hardstart;1421959613587	16	hardstart	1421959613587	
9480	56845.482	3891.217	16;hard;1421959644107	16	hard	1421959644107	
9486	56846.041	3891.743	10;passed;1421959644608	10	passed	1421959644608	
9633	56858.462	3904.198	15;easystart;1421959657109	15	easystart	1421959657109	
9993	56889.018	3934.719	15;easy;1421959687628	15	easy	1421959687628	
10000	56889.583	3935.327	10;passed;1421959688129	10	passed	1421959688129	
10147	56902.039	3947.785	16;hardstart;1421959700629	16	hardstart	1421959700629	
10506	56932.510	3978.220	16;hard;1421959731149	16	hard	1421959731149	
