S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.14159,0.18682,0.22373,0.24316,0.086482,0.12338,0.13441,0.059335,0.21261,0.20199,0.22929,0.23174,0.3073,0.29368,0.28736,0.29371,0.0092147,0.01099,0.014527,0.017929,0.0042822,0.0036994,-0.0028726,-0.0069468,0.0077465,0.0060802,0.0077509,0.0070084,0.022915,0.023184,0.022011,0.021776,17
-0.068758,-0.10936,-0.086383,-0.045985,-0.0053287,-4.9482e-005,0.082802,0.14453,-0.040948,-0.11495,-0.18775,-0.23206,0.42945,0.32374,0.25543,0.29953,-0.0096003,-0.014362,-0.01293,-0.010213,9.3977e-006,-0.0013821,0.0016663,0.0048671,-0.011303,-0.014492,-0.021428,-0.024877,0.024411,0.022259,0.017318,0.020318,17
-0.070444,-0.10105,0.010886,0.10662,0.01031,-0.065186,-0.20967,-0.24383,-0.029224,-0.047006,-0.11242,-0.1291,0.47588,0.39967,0.36724,0.38381,-0.014699,-0.020406,-0.015549,-0.0099583,-0.0033188,-0.010875,-0.028196,-0.027089,-0.017061,-0.017316,-0.022946,-0.025576,0.012673,0.014113,0.015523,0.018354,17
0.03756,0.079805,0.11576,0.12234,0.089012,0.13159,0.28338,0.25958,0.23262,0.20192,0.19102,0.14851,0.26095,0.28076,0.32399,0.36948,-0.010906,-0.012397,-0.011067,-0.010792,0.0021023,0.0023754,0.0082686,0.010382,-0.0021205,-0.0044342,-0.0091652,-0.014145,0.0043434,0.010382,0.015509,0.021675,17
-0.09671,-0.027256,0.0044895,0.011938,-0.078353,-0.057944,-0.10304,-0.0582,0.29928,0.17172,0.085151,0.065385,0.075058,-0.11128,-0.2233,-0.24105,-0.013662,-0.012543,-0.0092669,-0.0066574,-0.0075301,-0.010444,-0.021224,-0.016351,0.0021877,-0.0036847,-0.010913,-0.012729,0.0027384,-0.0080362,-0.016518,-0.016693,17
0.13889,0.19781,0.24873,0.28635,0.063748,0.067881,0.030034,-0.030653,0.28119,0.1917,0.13612,0.11872,0.52201,0.4946,0.47295,0.45676,-0.0058968,-0.0038746,0.0001502,0.0038157,0.0003691,-0.0020234,-0.0087352,-0.011736,0.007962,0.0014983,-0.0075487,-0.010236,0.033521,0.030974,0.025925,0.025581,17
0.22861,0.25998,0.3707,0.49035,0.036589,-0.006676,-0.14135,-0.22714,0.078273,-0.067002,-0.14815,-0.18983,0.77245,0.72013,0.63186,0.62194,-0.003636,-0.0042265,0.0030136,0.010474,-0.0038428,-0.0097214,-0.028138,-0.031696,-0.0081356,-0.015632,-0.024417,-0.028322,0.040986,0.040829,0.034511,0.036816,17
-0.12252,-0.10982,-0.021349,0.040498,-0.078032,-0.095575,-0.075883,-0.050242,0.23928,0.23695,0.1431,-0.098874,0.73393,0.60422,0.36942,0.2489,-0.01456,-0.017358,-0.013447,-0.010335,-0.0077189,-0.010454,-0.016129,-0.012483,-0.0030828,0.0043257,0.00087342,-0.018523,0.026769,0.025956,0.015747,0.010511,17
-0.1891,-0.033496,0.20358,0.30666,-0.13076,-0.1113,-0.013675,0.064928,0.41691,0.38672,0.27559,-0.049377,1.0609,0.80603,0.5275,0.32003,-0.018968,-0.016148,-0.0041437,0.0041207,-0.0085499,-0.011028,-0.018615,-0.011215,-0.0016529,0.0098535,0.010176,-0.011562,0.027661,0.020963,0.011011,-0.0011418,17
0.14609,0.17871,0.2597,0.32765,-0.064435,-0.081266,-0.16553,-0.17843,0.074946,0.18372,0.15646,-0.15261,0.37803,0.42534,0.28113,0.16238,0.0075948,0.0054977,0.0087007,0.014108,-0.0040303,-0.0090932,-0.027332,-0.028045,-0.021312,-0.012087,-0.0086794,-0.024055,0.008543,0.020899,0.020328,0.018827,17
0.037603,0.11042,0.21971,0.28323,0.0077523,0.0020137,-0.041411,-0.096039,0.35901,0.23331,0.16151,0.088685,0.96973,0.81775,0.67405,0.63983,-0.0096693,-0.0085155,-0.0017374,0.0037397,-0.0027312,-0.0046755,-0.012261,-0.014228,-0.00029931,-0.0055455,-0.011595,-0.016055,0.046723,0.043498,0.03779,0.038087,17
0.15407,0.20321,0.28216,0.31192,0.078246,0.089453,0.11031,0.021821,0.55396,0.52907,0.44461,0.41596,0.79628,0.69382,0.52813,0.44096,-0.00049671,7.9613e-005,0.0054781,0.0089331,0.00092282,-0.0008465,-0.007126,-0.010863,0.019431,0.018138,0.0091364,0.0066373,0.044052,0.041002,0.030587,0.027798,17
