Subject:	S213
Project:	glassroutes
Time:	2015-02-03_13-25-57

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
153	48371.398	2070.595	0;baselinestart;1422987971327;	0	baselinestart	1422987971327	
507	48401.397	2100.610	0;baselineend;1422988001329;	0	baselineend	1422988001329	
513	48401.907	2101.156	15;easystart;1422988001831	15	easystart	1422988001831	
873	48432.423	2131.655	15;easy;1422988032352	15	easy	1422988032352	
879	48432.979	2132.160	10;passed;1422988032852	10	passed	1422988032852	
1026	48445.402	2144.658	16;hardstart;1422988045353	16	hardstart	1422988045353	
1387	48476.022	2175.263	16;hard;1422988075871	16	hard	1422988075871	
1392	48476.479	2175.703	10;passed;1422988076372	10	passed	1422988076372	
1539	48488.941	2188.159	16;hardstart;1422988088873	16	hardstart	1422988088873	
1900	48519.516	2218.763	16;hard;1422988119393	16	hard	1422988119393	
1905	48519.986	2219.226	10;passed;1422988119894	10	passed	1422988119894	
2053	48532.524	2231.745	16;hardstart;1422988132395	16	hardstart	1422988132395	
2413	48563.019	2262.285	16;hard;1422988162915	16	hard	1422988162915	
2418	48563.495	2262.727	10;passed;1422988163416	10	passed	1422988163416	
2566	48575.999	2275.267	16;hardstart;1422988175916	16	hardstart	1422988175916	
2926	48606.497	2305.787	16;hard;1422988206435	16	hard	1422988206435	
2932	48607.055	2306.313	10;passed;1422988206936	10	passed	1422988206936	
3079	48619.514	2318.790	15;easystart;1422988219436	15	easystart	1422988219436	
3439	48650.063	2349.309	15;easy;1422988249959	15	easy	1422988249959	
3446	48650.620	2349.919	10;passed;1422988250460	10	passed	1422988250460	
3593	48663.044	2362.353	15;easystart;1422988262961	15	easystart	1422988262961	
3952	48693.566	2392.853	15;easy;1422988293478	15	easy	1422988293478	
3959	48694.161	2393.419	10;passed;1422988293979	10	passed	1422988293979	
4106	48706.618	2405.877	16;hardstart;1422988306480	16	hardstart	1422988306480	
4466	48737.122	2436.438	16;hard;1422988337000	16	hard	1422988337000	
4472	48737.531	2436.943	10;passed;1422988337501	10	passed	1422988337501	
4619	48750.111	2449.398	15;easystart;1422988350002	15	easystart	1422988350002	
4979	48780.601	2479.939	15;easy;1422988380523	15	easy	1422988380523	
4985	48781.116	2480.443	10;passed;1422988381024	10	passed	1422988381024	
5132	48793.633	2492.941	15;easystart;1422988393525	15	easystart	1422988393525	
5493	48824.209	2523.546	15;easy;1422988424045	15	easy	1422988424045	
5498	48824.581	2523.945	10;passed;1422988424547	10	passed	1422988424547	
5645	48837.137	2536.443	16;hardstart;1422988437048	16	hardstart	1422988437048	
6005	48867.652	2566.964	16;hard;1422988467566	16	hard	1422988467566	
6012	48868.202	2567.551	10;passed;1422988468068	10	passed	1422988468068	
6454	48905.732	2605.024	16;hardstart;1422988505569	16	hardstart	1422988505569	
6814	48936.252	2635.587	16;hard;1422988536089	16	hard	1422988536089	
6967	48949.267	2648.568	16;hardstart;1422988549090	16	hardstart	1422988549090	
7327	48979.737	2679.088	16;hard;1422988579608	16	hard	1422988579608	
7333	48980.284	2679.591	10;passed;1422988580110	10	passed	1422988580110	
7480	48992.673	2692.090	15;easystart;1422988592610	15	easystart	1422988592610	
7840	49023.292	2722.611	15;easy;1422988623127	15	easy	1422988623127	
7846	49023.736	2723.094	10;passed;1422988623627	10	passed	1422988623627	
7993	49036.270	2735.591	15;easystart;1422988636127	15	easystart	1422988636127	
8353	49066.748	2766.133	15;easy;1422988666649	15	easy	1422988666649	
8360	49067.323	2766.699	10;passed;1422988667149	10	passed	1422988667149	
8507	49079.765	2779.177	15;easystart;1422988679649	15	easystart	1422988679649	
8867	49110.265	2809.698	15;easy;1422988710167	15	easy	1422988710167	
8873	49110.836	2810.243	10;passed;1422988710668	10	passed	1422988710668	
9019	49123.241	2822.615	16;hardstart;1422988723169	16	hardstart	1422988723169	
9380	49153.787	2853.219	16;hard;1422988753689	16	hard	1422988753689	
9386	49154.341	2853.744	10;passed;1422988754191	10	passed	1422988754191	
9533	49166.802	2866.201	16;hardstart;1422988766691	16	hardstart	1422988766691	
9893	49197.315	2896.721	16;hard;1422988797211	16	hard	1422988797211	
9899	49197.870	2897.267	10;passed;1422988797712	10	passed	1422988797712	
10047	49210.338	2909.786	15;easystart;1422988810213	15	easystart	1422988810213	
10406	49240.831	2940.243	15;easy;1422988840731	15	easy	1422988840731	
10412	49241.343	2940.768	10;passed;1422988841232	10	passed	1422988841232	
10560	49253.895	2953.307	15;easystart;1422988853732	15	easystart	1422988853732	
10920	49284.406	2983.828	15;easy;1422988884248	15	easy	1422988884248	
10925	49284.840	2984.270	10;passed;1422988884749	10	passed	1422988884749	
11073	49297.407	2996.810	16;hardstart;1422988897250	16	hardstart	1422988897250	
11433	49327.911	3027.372	16;hard;1422988927770	16	hard	1422988927770	
11439	49328.431	3027.875	10;passed;1422988928271	10	passed	1422988928271	
12029	49378.442	3077.888	16;hardstart;1422988978272	16	hardstart	1422988978272	
12388	49408.872	3108.368	16;hard;1422989008790	16	hard	1422989008790	
12394	49409.443	3108.871	10;passed;1422989009291	10	passed	1422989009291	
12541	49421.886	3121.327	16;hardstart;1422989021792	16	hardstart	1422989021792	
12901	49452.347	3151.889	16;hard;1422989052310	16	hard	1422989052310	
12907	49452.902	3152.373	10;passed;1422989052811	10	passed	1422989052811	
13055	49465.477	3164.954	16;hardstart;1422989065311	16	hardstart	1422989065311	
13414	49495.904	3195.391	16;hard;1422989095830	16	hard	1422989095830	
