A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.02993,0.008301,0.005797,0.001849,0.005691,0.002134,0.005749,0.002003,0.048,0.02044,0.009569,0.00335,0.00889,0.002671,0.009601,0.003424,one,one,junk
0.02966,0.007864,0.005823,0.001888,0.005537,0.002015,0.00577,0.002047,0.0478,0.02039,0.01005,0.003376,0.008847,0.002676,0.00992,0.003488,one,one,junk
0.02853,0.007886,0.005309,0.001703,0.005409,0.001995,0.005246,0.001876,0.04813,0.02028,0.01003,0.003262,0.008928,0.002712,0.009854,0.003496,one,one,junk
0.02824,0.007768,0.005707,0.001808,0.005314,0.001999,0.005637,0.001953,0.04762,0.01996,0.01042,0.003262,0.008536,0.002604,0.009919,0.003572,one,one,junk
0.02817,0.007492,0.005301,0.001778,0.005464,0.001925,0.00534,0.001922,0.04828,0.02012,0.01042,0.003297,0.009013,0.00277,0.01026,0.003584,one,one,junk
0.02795,0.00769,0.005457,0.001738,0.005388,0.002,0.005412,0.001852,0.04833,0.02004,0.01029,0.003314,0.008795,0.002667,0.009943,0.003563,one,one,junk
0.02697,0.007375,0.005362,0.001793,0.005265,0.001878,0.00543,0.001927,0.04925,0.02029,0.01064,0.003396,0.009309,0.002811,0.01065,0.003657,one,one,junk
0.02875,0.007916,0.00533,0.001735,0.005519,0.002002,0.005352,0.001881,0.05038,0.02033,0.01053,0.003376,0.009334,0.002801,0.01034,0.003635,one,one,junk
0.02676,0.007684,0.005452,0.001742,0.005222,0.001904,0.005502,0.001866,0.05145,0.02045,0.01089,0.003495,0.009862,0.002891,0.011,0.003768,one,one,junk
0.02709,0.007585,0.005085,0.001697,0.005226,0.00184,0.00515,0.001842,0.05226,0.02055,0.01107,0.003463,0.009734,0.002911,0.011,0.003726,one,one,junk
0.02519,0.007534,0.004946,0.001576,0.004994,0.001826,0.005009,0.001696,0.05331,0.02056,0.01105,0.003579,0.0104,0.002984,0.01132,0.003808,one,one,junk
0.02522,0.007295,0.005027,0.001673,0.004921,0.001745,0.005148,0.001797,0.05326,0.02058,0.01135,0.003601,0.01007,0.002964,0.01137,0.003841,one,one,junk
0.02417,0.006963,0.004491,0.001413,0.004773,0.001637,0.004533,0.001518,0.05308,0.02052,0.0109,0.003524,0.01033,0.002999,0.01124,0.00375,one,one,junk
0.009215,0.004036,0.002258,5.877E-4,0.002055,6.5E-4,0.002302,6.008E-4,0.05062,0.02018,0.01004,0.003392,0.009349,0.002843,0.01037,0.003627,one,one,junk
0.005612,0.003583,0.001163,4.381E-4,0.001411,5.035E-4,0.001299,5.067E-4,0.05036,0.02005,0.01028,0.003286,0.00944,0.002812,0.01053,0.003547,one,one,junk
0.00813,0.004404,0.001893,5.65E-4,0.001982,7.547E-4,0.001988,6.306E-4,0.05174,0.02017,0.01064,0.003485,0.0102,0.002957,0.01098,0.003749,one,one,junk
0.01089,0.00448,0.002391,8.114E-4,0.002342,8.401E-4,0.002536,8.92E-4,0.05087,0.02009,0.01098,0.003466,0.009711,0.002864,0.01097,0.003725,one,one,junk
0.01305,0.005002,0.00251,8.084E-4,0.002858,0.001002,0.002608,8.856E-4,0.05107,0.0201,0.01081,0.003421,0.01022,0.002928,0.01107,0.003681,one,one,junk
0.0158,0.00574,0.003469,0.001166,0.003343,0.001283,0.003627,0.001252,0.05098,0.02007,0.0112,0.003537,0.01005,0.002894,0.01117,0.003795,one,one,junk
0.02654,0.007248,0.004977,0.001677,0.005225,0.001834,0.005118,0.001822,0.05037,0.02003,0.01111,0.003415,0.009873,0.002849,0.01109,0.003693,one,one,junk
0.0267,0.007558,0.005263,0.001657,0.005347,0.001928,0.005365,0.001783,0.05169,0.02013,0.01111,0.003531,0.01048,0.00295,0.01135,0.003799,one,one,junk
0.02697,0.007322,0.005355,0.001734,0.00525,0.001836,0.005466,0.001879,0.05113,0.02014,0.01136,0.003525,0.00985,0.002846,0.01116,0.003778,one,one,junk
0.0245,0.006996,0.004549,0.001424,0.004853,0.001683,0.004644,0.001553,0.05145,0.02015,0.01098,0.00344,0.01028,0.002903,0.01118,0.003705,one,one,junk
0.02102,0.006616,0.004378,0.001377,0.0042,0.00153,0.004493,0.001501,0.05221,0.02024,0.01136,0.003569,0.01029,0.002914,0.0114,0.003834,one,one,junk
0.02266,0.00659,0.004237,0.001353,0.004369,0.001512,0.004315,0.00149,0.05155,0.02019,0.0113,0.003432,0.009809,0.0028,0.01103,0.003712,one,one,junk
0.01005,0.00428,0.002159,5.393E-4,0.002229,7.426E-4,0.002204,5.914E-4,0.05168,0.0201,0.01089,0.003476,0.01027,0.002887,0.0111,0.003739,one,one,junk
0.006274,0.003549,0.001577,4.89E-4,0.001499,5.017E-4,0.001698,5.394E-4,0.05104,0.02003,0.01103,0.003439,0.009582,0.002808,0.0109,0.003715,one,one,junk
0.006542,0.003718,0.001286,3.907E-4,0.001582,5.839E-4,0.001361,4.475E-4,0.04999,0.01979,0.01048,0.00326,0.009329,0.00269,0.01038,0.003542,one,one,junk
0.009946,0.004571,0.00241,7.627E-4,0.002267,8.655E-4,0.002542,8.31E-4,0.0506,0.01994,0.01117,0.003485,0.009926,0.002819,0.0111,0.003769,one,one,junk
0.01582,0.005428,0.002992,0.001014,0.003174,0.001142,0.003106,0.001128,0.05022,0.01988,0.01117,0.003408,0.009424,0.002721,0.01076,0.003689,one,one,junk
0.01785,0.006113,0.003617,0.001115,0.003652,0.00137,0.003686,0.001234,0.0503,0.01977,0.01116,0.003445,0.01005,0.002793,0.01108,0.003735,one,one,junk
0.02436,0.007063,0.004853,0.00159,0.004728,0.001717,0.004969,0.001758,0.05054,0.01987,0.01168,0.003528,0.01002,0.002837,0.01145,0.003835,one,one,junk
0.02696,0.00742,0.004978,0.001539,0.005136,0.001834,0.004983,0.001705,0.05009,0.01966,0.01144,0.003396,0.009669,0.002722,0.01094,0.003735,one,one,junk
0.02319,0.006901,0.004787,0.001486,0.004578,0.001668,0.004875,0.001622,0.05059,0.01971,0.01185,0.003567,0.01038,0.002885,0.01167,0.003925,one,one,junk
0.02195,0.006365,0.004123,0.001319,0.004282,0.001467,0.004204,0.001448,0.0507,0.01976,0.01182,0.003482,0.009877,0.002819,0.01131,0.003841,one,one,junk
0.01327,0.004739,0.002745,7.214E-4,0.002738,9.331E-4,0.00273,7.656E-4,0.0497,0.01965,0.01139,0.003437,0.00982,0.002733,0.01103,0.003775,one,one,junk
0.01054,0.004918,0.002354,9.03E-4,0.002341,9.695E-4,0.002541,0.001031,0.05022,0.01974,0.01182,0.003497,0.009995,0.002813,0.01152,0.003852,one,one,junk
0.0302,0.008236,0.005586,0.001769,0.00572,0.002096,0.00558,0.001973,0.05121,0.01974,0.01219,0.00353,0.01013,0.002772,0.01153,0.0039,one,one,junk
0.03204,0.008658,0.006395,0.002036,0.006134,0.002273,0.006482,0.002223,0.05132,0.01975,0.01247,0.003657,0.01054,0.002877,0.012,0.004037,one,one,junk
0.03558,0.009022,0.00658,0.00214,0.006647,0.002384,0.006622,0.002384,0.05093,0.01982,0.01225,0.003575,0.009955,0.002815,0.01157,0.003934,one,one,junk
0.04123,0.01027,0.007866,0.002498,0.007791,0.00289,0.007907,0.002745,0.05072,0.01996,0.01178,0.003659,0.0104,0.002839,0.01143,0.003901,one,one,junk
0.05316,0.01209,0.01015,0.003351,0.00995,0.003659,0.01025,0.003709,0.05062,0.02032,0.01159,0.003763,0.0104,0.002902,0.01152,0.003867,one,one,junk
0.06633,0.01337,0.01225,0.003814,0.01227,0.00433,0.0122,0.004197,0.0492,0.01995,0.01058,0.003566,0.01011,0.00285,0.01074,0.003648,one,one,junk
0.04785,0.0106,0.009288,0.002736,0.008983,0.003019,0.00923,0.002941,0.0465,0.0199,0.008878,0.003344,0.008792,0.002733,0.009389,0.003417,one,one,junk
0.02271,0.006281,0.004262,0.001233,0.004369,0.001353,0.004244,0.00133,0.04613,0.02018,0.008489,0.003137,0.00841,0.002669,0.00903,0.0032,one,one,junk
0.01316,0.005613,0.002783,8.793E-4,0.002889,0.001115,0.002904,9.752E-4,0.04854,0.02034,0.009391,0.003378,0.009537,0.002858,0.01006,0.003491,one,one,junk
0.01749,0.006059,0.003643,0.001201,0.003535,0.00128,0.003793,0.001324,0.04896,0.0202,0.0105,0.003434,0.009505,0.00282,0.01058,0.003676,one,one,junk
0.01785,0.006093,0.00335,0.001068,0.003678,0.0013,0.003451,0.001188,0.04944,0.02013,0.01044,0.003436,0.0101,0.002905,0.01083,0.00368,one,one,junk
0.02403,0.00743,0.004964,0.001631,0.004826,0.001813,0.005111,0.001758,0.05107,0.02015,0.01185,0.003718,0.01072,0.002968,0.0118,0.003979,one,one,junk
0.01896,0.006079,0.003602,0.001243,0.003915,0.001362,0.003757,0.001344,0.04896,0.02017,0.01067,0.003525,0.009856,0.002875,0.01082,0.00371,one,one,junk
0.02992,0.008008,0.005791,0.001823,0.005855,0.002115,0.005864,0.001957,0.05078,0.0205,0.01123,0.003695,0.01045,0.002914,0.01116,0.003828,one,one,junk
0.02589,0.007056,0.005169,0.001675,0.005022,0.001793,0.005283,0.001818,0.05001,0.02064,0.01137,0.003632,0.01005,0.002883,0.01126,0.003835,one,one,junk
0.02539,0.007087,0.004715,0.001515,0.004993,0.001765,0.004807,0.001662,0.05077,0.02066,0.0112,0.003629,0.01028,0.002949,0.01115,0.003832,one,one,junk
0.02064,0.006242,0.004328,0.001331,0.004092,0.001504,0.004401,0.001441,0.04979,0.02061,0.01102,0.003607,0.009993,0.002858,0.01102,0.003815,one,one,junk
0.02277,0.00664,0.004318,0.001466,0.004558,0.001608,0.004488,0.001614,0.05087,0.02087,0.0109,0.003609,0.01025,0.00302,0.01122,0.003817,one,one,junk
0.02368,0.007114,0.004666,0.001459,0.004717,0.001739,0.004742,0.001583,0.0513,0.02085,0.01087,0.00362,0.01037,0.002969,0.01109,0.003807,one,one,junk
0.02321,0.006803,0.004698,0.001538,0.004622,0.001623,0.004868,0.001663,0.05294,0.02114,0.01139,0.00375,0.01078,0.003135,0.01183,0.003973,one,one,junk
0.02042,0.00639,0.003788,0.001216,0.00409,0.001423,0.003897,0.001316,0.052,0.02104,0.01053,0.00358,0.01008,0.002987,0.01079,0.00374,one,one,junk
0.01744,0.006079,0.003756,0.001193,0.00363,0.00134,0.003875,0.001289,0.05264,0.02102,0.01084,0.003673,0.01062,0.003077,0.0114,0.003873,one,one,junk
0.02067,0.006516,0.003917,0.001355,0.004157,0.001454,0.00411,0.001465,0.05295,0.02131,0.01086,0.003794,0.01059,0.003109,0.0113,0.003823,one,one,junk
0.02089,0.006701,0.004122,0.001279,0.004175,0.001535,0.004191,0.001388,0.05213,0.02123,0.01042,0.003784,0.01056,0.003033,0.01083,0.003741,one,one,junk
0.01877,0.006031,0.00389,0.001277,0.003841,0.001332,0.004083,0.001369,0.05254,0.02124,0.01085,0.003841,0.01077,0.003175,0.01147,0.003872,one,one,junk
