A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.001068,-0.002186,0.001155,-0.001479,0.001632,-8.416E-4,5.372E-4,-6.548E-4,0.001512,0.002231,-7.627E-5,9.144E-4,-1.688E-4,5.285E-4,-3.19E-5,6.469E-4,two,one,junk
2.441E-4,-0.002499,0.002136,-0.0016,0.002284,-0.001033,0.001725,-6.207E-4,0.001496,0.002174,-1.657E-4,8.615E-4,-3.457E-4,4.998E-4,-2.349E-4,6.259E-4,two,one,junk
-0.002654,-0.002951,0.001576,-0.001868,0.001018,-0.001287,7.657E-4,-5.824E-4,8.88E-4,0.002301,-9.307E-5,7.989E-4,-2.612E-4,4.362E-4,-1.076E-4,5.438E-4,two,one,junk
-0.001893,-0.002901,0.001762,-0.001843,0.001511,-0.001322,0.001135,-6.03E-4,-1.428E-4,0.002328,-1.924E-4,6.194E-4,-4.828E-4,2.641E-4,-3.09E-4,3.956E-4,two,one,junk
-0.001403,-0.002819,0.002101,-0.001858,0.002002,-0.001238,0.001695,-5.559E-4,-1.413E-4,0.002237,-1.073E-4,4.324E-4,-4.69E-4,1.236E-4,-2.823E-4,2.439E-4,two,one,junk
-0.002031,-0.002785,0.00149,-0.001823,0.001069,-0.001239,7.535E-4,-5.399E-4,5.124E-4,0.002313,3.385E-5,5.374E-4,-2.718E-4,2.121E-4,-4.659E-5,3.222E-4,two,one,junk
-0.001682,-0.002727,0.002006,-0.001817,0.001762,-0.001252,0.001367,-5.182E-4,0.001285,0.002368,2.808E-5,8.047E-4,-2.732E-4,4.217E-4,-6.491E-5,5.085E-4,two,one,junk
-0.002063,-0.002817,0.001609,-0.001778,0.001413,-0.001234,0.001135,-5.404E-4,1.127E-4,0.003054,3.395E-4,0.00102,1.597E-4,6.396E-4,1.972E-4,6.917E-4,two,one,junk
-0.002092,-0.002645,0.001831,-0.00182,0.001438,-0.001256,0.001063,-5.303E-4,2.388E-4,0.003074,6.467E-4,0.001062,5.128E-4,6.616E-4,4.974E-4,7.264E-4,two,one,junk
-0.001653,-0.002678,0.002047,-0.001767,0.002039,-0.00122,0.001766,-5.227E-4,9.253E-6,0.00299,4.851E-4,0.001024,3.492E-4,6.407E-4,3.827E-4,7.081E-4,two,one,junk
-0.002781,-0.002694,0.001336,-0.001777,8.736E-4,-0.001225,5.503E-4,-4.93E-4,-7.889E-5,0.002847,3.188E-4,0.001063,2.227E-4,6.269E-4,2.873E-4,6.902E-4,two,one,junk
-0.001648,-0.002719,0.001795,-0.001762,0.001448,-0.001177,0.001126,-5.149E-4,1.373E-4,0.002673,1.791E-4,9.818E-4,1.666E-4,5.486E-4,3.591E-4,6.136E-4,two,one,junk
-0.001466,-0.002602,0.00203,-0.00171,0.002098,-0.001171,0.001703,-4.825E-4,-1.866E-5,0.002527,-1.48E-4,7.937E-4,-2.611E-4,4.023E-4,5.653E-5,4.935E-4,two,one,junk
-0.001769,-0.002622,0.001656,-0.001713,0.001348,-0.001147,0.001107,-5.205E-4,-3.613E-4,0.002495,-2.074E-4,6.677E-4,-3.336E-4,2.961E-4,-6.165E-5,4.166E-4,two,one,junk
-0.001037,-0.002608,0.002036,-0.001696,0.00212,-0.001113,0.00182,-5.202E-4,-0.001199,0.002527,-2.336E-4,4.745E-4,-3.885E-4,1.658E-4,-3.328E-5,2.562E-4,two,one,junk
-0.001805,-0.002606,0.001594,-0.001689,0.00144,-0.001075,0.001262,-4.989E-4,-0.001135,0.002402,-4.44E-4,3.339E-4,-7.118E-4,6.292E-5,-2.632E-4,1.363E-4,two,one,junk
-0.001383,-0.002595,0.001756,-0.001682,0.001671,-0.001087,0.001329,-5.079E-4,-5.864E-4,0.002327,-3.988E-4,2.975E-4,-6.032E-4,4.864E-5,-2.073E-4,1.423E-4,two,one,junk
-0.001426,-0.002554,0.00194,-0.001684,0.00221,-0.001045,0.002011,-4.907E-4,0.001005,0.002419,-3.0E-4,5.966E-4,-2.746E-4,3.054E-4,5.182E-5,4.067E-4,two,one,junk
-0.002705,-0.002496,0.001221,-0.001699,0.001127,-0.001046,8.351E-4,-4.936E-4,0.002635,0.002341,-5.014E-5,8.211E-4,-6.672E-5,5.422E-4,1.964E-4,5.94E-4,two,one,junk
-0.001609,-0.002545,0.001637,-0.001706,0.001755,-9.985E-4,0.001494,-4.932E-4,0.002797,0.002318,2.794E-4,8.039E-4,1.777E-4,5.576E-4,2.819E-4,6.124E-4,two,one,junk
-0.001659,-0.002526,0.001622,-0.001668,0.00218,-9.844E-4,0.001881,-4.825E-4,0.002954,0.002255,1.87E-4,7.568E-4,7.52E-5,5.078E-4,2.206E-4,5.582E-4,two,one,junk
-0.002242,-0.002419,0.001407,-0.001707,0.001549,-9.898E-4,0.001109,-4.721E-4,0.003313,0.002146,1.248E-4,6.686E-4,-2.453E-6,4.432E-4,2.551E-4,5.13E-4,two,one,junk
-0.00219,-0.002615,0.001643,-0.001687,0.002147,-0.001072,0.001834,-4.588E-4,0.0034,0.001909,8.579E-5,5.109E-4,-5.78E-5,3.35E-4,1.878E-4,4.074E-4,two,one,junk
-0.003227,-0.002581,0.001402,-0.001721,0.001355,-0.0011,9.535E-4,-4.426E-4,0.003511,0.001844,9.454E-5,4.668E-4,-1.014E-4,2.847E-4,5.734E-5,3.651E-4,two,one,junk
-0.002306,-0.00263,0.001703,-0.001686,0.001949,-0.001084,0.001551,-4.765E-4,0.003698,0.001839,3.321E-4,4.142E-4,2.212E-5,2.639E-4,2.234E-4,3.414E-4,two,one,junk
