A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
0.01457,-2.564E-4,0.002884,7.143E-4,0.00235,8.483E-4,0.002513,7.281E-4,7.606E-4,5.257E-4,3.886E-4,1.684E-4,5.959E-4,5.99E-5,-3.385E-5,1.185E-4,junk,junk,junk
0.01397,-2.856E-4,0.002571,7.202E-4,0.00191,7.952E-4,0.002298,7.973E-4,-0.001307,5.919E-4,-7.424E-4,1.838E-4,-4.831E-4,9.945E-5,-9.299E-4,1.321E-4,junk,junk,junk
0.01477,-2.715E-4,0.00258,7.13E-4,0.002204,8.573E-4,0.002294,7.356E-4,-1.243E-4,5.279E-4,-5.914E-5,1.079E-4,1.839E-4,4.706E-5,-3.647E-4,1.064E-4,junk,junk,junk
0.01402,-2.217E-4,0.002786,7.2E-4,0.002046,8.217E-4,0.002483,7.573E-4,-4.232E-4,6.213E-4,-2.913E-4,1.76E-4,-4.956E-5,7.562E-5,-5.444E-4,1.577E-4,junk,junk,junk
0.01413,-3.498E-4,0.002182,7.102E-4,0.001682,8.063E-4,0.001991,7.663E-4,-0.002413,5.603E-4,-0.001211,5.761E-5,-8.611E-4,2.391E-5,-0.001313,1.261E-4,junk,junk,junk
0.01446,-1.923E-4,0.002925,6.864E-4,0.002356,8.484E-4,0.002534,6.999E-4,0.001327,5.468E-4,5.045E-4,1.842E-4,7.303E-4,7.359E-5,1.308E-4,1.421E-4,junk,junk,junk
0.01419,-2.615E-4,0.002555,7.235E-4,0.001958,7.76E-4,0.002368,7.703E-4,-0.001133,6.418E-4,-7.307E-4,1.635E-4,-4.247E-4,6.722E-5,-9.148E-4,1.72E-4,junk,junk,junk
0.01469,-2.694E-4,0.002552,6.857E-4,0.002127,8.443E-4,0.002237,7.155E-4,3.248E-4,5.186E-4,-1.015E-4,1.294E-4,2.803E-4,2.359E-5,-3.195E-4,1.242E-4,junk,junk,junk
0.01385,-1.698E-4,0.002791,6.92E-4,0.002125,7.747E-4,0.002486,7.237E-4,6.841E-4,5.878E-4,9.057E-5,1.806E-4,3.209E-4,6.884E-5,-1.742E-4,1.667E-4,junk,junk,junk
0.01401,-3.393E-4,0.002288,6.929E-4,0.00189,7.64E-4,0.002132,7.054E-4,-6.23E-4,5.556E-4,-5.502E-4,9.475E-5,-2.312E-4,4.398E-5,-7.334E-4,1.49E-4,junk,junk,junk
0.01385,-1.821E-4,0.002656,6.298E-4,0.002162,8.011E-4,0.002362,6.542E-4,9.005E-4,5.615E-4,1.342E-4,1.857E-4,4.629E-4,7.764E-5,-6.122E-5,1.65E-4,junk,junk,junk
0.01329,-3.382E-4,0.002215,6.767E-4,0.001623,7.188E-4,0.002081,7.222E-4,-0.002519,7.404E-4,-0.001293,1.0E-4,-8.969E-4,7.46E-5,-0.001289,1.763E-4,junk,junk,junk
0.01388,-2.814E-4,0.0025,6.424E-4,0.002148,7.836E-4,0.00218,6.539E-4,4.729E-4,5.878E-4,1.85E-4,1.256E-4,5.596E-4,2.806E-5,4.962E-6,1.342E-4,junk,junk,junk
0.01265,-3.19E-4,0.002443,6.193E-4,0.00193,6.712E-4,0.002232,6.072E-4,1.345E-4,7.236E-4,-3.11E-5,1.662E-4,2.933E-4,7.066E-5,-1.385E-4,1.751E-4,junk,junk,junk
0.01245,-3.603E-4,0.001905,6.128E-4,0.001541,6.786E-4,0.001841,6.052E-4,-0.001743,6.605E-4,-8.811E-4,4.354E-5,-4.564E-4,2.721E-5,-8.63E-4,1.402E-4,junk,junk,junk
0.01271,-2.129E-4,0.002432,5.772E-4,0.002092,6.867E-4,0.002145,5.617E-4,0.001656,5.45E-4,4.219E-4,1.335E-4,7.899E-4,6.468E-5,3.197E-4,1.676E-4,junk,junk,junk
0.0125,-4.325E-4,0.002076,5.985E-4,0.001588,6.477E-4,0.002,6.301E-4,-0.001176,7.276E-4,-8.802E-4,8.634E-5,-5.232E-4,8.006E-5,-8.495E-4,1.741E-4,junk,junk,junk
0.01308,-3.169E-4,0.002205,5.869E-4,0.001914,7.254E-4,0.001981,5.894E-4,3.579E-4,5.819E-4,-1.691E-4,8.802E-5,2.566E-4,2.86E-5,-1.535E-4,1.349E-4,junk,junk,junk
0.01282,-3.347E-4,0.002396,6.252E-4,0.001819,6.996E-4,0.002237,6.193E-4,-2.114E-5,5.984E-4,-4.007E-4,1.214E-4,-3.093E-5,7.205E-5,-4.402E-4,1.818E-4,junk,junk,junk
0.01313,-4.434E-4,0.002153,6.254E-4,0.001718,6.893E-4,0.001973,6.28E-4,-6.185E-4,5.956E-4,-6.575E-4,5.951E-5,-1.9E-4,1.155E-5,-5.58E-4,1.348E-4,junk,junk,junk
0.01348,-2.926E-4,0.002493,6.113E-4,0.002164,7.323E-4,0.002293,5.639E-4,0.002097,5.2E-4,3.535E-4,1.36E-4,7.447E-4,6.536E-5,3.196E-4,1.51E-4,junk,junk,junk
0.01132,-4.323E-4,0.001827,5.187E-4,0.001256,5.661E-4,0.001779,5.153E-4,-0.001344,6.439E-4,-0.001215,6.236E-5,-7.481E-4,4.891E-5,-0.001033,1.68E-4,junk,junk,junk
0.01182,-3.084E-4,0.001968,5.254E-4,0.001854,5.977E-4,0.001811,4.659E-4,0.001684,5.58E-4,3.947E-4,5.166E-5,7.643E-4,1.245E-5,4.413E-4,1.052E-4,junk,junk,junk
0.01097,-3.556E-4,0.001977,4.827E-4,0.001518,5.481E-4,0.001914,4.377E-4,8.652E-4,6.974E-4,-5.806E-5,9.776E-5,3.123E-4,6.675E-5,5.673E-6,1.696E-4,junk,junk,junk
0.01086,-3.997E-4,0.001513,5.114E-4,0.001294,5.284E-4,0.001529,4.806E-4,-3.892E-4,5.889E-4,-6.904E-4,6.987E-6,-2.641E-4,1.782E-5,-5.541E-4,1.269E-4,junk,junk,junk
0.01266,-3.822E-4,0.002241,5.58E-4,0.001991,6.567E-4,0.002113,4.966E-4,0.002063,6.605E-4,4.901E-4,1.534E-4,9.269E-4,7.561E-5,4.252E-4,1.605E-4,junk,junk,junk
0.01386,-4.218E-4,0.002532,6.905E-4,0.001998,7.268E-4,0.002388,6.763E-4,5.705E-4,7.475E-4,3.271E-5,1.594E-4,5.004E-4,4.618E-5,-6.998E-5,1.656E-4,junk,junk,junk
0.01654,-3.323E-4,0.003196,7.563E-4,0.003026,8.461E-4,0.002931,6.935E-4,0.003768,7.91E-4,0.001577,2.367E-4,0.001945,1.275E-4,0.001253,1.794E-4,junk,junk,junk
0.01613,-4.097E-4,0.003239,7.515E-4,0.002646,8.558E-4,0.003015,7.324E-4,0.002232,8.349E-4,7.188E-4,2.74E-4,0.001193,1.35E-4,5.215E-4,2.137E-4,junk,junk,junk
0.01708,-5.153E-4,0.003238,8.14E-4,0.002946,8.454E-4,0.00302,7.777E-4,0.002927,8.037E-4,0.001184,2.324E-4,0.001673,7.832E-5,9.346E-4,1.443E-4,junk,junk,junk
