A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,feedback1,feedback2,condition
-0.0927,-0.00942,-0.02018,-0.005254,-0.01736,-0.005294,-0.01819,-0.005319,0.003619,0.004576,1.696E-4,-2.125E-4,0.001124,1.35E-4,8.63E-4,1.49E-4,lessthanfifty,junk,junk,junk
-0.05885,-0.00848,-0.01531,-0.003229,-0.01182,-0.00351,-0.01159,-0.004278,0.003864,0.004488,2.99E-5,-2.078E-4,0.001155,2.157E-4,8.304E-4,1.858E-4,lessthanfifty,junk,junk,junk
-0.06041,-0.006184,-0.0144,-0.003409,-0.01107,-0.003723,-0.01192,-0.003653,0.003201,0.004323,-2.8E-5,-3.066E-4,0.001174,6.636E-5,8.427E-4,1.012E-4,lessthanfifty,junk,junk,junk
-0.07311,-0.009195,-0.01633,-0.004245,-0.0128,-0.004412,-0.01429,-0.004023,0.003158,0.00425,-1.04E-4,-3.795E-4,0.001147,7.314E-5,8.832E-4,1.903E-5,lessthanfifty,junk,junk,junk
-0.04502,-0.004259,-0.009352,-0.00254,-0.006812,-0.00241,-0.008232,-0.002052,0.003322,0.004378,-5.732E-5,-3.844E-4,0.001306,3.315E-5,9.006E-4,4.267E-5,lessthanfifty,junk,junk,junk
0.01906,0.001814,0.007117,6.246E-4,0.006134,0.001237,0.006436,4.081E-4,0.003093,0.004488,-6.125E-5,-3.739E-4,0.00126,4.022E-5,9.774E-4,5.287E-5,lessthanfifty,junk,junk,junk
0.008774,-6.414E-4,0.00299,1.416E-4,0.003463,2.176E-4,0.002485,-4.177E-5,0.003617,0.004457,1.816E-5,-4.109E-4,0.001412,4.569E-5,0.001044,-1.171E-5,lessthanfifty,junk,junk,junk
0.006455,-7.377E-4,0.002395,1.643E-4,0.003186,1.577E-4,0.002473,-1.2E-4,0.002997,0.004391,-1.202E-4,-4.474E-4,0.001057,-4.516E-5,8.681E-4,-4.211E-5,lessthanfifty,junk,junk,junk
0.02038,-0.00242,0.005814,2.578E-4,0.006402,1.877E-4,0.00633,-3.882E-4,0.003818,0.004054,-3.34E-5,-5.617E-4,0.001308,-1.239E-4,0.001041,-1.815E-4,lessthanfifty,junk,junk,junk
-0.02169,-0.001955,-0.002516,-0.001955,-0.00318,-0.001035,-0.003341,-0.001599,0.005203,0.003867,2.988E-5,-5.143E-4,0.00144,-1.011E-4,0.001063,-1.022E-4,lessthanfifty,junk,junk,junk
-0.0335,-0.004389,-0.008692,-0.001963,-0.005507,-0.002626,-0.006668,-0.002524,0.004565,0.003768,-1.291E-4,-5.354E-4,0.001153,-1.073E-4,0.001001,-1.209E-4,lessthanfifty,junk,junk,junk
-0.04938,-0.004653,-0.012,-0.002912,-0.00885,-0.003296,-0.01011,-0.003224,0.004788,0.003837,-3.219E-5,-4.994E-4,0.001534,1.283E-5,0.001244,-1.702E-5,lessthanfifty,junk,junk,junk
-0.0428,-0.003045,-0.009723,-0.00243,-0.007877,-0.00247,-0.00834,-0.002581,0.005264,0.003953,7.029E-5,-3.896E-4,0.00167,1.087E-4,0.001318,1.716E-4,lessthanfifty,junk,junk,junk
