A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,feedback1,feedback2,condition
0.008084,-3.085E-4,0.00194,-1.237E-5,0.001647,4.385E-4,0.001473,5.587E-4,0.001628,-7.918E-4,9.883E-4,-6.048E-4,0.001122,-0.001012,0.001169,-6.289E-4,junk,junk,gaze
0.008442,-2.648E-4,0.002742,6.611E-5,0.002206,4.164E-4,0.001871,5.911E-4,0.001665,-7.047E-4,0.001283,-5.747E-4,0.001365,-9.858E-4,0.001436,-6.229E-4,junk,junk,gaze
0.007189,-1.923E-4,0.00211,4.267E-5,0.001546,4.29E-4,0.001492,5.859E-4,0.001205,-6.63E-4,0.00126,-5.728E-4,0.001257,-9.924E-4,0.001311,-5.977E-4,junk,junk,gaze
0.00784,-1.418E-4,0.00226,4.923E-5,0.001877,4.622E-4,0.001605,5.682E-4,0.001259,-6.073E-4,0.001566,-5.529E-4,0.001526,-9.881E-4,0.001544,-5.993E-4,junk,junk,gaze
0.007184,-1.153E-4,0.002703,1.766E-5,0.0019,3.75E-4,0.001698,5.492E-4,6.597E-4,-6.04E-4,0.001575,-5.615E-4,0.001458,-9.938E-4,0.001484,-5.799E-4,junk,junk,gaze
0.006349,-1.517E-4,0.001565,-2.175E-5,0.001193,3.72E-4,0.001179,4.982E-4,3.639E-4,-5.658E-4,0.00157,-5.243E-4,0.001364,-9.839E-4,0.001418,-6.001E-4,junk,junk,gaze
0.006487,-9.368E-5,0.002232,-1.464E-5,0.001724,3.187E-4,0.001422,4.882E-4,0.001244,-6.798E-4,0.001942,-5.048E-4,0.00169,-9.654E-4,0.001731,-5.94E-4,junk,junk,gaze
0.005237,-1.776E-4,0.001478,-3.684E-5,9.484E-4,3.065E-4,0.001078,4.762E-4,4.918E-4,-6.487E-4,0.001708,-5.566E-4,0.001418,-0.001016,0.001442,-5.908E-4,junk,junk,gaze
0.00552,-1.833E-4,0.001694,-9.568E-5,0.001271,3.182E-4,0.001133,4.408E-4,5.511E-4,-5.885E-4,0.001873,-5.369E-4,0.001566,-0.001017,0.001556,-6.066E-4,junk,junk,gaze
0.005091,-2.902E-4,0.001688,-7.392E-5,0.001071,2.858E-4,0.001136,4.871E-4,5.636E-4,-4.438E-4,0.002265,-3.871E-4,0.001768,-9.494E-4,0.001786,-5.79E-4,junk,junk,gaze
0.004931,-3.83E-4,0.001377,-1.24E-4,9.108E-4,2.844E-4,0.001039,4.488E-4,-4.994E-5,-1.198E-4,0.00225,-2.805E-4,0.001413,-9.223E-4,0.001383,-5.168E-4,junk,junk,gaze
0.005328,-3.576E-4,0.001877,-7.946E-5,0.001382,2.96E-4,0.001235,4.581E-4,4.779E-4,-3.422E-5,0.002759,-1.884E-4,0.001896,-8.647E-4,0.001801,-5.108E-4,junk,junk,gaze
0.004897,-5.265E-4,0.001194,-1.165E-4,7.851E-4,2.779E-4,0.001047,4.844E-4,0.001395,-1.138E-4,0.002991,-1.619E-4,0.002139,-8.878E-4,0.001948,-5.084E-4,junk,junk,gaze
0.005816,-5.363E-4,0.001951,-1.142E-4,0.001458,2.913E-4,0.001342,4.604E-4,0.001412,3.633E-5,0.002886,-1.0E-4,0.001862,-8.719E-4,0.001702,-4.866E-4,junk,junk,gaze
0.006121,-7.088E-4,0.001241,-1.115E-4,0.001024,2.989E-4,0.001224,5.515E-4,0.001908,3.899E-5,0.003345,-1.361E-5,0.002208,-8.346E-4,0.001988,-4.55E-4,junk,junk,gaze
0.007347,-6.949E-4,0.002339,-7.67E-5,0.001748,3.516E-4,0.001774,5.8E-4,0.001794,-6.306E-5,0.003246,-2.828E-5,0.001985,-8.452E-4,0.0018,-4.606E-4,junk,junk,gaze
0.008528,-7.926E-4,0.001928,-4.518E-5,0.001698,4.371E-4,0.001778,6.875E-4,0.001694,-9.785E-6,0.003311,-2.524E-5,0.002113,-8.463E-4,0.001858,-4.772E-4,junk,junk,gaze
0.01097,-9.612E-4,0.003122,1.142E-4,0.002587,6.118E-4,0.002541,9.555E-4,0.001557,2.504E-5,0.003393,3.607E-6,0.002002,-8.408E-4,0.00178,-4.55E-4,junk,junk,gaze
0.01161,-8.897E-4,0.003427,1.467E-4,0.002857,6.586E-4,0.002678,9.451E-4,0.00195,-6.718E-5,0.003482,1.588E-5,0.002014,-8.434E-4,0.001775,-4.402E-4,junk,junk,gaze
0.009397,-8.056E-4,0.002365,-1.233E-5,0.002162,4.788E-4,0.002035,7.756E-4,0.002522,-1.708E-4,0.003529,-1.074E-5,0.00203,-8.574E-4,0.001793,-4.574E-4,junk,junk,gaze
0.006388,-7.834E-4,0.002498,-1.624E-4,0.001957,1.903E-4,0.001599,4.776E-4,0.002327,-1.395E-4,0.003377,-1.207E-4,0.001943,-8.803E-4,0.001817,-4.604E-4,junk,junk,gaze
0.003521,-0.001089,6.584E-4,-3.884E-4,7.943E-4,-3.25E-5,5.098E-4,1.943E-4,0.002803,-1.835E-4,0.003316,-2.534E-4,0.002289,-9.122E-4,0.002102,-5.468E-4,junk,junk,gaze
0.01247,-0.001116,0.003959,1.771E-4,0.003361,5.822E-4,0.00297,0.001123,0.002307,-3.474E-5,0.003043,-2.941E-4,0.002004,-9.63E-4,0.001838,-5.541E-4,junk,junk,gaze
0.01271,-6.385E-4,0.003646,2.652E-4,0.003164,6.536E-4,0.002827,0.001212,0.002402,-1.5E-4,0.003189,-3.122E-4,0.002144,-9.535E-4,0.001997,-5.694E-4,junk,junk,gaze
0.01448,-8.174E-4,0.004975,5.58E-5,0.004264,5.283E-4,0.003354,0.001023,0.002236,-1.439E-4,0.00302,-3.142E-4,0.002111,-9.347E-4,0.001897,-5.151E-4,junk,junk,gaze
0.01283,-7.25E-4,0.004765,7.331E-5,0.003848,5.485E-4,0.003125,0.001072,0.002552,-2.643E-4,0.003089,-2.607E-4,0.002008,-9.144E-4,0.001824,-4.718E-4,junk,junk,gaze
0.008872,-7.85E-4,0.002974,-3.231E-4,0.00264,8.175E-5,0.001942,3.961E-4,0.002399,-3.076E-4,0.003237,-2.313E-4,0.002057,-8.991E-4,0.001868,-5.289E-4,junk,junk,gaze
0.009822,-7.126E-4,0.004051,-2.267E-4,0.003434,1.396E-4,0.002445,4.992E-4,0.002232,-4.953E-4,0.002836,-2.965E-4,0.001587,-9.56E-4,0.001499,-5.537E-4,junk,junk,gaze
0.00449,-5.426E-4,0.002218,-4.602E-4,0.001852,-1.863E-4,0.001275,-8.709E-6,0.002369,-6.887E-4,0.002965,-3.505E-4,0.001796,-9.897E-4,0.001622,-5.628E-4,junk,junk,gaze
0.005716,-9.231E-4,0.002736,-5.657E-4,0.002415,-3.645E-4,0.001513,-2.463E-4,0.001366,-6.962E-4,0.002795,-4.103E-4,0.001647,-0.001036,0.001447,-6.418E-4,junk,junk,gaze
0.01642,-9.974E-4,0.006532,2.248E-4,0.005319,5.015E-4,0.004258,9.304E-4,7.897E-4,-8.133E-4,0.002315,-4.478E-4,9.757E-4,-0.001077,9.715E-4,-6.929E-4,junk,junk,gaze
0.02028,-0.001115,0.007843,4.005E-4,0.006359,8.405E-4,0.005083,0.001346,0.001503,-8.392E-4,0.002577,-4.385E-4,0.001351,-0.001067,0.001198,-6.406E-4,junk,junk,gaze
0.02434,-0.001601,0.009969,6.352E-4,0.007905,0.001113,0.00631,0.001764,0.001699,-9.032E-4,0.002665,-4.363E-4,0.001495,-0.001057,0.001362,-7.046E-4,junk,junk,gaze
0.02499,-0.001816,0.01027,7.152E-4,0.007901,0.001277,0.006168,0.002013,0.001253,-9.166E-4,0.002243,-4.577E-4,9.839E-4,-0.001093,9.66E-4,-7.134E-4,junk,junk,gaze
0.02521,-0.002172,0.01076,8.088E-4,0.008126,0.001327,0.005991,0.002015,0.001638,-8.568E-4,0.002419,-4.469E-4,0.001165,-0.001053,0.001072,-7.057E-4,junk,junk,gaze
0.0249,-0.001602,0.01017,0.001002,0.007659,0.001385,0.005798,0.002083,0.001569,-7.955E-4,0.002601,-4.449E-4,0.001448,-0.001027,0.001348,-6.663E-4,junk,junk,gaze
0.02292,-0.001513,0.0094,8.335E-4,0.007103,0.001224,0.005442,0.001887,0.001057,-7.265E-4,0.002269,-4.599E-4,0.001184,-0.001056,0.001033,-6.282E-4,junk,junk,gaze
0.0206,-0.001628,0.008315,5.8E-4,0.006473,9.711E-4,0.004995,0.001495,0.001345,-7.468E-4,0.002339,-4.65E-4,0.001287,-0.001014,0.001172,-6.415E-4,-1,-1,junk
0.06601,7.362E-4,0.02538,0.002403,0.02075,0.00324,0.01596,0.003819,0.001744,-0.008357,0.007856,-0.001423,0.003931,-0.001696,0.002719,-9.231E-4,-1,-1,junk
0.06779,5.419E-4,0.02674,0.002462,0.02185,0.003366,0.01707,0.003998,0.002228,-0.008433,0.008068,-0.001411,0.004367,-0.001658,0.003056,-9.437E-4,-1,-1,junk
