A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition,feedback1,feedback2
5.523E-4,8.972E-4,-4.809E-4,3.108E-4,-6.59E-4,3.24E-6,-9.246E-4,-8.971E-5,0.008937,0.007341,0.003226,0.001158,0.002686,0.001131,0.002809,0.001195,junk,junk,junk
-1.918E-4,0.001054,-0.001343,2.995E-4,-0.001161,1.512E-5,-0.001393,-1.452E-4,0.006707,0.009095,0.003114,8.148E-4,0.002915,0.001106,0.003077,8.609E-4,junk,junk,junk
7.489E-4,0.001069,-7.319E-5,3.14E-4,-4.049E-4,-6.581E-6,-9.606E-4,-1.638E-4,0.008048,0.007719,0.003233,0.001109,0.003055,0.001059,0.003134,0.001019,junk,junk,junk
2.323E-4,9.979E-4,-9.445E-4,3.165E-4,-9.259E-4,7.415E-6,-0.001294,-1.5E-4,0.00831,0.009022,0.002816,0.001317,0.003236,0.001045,0.003363,0.001036,junk,junk,junk
0.00132,0.001047,4.187E-5,3.551E-4,-3.503E-4,3.438E-5,-0.001026,-1.531E-4,0.009555,0.008613,0.002947,0.001136,0.002871,0.001211,0.002833,0.001163,junk,junk,junk
0.001275,0.001099,-1.484E-4,3.607E-4,-4.202E-4,3.977E-5,-9.609E-4,-1.502E-4,0.007819,0.008164,0.003062,0.001203,0.003062,9.891E-4,0.003068,0.001182,junk,junk,junk
0.001459,0.001035,-3.29E-4,3.497E-4,-5.776E-4,7.694E-5,-0.00106,-1.564E-4,0.006737,0.009176,0.003052,0.001174,0.003133,0.001018,0.003068,9.924E-4,junk,junk,junk
0.002037,0.001058,4.013E-4,3.54E-4,-9.937E-5,7.134E-5,-7.527E-4,-1.61E-4,0.008769,0.008793,0.002877,0.001219,0.003031,9.949E-4,0.002815,0.001129,junk,junk,junk
0.001071,9.584E-4,-7.394E-4,3.017E-4,-8.32E-4,4.951E-5,-0.001116,-1.519E-4,0.00615,0.008566,0.002896,0.001249,0.002681,0.001085,0.002861,0.001162,junk,junk,junk
0.001627,9.81E-4,1.372E-4,3.237E-4,-3.212E-4,1.035E-4,-8.617E-4,-1.562E-4,0.008799,0.008181,0.00296,9.122E-4,0.002661,0.001084,0.003111,9.624E-4,junk,junk,junk
0.001536,9.382E-4,2.439E-6,3.001E-4,-3.561E-4,3.974E-5,-7.592E-4,-1.731E-4,0.007036,0.008143,0.002502,0.001225,0.002532,0.001131,0.002978,0.001037,junk,junk,junk
9.631E-4,8.985E-4,-4.439E-4,3.156E-4,-6.658E-4,7.322E-5,-0.001036,-1.565E-4,0.009356,0.00695,0.002609,9.95E-4,0.003073,0.001021,0.002815,0.001012,junk,junk,junk
0.001348,8.678E-4,-1.292E-4,2.518E-4,-4.528E-4,5.582E-5,-9.66E-4,-1.894E-4,0.005321,0.00838,0.002376,0.001232,0.003031,0.001041,0.002449,0.001056,junk,junk,junk
1.198E-4,8.132E-4,-0.001166,2.281E-4,-0.001215,6.187E-5,-0.00127,-1.947E-4,0.005512,0.007208,0.002482,0.001027,0.002542,8.802E-4,0.002786,9.632E-4,junk,junk,junk
0.001478,7.897E-4,2.022E-4,2.917E-4,-3.519E-4,8.357E-5,-9.348E-4,-1.852E-4,0.006542,0.007717,0.002208,9.908E-4,0.002338,0.001142,0.002707,9.051E-4,junk,junk,junk
0.001515,8.177E-4,1.403E-4,2.729E-4,-3.059E-4,5.652E-5,-8.075E-4,-2.078E-4,0.006596,0.006639,0.002714,9.271E-4,0.0027,7.879E-4,0.002445,0.001041,junk,junk,junk
9.568E-4,7.871E-4,-4.809E-4,2.842E-4,-6.976E-4,7.534E-5,-0.001088,-1.957E-4,0.006738,0.006425,0.002444,9.722E-4,0.002728,9.074E-4,0.002565,9.054E-4,junk,junk,junk
