A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.002234,3.088E-4,0.001311,-1.723E-4,0.001581,-4.198E-4,0.001101,-1.83E-4,-0.001097,0.001331,-6.43E-4,5.089E-4,-0.001696,5.264E-4,-0.001894,1.536E-4,junk
0.002039,2.327E-4,0.001571,-1.511E-4,0.002057,-4.216E-4,0.0014,-1.22E-4,-6.668E-5,0.00154,7.014E-4,8.298E-4,-0.001046,5.367E-4,-0.001782,6.874E-5,junk
0.001444,1.759E-4,0.001272,-1.652E-4,0.001592,-4.4E-4,9.903E-4,-1.535E-4,-3.709E-4,0.00152,-8.087E-4,9.727E-4,-0.00216,6.156E-4,-0.002868,6.293E-5,junk
0.001857,1.128E-4,0.001765,-1.119E-4,0.00226,-4.054E-4,0.001546,-8.832E-5,1.246E-4,0.001482,3.088E-4,0.001008,-0.001369,5.805E-4,-0.002186,7.876E-5,junk
0.001687,9.676E-5,0.001435,-1.088E-4,0.001905,-4.475E-4,0.001078,-9.027E-5,-4.219E-4,0.001486,-6.531E-4,9.819E-4,-0.00202,5.718E-4,-0.002654,6.799E-5,junk
0.001882,1.719E-4,0.001988,-5.607E-5,0.002463,-3.876E-4,0.001701,-3.811E-5,2.713E-4,0.001497,6.524E-4,9.863E-4,-0.001117,5.961E-4,-0.001818,1.01E-4,junk
0.002143,1.933E-4,0.001936,-4.149E-5,0.002533,-4.286E-4,0.001509,-5.49E-5,-4.094E-4,0.00151,-4.818E-4,9.92E-4,-0.001932,6.334E-4,-0.002503,1.097E-4,junk
0.002198,2.134E-4,0.002264,-4.031E-5,0.00271,-4.125E-4,0.00169,-3.07E-5,3.68E-4,0.001535,6.937E-4,9.813E-4,-0.001082,6.41E-4,-0.001748,1.211E-4,junk
0.002596,2.601E-4,0.00238,-2.0E-5,0.002886,-4.388E-4,0.001721,-4.941E-5,-1.315E-5,0.001504,-4.852E-4,9.289E-4,-0.001809,7.044E-4,-0.002278,1.715E-4,junk
0.002585,2.73E-4,0.002262,-3.295E-5,0.002585,-4.37E-4,0.001471,-1.881E-5,3.826E-4,0.001338,-2.209E-4,8.161E-4,-0.00156,7.227E-4,-0.001884,1.915E-4,junk
0.002772,3.168E-4,0.002595,-3.537E-5,0.002882,-4.615E-4,0.001692,-3.757E-5,4.628E-4,0.001468,1.381E-4,9.459E-4,-0.001577,7.578E-4,-0.00215,2.01E-4,junk
0.002738,2.576E-4,0.002235,-5.018E-5,0.002389,-4.834E-4,0.001227,-5.064E-5,-3.251E-4,0.00149,-0.001071,9.704E-4,-0.002483,7.193E-4,-0.002884,1.643E-4,junk
0.002623,3.188E-4,0.002398,-5.131E-5,0.002563,-5.042E-4,0.001401,-4.584E-5,1.571E-4,0.001584,1.726E-4,9.933E-4,-0.001554,7.433E-4,-0.002096,2.122E-4,junk
0.001935,3.509E-4,0.001968,-6.602E-5,0.002011,-5.046E-4,9.415E-4,-9.563E-5,-8.892E-4,0.001572,-0.001395,9.415E-4,-0.002557,7.651E-4,-0.002889,2.697E-4,junk
0.002072,3.285E-4,0.002149,-5.916E-5,0.002353,-5.488E-4,0.001213,-1.122E-4,-3.191E-4,0.001506,-1.412E-4,9.257E-4,-0.001716,7.885E-4,-0.00202,2.876E-4,junk
0.001113,4.401E-4,0.001845,-8.353E-5,0.001826,-5.52E-4,7.342E-4,-6.434E-5,-9.088E-4,0.00153,-0.001085,9.562E-4,-0.002482,8.314E-4,-0.002718,3.404E-4,junk
0.00244,3.934E-4,0.002582,-6.922E-5,0.002895,-5.48E-4,0.001573,-3.666E-5,-2.533E-4,0.001585,-9.385E-4,0.001117,-0.002853,8.377E-4,-0.003277,3.049E-4,junk
0.001921,4.154E-4,0.00224,-7.711E-5,0.0024,-5.577E-4,0.001137,-6.542E-5,4.307E-4,0.001633,-3.2E-4,0.00133,-0.003103,8.471E-4,-0.003609,2.963E-4,junk
0.0035,3.444E-4,0.00303,-5.495E-5,0.003424,-5.578E-4,0.002024,-4.909E-5,2.086E-5,0.001602,-0.002061,0.001477,-0.005277,7.843E-4,-0.00521,1.947E-4,junk
0.00313,3.423E-4,0.002611,-8.121E-5,0.002772,-5.921E-4,0.001364,-7.535E-5,6.654E-4,0.001599,-8.46E-4,0.001543,-0.004556,7.561E-4,-0.004788,1.663E-4,junk
0.003959,4.022E-4,0.003224,-6.275E-5,0.003528,-5.789E-4,0.002133,-5.79E-5,3.63E-4,0.001553,-0.002495,0.00156,-0.006064,7.717E-4,-0.005734,1.751E-4,junk
0.004024,3.155E-4,0.002951,-1.137E-4,0.003129,-6.09E-4,0.001753,-8.581E-5,5.812E-4,0.001616,-0.002356,0.001549,-0.006047,7.841E-4,-0.005654,1.784E-4,junk
0.004198,2.956E-4,0.003221,-1.142E-4,0.003373,-6.233E-4,0.002,-7.88E-5,3.423E-4,0.001743,-0.002177,0.001632,-0.005802,8.15E-4,-0.005468,2.12E-4,junk
0.004289,1.81E-4,0.003124,-1.585E-4,0.003303,-6.877E-4,0.001781,-8.235E-5,-4.338E-4,0.001759,-0.002778,0.001602,-0.006101,7.721E-4,-0.005632,2.326E-4,junk
0.004167,1.333E-4,0.003213,-1.713E-4,0.00332,-6.58E-4,0.001968,-9.031E-5,2.256E-4,0.001768,-0.00136,0.001681,-0.005009,8.252E-4,-0.004995,2.49E-4,junk
0.00444,1.077E-4,0.003385,-1.871E-4,0.003643,-7.245E-4,0.002106,-1.11E-4,-5.888E-4,0.001681,-0.002946,0.001621,-0.005931,8.597E-4,-0.005597,2.945E-4,junk
0.00444,3.302E-5,0.003165,-2.027E-4,0.003335,-7.222E-4,0.001838,-1.14E-4,-1.701E-4,0.001647,-0.001795,0.001482,-0.004637,8.792E-4,-0.004601,3.128E-4,junk
0.00508,2.914E-5,0.003723,-1.973E-4,0.004114,-7.456E-4,0.002562,-1.083E-4,-0.00104,0.001625,-0.00269,0.001379,-0.004748,9.286E-4,-0.004688,3.622E-4,junk
0.004048,1.175E-4,0.003167,-2.366E-4,0.003343,-7.774E-4,0.001788,-1.316E-4,-0.001314,0.001548,-0.002181,0.001233,-0.004085,9.625E-4,-0.004106,3.68E-4,junk
0.004816,8.73E-5,0.003804,-2.048E-4,0.004191,-7.969E-4,0.002608,-1.001E-4,-0.001503,0.001528,-0.002126,0.001149,-0.003855,0.001083,-0.003928,4.36E-4,junk
0.004362,6.338E-5,0.003449,-2.454E-4,0.003654,-8.272E-4,0.002178,-1.485E-4,-0.002028,0.001507,-0.002631,0.001056,-0.004086,0.001126,-0.003985,4.475E-4,junk
0.00442,4.875E-5,0.003565,-2.294E-4,0.003875,-8.163E-4,0.002356,-1.44E-4,-0.001163,0.001445,-0.001436,0.001055,-0.003222,0.00116,-0.003272,4.942E-4,junk
0.004067,4.917E-5,0.003439,-2.795E-4,0.003597,-8.643E-4,0.002123,-1.583E-4,-0.001917,0.001391,-0.002808,9.996E-4,-0.004052,0.001174,-0.003916,5.352E-4,junk
0.004187,4.471E-5,0.003553,-2.521E-4,0.003761,-8.668E-4,0.002242,-1.472E-4,-0.001285,0.001433,-0.001101,0.001006,-0.002944,0.001176,-0.002981,5.361E-4,junk
0.0042,9.732E-5,0.003713,-2.681E-4,0.003972,-8.872E-4,0.002473,-1.675E-4,-0.001879,0.001386,-0.002264,0.001019,-0.003628,0.001191,-0.003572,5.733E-4,junk
0.003714,1.221E-4,0.003487,-2.779E-4,0.003673,-9.109E-4,0.00215,-1.574E-4,-0.001614,0.001297,-0.001677,9.431E-4,-0.003251,0.001174,-0.003176,5.669E-4,junk
0.004527,5.83E-5,0.003879,-2.58E-4,0.004354,-9.192E-4,0.002757,-1.678E-4,-0.00199,0.001378,-0.001799,9.326E-4,-0.003204,0.001212,-0.003143,6.117E-4,junk
0.00358,1.071E-4,0.003502,-2.931E-4,0.003571,-9.368E-4,0.002089,-1.823E-4,-0.002536,0.001316,-0.002649,8.614E-4,-0.003693,0.001197,-0.003449,6.112E-4,junk
0.004226,1.475E-4,0.003939,-2.481E-4,0.004394,-9.361E-4,0.00277,-1.614E-4,-0.002162,0.001248,-0.001725,8.826E-4,-0.003057,0.001213,-0.002922,6.282E-4,junk
0.003843,1.051E-4,0.0036,-2.798E-4,0.003845,-9.791E-4,0.002181,-1.616E-4,-0.002842,0.001269,-0.002823,8.261E-4,-0.003789,0.001209,-0.003485,6.043E-4,junk
0.004431,1.168E-4,0.004077,-2.415E-4,0.00451,-9.628E-4,0.002911,-1.623E-4,-0.00227,0.001304,-0.001577,8.417E-4,-0.002936,0.001219,-0.002772,6.339E-4,junk
0.003863,8.126E-5,0.003632,-2.668E-4,0.004027,-0.001015,0.002334,-1.796E-4,-0.002881,0.001267,-0.002995,8.048E-4,-0.003847,0.001243,-0.003501,6.714E-4,junk
0.003894,1.755E-4,0.004044,-2.331E-4,0.004478,-9.62E-4,0.00293,-1.562E-4,-0.002438,0.001304,-0.001692,7.728E-4,-0.002989,0.001228,-0.002711,6.886E-4,junk
0.003629,2.157E-4,0.003836,-2.148E-4,0.004419,-0.001026,0.002704,-1.879E-4,-0.002763,0.001276,-0.002641,7.874E-4,-0.003584,0.001255,-0.003229,7.083E-4,junk
0.003946,1.774E-4,0.004111,-2.147E-4,0.004559,-0.001018,0.002798,-1.427E-4,-0.002704,0.001376,-0.002379,8.323E-4,-0.003579,0.001239,-0.003323,6.81E-4,junk
0.004359,7.313E-5,0.004348,-2.163E-4,0.00495,-0.001047,0.00301,-1.38E-4,-0.002628,0.001471,-0.002066,9.026E-4,-0.003357,0.001242,-0.003164,6.872E-4,junk
0.003625,5.073E-5,0.004143,-2.505E-4,0.004609,-0.001081,0.002751,-1.533E-4,-0.003104,0.001415,-0.003195,8.21E-4,-0.004087,0.001223,-0.003672,6.801E-4,junk
0.004099,1.342E-4,0.004605,-2.402E-4,0.005124,-0.001101,0.003144,-1.254E-4,-0.002675,0.001364,-0.002022,8.415E-4,-0.003282,0.001252,-0.003052,6.87E-4,junk
0.00342,9.039E-5,0.003948,-2.66E-4,0.004267,-0.00114,0.002282,-1.755E-4,-0.003043,0.001344,-0.003115,8.247E-4,-0.003974,0.001264,-0.003615,6.716E-4,junk
0.004169,2.151E-4,0.004686,-2.223E-4,0.005146,-0.001103,0.003187,-1.417E-4,-0.002659,0.001355,-0.00196,8.075E-4,-0.003167,0.00125,-0.002829,6.793E-4,junk
0.004197,1.754E-4,0.004319,-2.352E-4,0.004672,-0.001158,0.002677,-1.759E-4,-0.003159,0.001324,-0.003349,7.375E-4,-0.004055,0.001256,-0.00347,6.949E-4,junk
0.004149,1.886E-4,0.004366,-2.182E-4,0.004671,-0.001133,0.0027,-1.491E-4,-0.00258,0.001359,-0.001856,7.393E-4,-0.003036,0.001208,-0.002606,7.144E-4,junk
