A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.006799,6.895E-4,0.002521,-3.097E-4,0.003099,-3.031E-4,0.002372,-5.811E-5,0.0119,7.628E-4,0.004593,-8.134E-5,0.003619,4.76E-4,0.003358,3.812E-4,junk
0.005435,8.078E-4,0.002164,-3.546E-4,0.002828,-3.607E-4,0.002078,-7.77E-5,0.01176,5.88E-4,0.004468,-1.817E-4,0.003517,4.038E-4,0.003284,3.063E-4,junk
0.006686,8.194E-4,0.002468,-3.25E-4,0.00319,-3.491E-4,0.002413,-8.79E-5,0.01305,7.035E-4,0.004885,-1.352E-4,0.004079,4.895E-4,0.003824,4.135E-4,junk
0.004264,6.148E-4,0.001633,-5.538E-4,0.001833,-4.939E-4,0.001089,-1.772E-4,0.008419,5.701E-4,0.002683,-2.505E-4,0.001504,2.52E-4,0.001178,2.364E-4,junk
0.005071,6.65E-4,0.00229,-3.639E-4,0.0027,-3.729E-4,0.001773,-1.388E-4,0.01057,5.562E-4,0.004077,-2.019E-4,0.003212,3.132E-4,0.002827,1.85E-4,junk
0.004457,5.732E-4,0.002004,-4.812E-4,0.002185,-4.587E-4,0.001316,-1.829E-4,0.008742,6.106E-4,0.003277,-2.271E-4,0.002104,2.612E-4,0.001611,2.189E-4,junk
0.003823,5.228E-4,0.001964,-4.684E-4,0.002009,-4.464E-4,0.001085,-1.701E-4,0.008143,5.639E-4,0.003254,-2.664E-4,0.002105,1.99E-4,0.001709,1.04E-4,junk
0.003415,6.276E-4,0.001865,-5.057E-4,0.00201,-4.856E-4,0.001156,-2.636E-4,0.008651,6.866E-4,0.003378,-1.953E-4,0.002275,2.646E-4,0.001769,1.816E-4,junk
8.173E-4,5.247E-4,8.438E-4,-6.886E-4,6.038E-4,-6.245E-4,-2.145E-4,-3.276E-4,0.004795,5.822E-4,0.001588,-3.629E-4,2.293E-5,6.254E-5,-2.452E-4,4.343E-5,junk
0.003934,6.709E-4,0.002041,-3.967E-4,0.002199,-3.99E-4,0.001143,-1.91E-4,0.009067,6.735E-4,0.003772,-2.448E-4,0.002628,1.922E-4,0.002272,6.793E-5,junk
0.005224,4.125E-4,0.002127,-4.812E-4,0.001886,-4.342E-4,8.475E-4,-2.081E-4,0.007129,6.803E-4,0.002722,-2.255E-4,0.001207,1.763E-4,8.422E-4,1.498E-4,junk
0.003314,4.309E-4,0.001436,-5.623E-4,9.287E-4,-4.598E-4,-3.377E-5,-2.173E-4,0.005081,5.9E-4,0.001842,-3.705E-4,1.238E-4,3.241E-5,-8.805E-5,-1.488E-5,junk
0.005405,5.829E-4,0.002341,-4.258E-4,0.002182,-3.712E-4,0.001092,-1.795E-4,0.00804,6.771E-4,0.003303,-2.455E-4,0.001846,1.653E-4,0.001469,1.062E-4,junk
0.003604,4.195E-4,0.00133,-6.389E-4,7.493E-4,-4.853E-4,-1.821E-4,-2.331E-4,0.004331,6.263E-4,0.001279,-3.495E-4,-5.13E-4,1.67E-5,-7.467E-4,7.163E-5,junk
0.002632,5.023E-4,0.001221,-5.876E-4,6.52E-4,-4.379E-4,-2.902E-4,-1.912E-4,0.004614,5.618E-4,0.001615,-4.289E-4,-1.309E-4,-4.716E-5,-2.465E-4,-5.449E-5,junk
0.003911,5.486E-4,0.001657,-5.229E-4,0.001372,-3.954E-4,3.491E-4,-1.854E-4,0.005848,6.51E-4,0.002203,-3.376E-4,5.128E-4,5.771E-5,2.375E-4,3.202E-5,junk
0.002175,4.754E-4,9.124E-4,-6.266E-4,2.159E-4,-4.431E-4,-6.044E-4,-1.969E-4,0.002874,5.997E-4,9.334E-4,-4.065E-4,-9.53E-4,-8.69E-5,-0.001012,-8.758E-5,junk
0.003852,7.199E-4,0.001887,-4.868E-4,0.001691,-3.396E-4,6.577E-4,-1.473E-4,0.00623,7.55E-4,0.002721,-2.424E-4,0.001221,7.83E-5,8.859E-4,2.094E-5,junk
-1.491E-4,7.697E-4,4.341E-4,-7.601E-4,8.102E-5,-5.832E-4,-6.737E-4,-3.267E-4,0.003375,6.56E-4,0.001194,-3.231E-4,-7.277E-4,2.242E-5,-8.546E-4,2.022E-5,junk
-0.001153,9.572E-4,1.838E-4,-6.854E-4,-1.042E-4,-5.114E-4,-8.822E-4,-2.687E-4,0.003617,7.345E-4,0.001559,-3.309E-4,-2.761E-4,-5.114E-6,-4.394E-4,-6.15E-5,junk
-6.022E-4,0.001251,5.579E-4,-6.249E-4,6.522E-4,-4.788E-4,-1.318E-4,-2.754E-4,0.005729,8.853E-4,0.002435,-1.901E-4,7.566E-4,1.612E-4,4.525E-4,9.664E-5,junk
-0.007498,0.001469,-0.001849,-9.702E-4,-0.00165,-8.469E-4,-0.002109,-5.498E-4,0.001699,9.051E-4,3.451E-4,-4.318E-4,-0.001468,-6.561E-5,-0.001664,-9.751E-5,junk
-0.0075,0.001938,-0.00132,-8.705E-4,-6.024E-4,-7.819E-4,-0.001068,-5.391E-4,0.005362,0.001066,0.002334,-2.605E-4,9.405E-4,1.288E-4,5.778E-4,1.111E-5,junk
-0.006705,0.001623,-0.001439,-8.986E-4,-0.001035,-7.639E-4,-0.001461,-4.994E-4,0.002829,0.001034,0.001171,-2.776E-4,-6.005E-4,9.366E-5,-8.851E-4,-3.743E-6,junk
-0.006462,0.00173,-0.001113,-7.759E-4,-7.385E-4,-6.427E-4,-0.001281,-3.935E-4,0.003151,9.934E-4,0.001262,-3.766E-4,-3.099E-4,3.221E-5,-4.891E-4,-1.142E-4,junk
-0.00414,0.001705,-3.525E-4,-6.831E-4,1.605E-4,-5.407E-4,-4.215E-4,-3.509E-4,0.005373,0.001169,0.002067,-2.895E-4,7.134E-4,1.381E-4,4.53E-4,1.791E-5,junk
-0.00538,0.001655,-9.245E-4,-7.452E-4,-4.177E-4,-6.006E-4,-9.914E-4,-3.588E-4,0.003436,0.001123,0.001255,-3.829E-4,-3.308E-4,6.064E-5,-4.858E-4,-4.419E-5,junk
-0.003884,0.001899,-3.295E-4,-6.318E-4,4.958E-4,-5.282E-4,-4.5E-5,-3.235E-4,0.007278,0.001192,0.002786,-2.373E-4,0.001593,2.443E-4,0.001527,7.946E-5,junk
-0.00528,0.001741,-9.03E-4,-7.743E-4,-1.812E-4,-6.407E-4,-6.219E-4,-4.118E-4,0.005039,0.001181,0.00177,-2.786E-4,2.958E-4,2.267E-4,2.262E-4,1.291E-4,junk
-0.005567,0.001814,-9.607E-4,-7.268E-4,-1.319E-4,-6.124E-4,-6.151E-4,-3.564E-4,0.005889,0.001067,0.002017,-3.503E-4,7.226E-4,2.022E-4,6.544E-4,4.987E-5,junk
-0.004046,0.001642,-4.741E-4,-6.545E-4,3.034E-4,-5.423E-4,-1.685E-4,-3.375E-4,0.006356,0.001197,0.002164,-3.006E-4,9.712E-4,2.413E-4,8.658E-4,1.096E-4,junk
-0.004483,0.001569,-6.092E-4,-6.769E-4,8.879E-5,-5.361E-4,-3.809E-4,-3.345E-4,0.005547,0.001212,0.001929,-3.677E-4,6.41E-4,2.065E-4,5.626E-4,4.231E-5,junk
-0.003787,0.001749,-3.116E-4,-6.188E-4,6.096E-4,-5.161E-4,5.054E-5,-3.137E-4,0.007281,0.001298,0.002573,-2.841E-4,0.001381,3.313E-4,0.001358,1.457E-4,junk
-0.005689,0.001623,-0.001087,-7.818E-4,-3.733E-4,-6.257E-4,-7.84E-4,-3.96E-4,0.005633,0.001089,0.00179,-3.655E-4,3.669E-4,2.207E-4,3.132E-4,7.649E-5,junk
-0.004893,0.002013,-6.239E-4,-6.171E-4,5.748E-4,-5.667E-4,1.064E-4,-3.725E-4,0.009061,0.001229,0.003432,-2.271E-4,0.00233,3.824E-4,0.002241,1.884E-4,junk
-0.0044,0.001694,-6.301E-4,-6.982E-4,2.434E-4,-5.732E-4,-1.614E-4,-3.677E-4,0.007203,0.001141,0.002352,-2.91E-4,0.001032,3.283E-4,0.001058,1.505E-4,junk
-0.003867,0.001823,-4.08E-4,-5.887E-4,6.167E-4,-5.172E-4,1.719E-4,-3.349E-4,0.00893,0.001126,0.003204,-2.849E-4,0.002143,3.252E-4,0.001992,1.522E-4,junk
-0.003478,0.001818,-3.336E-4,-6.083E-4,6.864E-4,-5.442E-4,2.658E-4,-3.528E-4,0.009224,0.001212,0.003176,-2.334E-4,0.002042,3.989E-4,0.002031,2.064E-4,junk
-0.005196,0.001772,-8.789E-4,-7.18E-4,-1.304E-4,-6.166E-4,-4.818E-4,-4.053E-4,0.006717,0.001079,0.002151,-3.537E-4,8.252E-4,2.523E-4,7.775E-4,8.293E-5,junk
-0.003665,0.001822,-3.56E-4,-6.175E-4,6.669E-4,-5.739E-4,2.361E-4,-3.7E-4,0.00934,0.001185,0.003322,-2.741E-4,0.002286,4.16E-4,0.00224,1.772E-4,junk
-0.004794,0.001671,-7.676E-4,-7.352E-4,2.902E-5,-6.499E-4,-3.496E-4,-4.18E-4,0.006979,0.001106,0.002318,-3.514E-4,9.03E-4,3.336E-4,8.554E-4,1.318E-4,junk
-0.003956,0.001863,-4.128E-4,-6.131E-4,6.226E-4,-5.773E-4,2.267E-4,-3.957E-4,0.009115,0.001161,0.003403,-2.766E-4,0.002321,4.085E-4,0.002228,1.553E-4,junk
-0.004591,0.001648,-5.667E-4,-7.152E-4,2.126E-4,-6.578E-4,-2.009E-4,-4.498E-4,0.007228,0.001104,0.002426,-2.966E-4,0.001076,3.784E-4,0.001005,1.827E-4,junk
-0.00131,9.037E-4,6.588E-4,-5.339E-4,0.001048,-3.985E-4,8.061E-5,-2.899E-4,0.006807,0.001031,0.002473,-3.56E-4,0.0013,2.915E-4,0.001061,1.9E-5,junk
-0.001102,0.001277,6.924E-4,-5.673E-4,0.00143,-5.364E-4,6.736E-4,-3.957E-4,0.009488,0.001209,0.00354,-2.081E-4,0.002491,4.466E-4,0.002167,1.894E-4,junk
-0.005009,0.001673,-6.894E-4,-7.388E-4,-1.518E-6,-6.769E-4,-4.893E-4,-4.674E-4,0.006437,0.001148,0.001996,-3.311E-4,7.336E-4,3.038E-4,4.712E-4,8.29E-5,junk
-0.002861,0.001946,8.284E-5,-5.484E-4,0.001093,-5.229E-4,5.477E-4,-3.86E-4,0.009829,0.001335,0.003686,-2.775E-4,0.002758,4.279E-4,0.002522,1.45E-4,junk
-0.003164,0.001868,-2.256E-4,-6.255E-4,8.308E-4,-6.372E-4,3.8E-4,-4.353E-4,0.008987,0.001324,0.003068,-3.177E-4,0.001953,4.647E-4,0.001849,1.958E-4,junk
-0.004695,0.0018,-5.986E-4,-7.343E-4,2.819E-4,-6.856E-4,-1.619E-4,-4.685E-4,0.006603,0.001225,0.002121,-4.417E-4,9.219E-4,2.94E-4,9.051E-4,3.313E-5,junk
-0.001713,0.001966,2.813E-4,-5.585E-4,0.001401,-5.487E-4,9.468E-4,-3.928E-4,0.01024,0.001319,0.003524,-3.329E-4,0.002755,4.696E-4,0.002661,1.82E-4,junk
-0.002367,0.001736,2.598E-5,-6.83E-4,8.91E-4,-6.321E-4,4.805E-4,-4.347E-4,0.007814,0.001257,0.002496,-4.208E-4,0.001341,3.762E-4,0.001315,1.732E-4,junk
-0.004136,0.001841,-4.904E-4,-7.484E-4,2.864E-4,-6.824E-4,-1.133E-4,-4.619E-4,0.006642,0.00111,0.00206,-5.469E-4,9.019E-4,2.396E-4,8.987E-4,3.333E-5,junk
-0.003975,0.001994,-3.381E-4,-7.442E-4,7.19E-4,-7.217E-4,2.817E-4,-5.41E-4,0.00839,0.001259,0.002667,-4.524E-4,0.001647,3.402E-4,0.00162,1.566E-4,junk
-0.006615,0.001845,-0.00125,-0.001003,-5.869E-4,-8.956E-4,-9.118E-4,-6.444E-4,0.004685,0.001164,9.013E-4,-6.112E-4,-4.386E-4,1.25E-4,-2.685E-4,1.933E-5,junk
-0.006752,0.001998,-0.001207,-8.877E-4,-1.956E-4,-8.57E-4,-5.843E-4,-6.559E-4,0.006258,0.001246,0.001771,-6.061E-4,5.732E-4,1.51E-4,6.605E-4,-2.544E-5,junk
-0.007709,0.001877,-0.001534,-0.001015,-7.424E-4,-9.476E-4,-0.001139,-6.766E-4,0.00448,0.001172,9.605E-4,-6.346E-4,-4.383E-4,1.019E-4,-3.294E-4,1.03E-5,junk
-0.01005,0.002433,-0.00193,-9.877E-4,-7.141E-4,-9.943E-4,-9.747E-4,-7.55E-4,0.007824,0.001218,0.002985,-4.568E-4,0.001825,2.138E-4,0.001893,6.708E-5,junk
-0.008493,0.002429,-0.001659,-9.659E-4,-3.503E-4,-9.882E-4,-5.614E-4,-7.417E-4,0.009178,0.00123,0.00374,-2.573E-4,0.00242,3.862E-4,0.002512,2.72E-4,junk
-0.009054,0.002201,-0.001887,-0.001009,-8.754E-4,-9.819E-4,-0.001068,-7.18E-4,0.006951,0.001042,0.003417,-2.657E-4,0.001886,3.363E-4,0.001844,1.521E-4,junk
-0.007818,0.00241,-0.001257,-9.171E-4,-2.709E-5,-9.388E-4,-3.655E-4,-6.763E-4,0.009685,0.001075,0.006294,1.174E-4,0.004493,0.001033,0.003209,2.059E-4,junk
