A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,accuracy,condition
0.001559,-8.156E-4,4.76E-4,-5.293E-4,0.001257,-3.732E-4,0.001027,-4.598E-4,0.003561,-5.238E-5,0.002854,4.595E-5,2.355E-4,1.354E-4,0.001148,-1.514E-4,junk,hard
0.001272,-7.824E-4,3.305E-4,-5.303E-4,0.001186,-3.618E-4,9.308E-4,-4.907E-4,0.003165,-1.435E-4,0.002664,2.827E-5,2.142E-4,1.114E-4,0.001055,-1.692E-4,junk,hard
0.001613,-7.778E-4,2.889E-4,-5.322E-4,0.001212,-3.583E-4,8.542E-4,-4.706E-4,0.003108,-1.064E-4,0.002529,4.967E-5,5.129E-5,1.251E-4,9.184E-4,-1.639E-4,junk,hard
0.001636,-7.32E-4,3.618E-4,-5.223E-4,0.001293,-3.317E-4,0.001088,-4.671E-4,0.002984,-1.501E-4,0.002601,3.592E-5,2.877E-4,1.0E-4,0.00112,-1.67E-4,junk,hard
0.001093,-6.332E-4,3.864E-5,-5.387E-4,0.00111,-3.362E-4,7.625E-4,-4.662E-4,0.002381,-1.28E-4,0.002211,2.358E-5,-6.302E-5,1.054E-4,7.798E-4,-1.795E-4,junk,hard
9.197E-4,-7.069E-4,1.471E-4,-5.307E-4,0.001172,-3.457E-4,9.132E-4,-4.725E-4,0.002326,-1.195E-4,0.002282,2.389E-5,7.442E-5,8.978E-5,9.482E-4,-1.917E-4,junk,hard
9.598E-5,-5.868E-4,1.895E-5,-5.141E-4,9.772E-4,-3.237E-4,7.841E-4,-4.821E-4,0.001708,-7.331E-5,0.002073,1.367E-5,-4.23E-5,7.216E-5,8.447E-4,-1.918E-4,junk,hard
1.187E-4,-5.891E-4,-9.284E-5,-5.132E-4,9.425E-4,-3.261E-4,6.158E-4,-4.76E-4,0.002112,-6.504E-5,0.002038,4.081E-5,-6.552E-5,8.514E-5,7.912E-4,-1.964E-4,junk,hard
-2.507E-4,-5.414E-4,5.583E-6,-4.962E-4,9.861E-4,-3.223E-4,7.913E-4,-4.721E-4,0.002158,-2.1E-5,0.002223,5.104E-5,1.674E-4,8.295E-5,0.001037,-2.05E-4,junk,hard
2.982E-4,-5.067E-4,-7.014E-5,-4.836E-4,9.325E-4,-2.847E-4,6.117E-4,-4.448E-4,0.002233,7.577E-5,0.002033,7.867E-5,-1.314E-6,9.655E-5,8.434E-4,-1.862E-4,junk,hard
0.001862,-4.684E-4,1.592E-4,-4.663E-4,0.001238,-2.312E-4,0.001002,-3.94E-4,0.00244,1.066E-4,0.002212,8.475E-5,2.34E-4,1.068E-4,0.001074,-1.843E-4,junk,hard
