A1HBO,A1HB,A2HBO,A2HB,A3HBO,A3HB,A4HBO,A4HB,B1HBO,B1HB,B2HBO,B2HB,B3HBO,B3HB,B4HBO,B4HB,condition
0.00415,8.228E-4,0.002296,-0.002045,0.001714,-0.001803,2.871E-5,-0.001066,0.01099,0.002271,2.92E-4,-1.867E-4,-9.781E-4,-0.001061,3.706E-4,-0.001454,junk
0.004976,7.844E-4,0.003172,-0.002046,0.002481,-0.001787,7.238E-4,-0.00106,0.01383,0.002389,0.002661,-1.114E-4,0.00163,-9.605E-4,0.002093,-0.00149,junk
0.004114,7.678E-4,0.002343,-0.002054,0.001795,-0.001797,2.145E-4,-0.001087,0.01232,0.002177,0.001562,-2.687E-4,3.612E-4,-0.001101,0.001213,-0.001553,junk
0.004468,6.964E-4,0.00274,-0.002093,0.002197,-0.001821,4.746E-4,-0.001096,0.01257,0.002255,0.001433,-1.939E-4,2.34E-4,-0.001006,0.001257,-0.001466,junk
0.004871,6.967E-4,0.003142,-0.002087,0.002663,-0.001824,8.393E-4,-0.00108,0.01473,0.002348,0.003412,-1.421E-4,0.002542,-9.415E-4,0.002682,-0.00152,junk
0.003897,6.361E-4,0.00207,-0.002119,0.001783,-0.001831,8.778E-5,-0.001102,0.0128,0.002152,0.001435,-3.015E-4,2.034E-4,-0.001103,0.001251,-0.001553,junk
0.005107,5.373E-4,0.003093,-0.002137,0.002702,-0.001844,8.922E-4,-0.001141,0.01528,0.002357,0.003279,-1.576E-4,0.002327,-8.882E-4,0.002717,-0.001471,junk
0.004884,5.5E-4,0.003389,-0.002113,0.003067,-0.001851,0.001111,-0.001092,0.01661,0.002404,0.004638,-1.638E-4,0.004015,-8.531E-4,0.003798,-0.001545,junk
0.004004,4.473E-4,0.002205,-0.002154,0.002017,-0.00185,2.579E-4,-0.001134,0.01301,0.00214,0.001377,-2.932E-4,2.45E-4,-0.001071,0.001324,-0.001509,junk
0.005228,4.63E-4,0.003351,-0.00213,0.00314,-0.00185,0.001184,-0.001141,0.01575,0.002363,0.003525,-1.583E-4,0.002636,-8.498E-4,0.00309,-0.001485,junk
0.005633,3.814E-4,0.003952,-0.002121,0.003655,-0.001818,0.001743,-0.001118,0.01772,0.002482,0.005304,-1.169E-4,0.004995,-7.961E-4,0.004537,-0.001466,junk
0.004576,3.48E-4,0.002835,-0.002134,0.002798,-0.001863,8.671E-4,-0.001129,0.01429,0.002234,0.002705,-2.808E-4,0.001702,-9.551E-4,0.002451,-0.001537,junk
0.005273,3.601E-4,0.003596,-0.002152,0.00353,-0.001836,0.001498,-0.001128,0.0158,0.002348,0.003624,-1.628E-4,0.002822,-8.083E-4,0.003219,-0.001416,junk
0.005961,2.814E-4,0.004324,-0.002112,0.00429,-0.001817,0.002169,-0.001111,0.01797,0.002537,0.005631,-1.015E-4,0.005373,-6.79E-4,0.004988,-0.001428,junk
0.00504,3.027E-4,0.003561,-0.002122,0.003538,-0.001777,0.001557,-0.001106,0.0153,0.002331,0.003845,-1.95E-4,0.003163,-8.634E-4,0.003477,-0.001475,junk
0.005807,2.48E-4,0.003861,-0.002089,0.004009,-0.001791,0.00185,-0.001081,0.0155,0.002351,0.003647,-1.315E-4,0.002877,-7.338E-4,0.003403,-0.001357,junk
0.006923,2.517E-4,0.004761,-0.002062,0.004928,-0.001736,0.002718,-0.001068,0.01779,0.002551,0.005781,-4.024E-5,0.005582,-5.963E-4,0.005223,-0.001327,junk
0.006862,2.944E-4,0.00456,-0.002006,0.004829,-0.001714,0.00266,-0.001056,0.01734,0.002442,0.005477,-1.005E-4,0.005183,-6.584E-4,0.004951,-0.001374,junk
0.007312,3.402E-4,0.004868,-0.002031,0.005062,-0.001663,0.002776,-0.001016,0.01726,0.002502,0.005082,-1.734E-5,0.004676,-5.869E-4,0.004778,-0.001313,junk
0.008639,3.635E-4,0.00557,-0.001933,0.005952,-0.001619,0.003635,-0.001003,0.01965,0.002674,0.006964,4.481E-5,0.006915,-4.626E-4,0.00638,-0.001257,junk
0.008208,4.485E-4,0.005405,-0.001907,0.005654,-0.001569,0.003391,-9.345E-4,0.01905,0.00258,0.006738,7.145E-5,0.006747,-5.349E-4,0.006184,-0.00132,junk
0.008433,3.567E-4,0.00504,-0.001862,0.005223,-0.00157,0.003096,-9.559E-4,0.01745,0.002463,0.00505,8.319E-5,0.004472,-4.951E-4,0.00461,-0.001242,junk
0.009715,4.907E-4,0.006101,-0.001835,0.006134,-0.001484,0.00399,-9.243E-4,0.02034,0.002756,0.006942,1.875E-4,0.006721,-3.898E-4,0.006229,-0.001192,junk
0.01026,4.446E-4,0.006464,-0.001796,0.006434,-0.001462,0.004312,-8.671E-4,0.02183,0.002955,0.008073,2.738E-4,0.008116,-3.397E-4,0.007366,-0.001224,junk
0.00881,5.215E-4,0.005419,-0.001754,0.005252,-0.001445,0.003339,-8.439E-4,0.01894,0.002663,0.00608,2.14E-4,0.005829,-4.998E-4,0.00552,-0.001311,junk
0.009764,5.26E-4,0.005872,-0.001712,0.005739,-0.001454,0.00377,-8.565E-4,0.02028,0.002818,0.006795,2.299E-4,0.006372,-3.62E-4,0.005959,-0.001218,junk
0.01017,6.056E-4,0.00612,-0.001673,0.005984,-0.00141,0.003985,-8.072E-4,0.02127,0.002907,0.007735,2.969E-4,0.007599,-3.574E-4,0.006907,-0.001252,junk
0.008476,7.862E-4,0.005066,-0.001636,0.004826,-0.001394,0.002984,-8.193E-4,0.01778,0.00263,0.005512,2.053E-4,0.005039,-5.23E-4,0.004878,-0.001278,junk
0.008973,8.26E-4,0.005397,-0.001648,0.005147,-0.001393,0.003286,-8.363E-4,0.01895,0.002887,0.006309,2.821E-4,0.005958,-4.498E-4,0.005496,-0.001213,junk
0.008267,8.224E-4,0.005007,-0.001675,0.004808,-0.001409,0.002943,-8.198E-4,0.01834,0.002824,0.006353,2.038E-4,0.006071,-5.028E-4,0.005494,-0.001304,junk
0.007332,8.639E-4,0.004353,-0.001705,0.004144,-0.001453,0.002285,-8.19E-4,0.01596,0.002715,0.004611,2.157E-4,0.004025,-5.228E-4,0.003943,-0.001254,junk
0.007363,8.849E-4,0.004574,-0.001729,0.004367,-0.001453,0.002486,-8.36E-4,0.01667,0.002763,0.00553,2.43E-4,0.005289,-5.239E-4,0.004842,-0.001284,junk
0.005927,9.017E-4,0.003641,-0.001726,0.003431,-0.001475,0.001638,-8.54E-4,0.01395,0.002533,0.003682,1.177E-4,0.003051,-6.858E-4,0.003115,-0.001341,junk
0.006233,8.187E-4,0.003938,-0.001757,0.003757,-0.001475,0.001981,-8.769E-4,0.01455,0.002623,0.004464,1.533E-4,0.003983,-5.932E-4,0.003726,-0.001302,junk
0.005195,8.785E-4,0.003195,-0.001757,0.002971,-0.0015,0.001284,-8.8E-4,0.01254,0.002409,0.002887,6.782E-5,0.002114,-7.455E-4,0.002493,-0.001389,junk
0.005339,8.825E-4,0.003513,-0.00178,0.003289,-0.001508,0.001498,-8.77E-4,0.01318,0.002434,0.003265,1.122E-4,0.002726,-6.907E-4,0.002838,-0.001331,junk
0.004938,8.669E-4,0.003054,-0.001788,0.002811,-0.001526,0.001055,-8.682E-4,0.0121,0.002334,0.002517,3.933E-5,0.001646,-7.748E-4,0.002082,-0.0014,junk
0.005026,8.868E-4,0.003296,-0.001809,0.003039,-0.001543,0.001259,-8.88E-4,0.01241,0.002348,0.002684,5.11E-5,0.001866,-7.172E-4,0.002263,-0.001374,junk
0.004998,8.331E-4,0.003173,-0.001791,0.002957,-0.001533,0.001256,-8.889E-4,0.01275,0.002346,0.003,1.072E-6,0.002201,-7.806E-4,0.002437,-0.001399,junk
0.005172,7.871E-4,0.003244,-0.001833,0.003026,-0.001566,0.001201,-9.02E-4,0.01236,0.002314,0.002414,4.657E-5,0.001534,-7.463E-4,0.002126,-0.001358,junk
0.005264,7.89E-4,0.003616,-0.001804,0.003409,-0.001533,0.001598,-9.169E-4,0.01373,0.002405,0.003736,5.262E-5,0.003155,-6.97E-4,0.003213,-0.001427,junk
0.00462,7.804E-4,0.002822,-0.001832,0.002519,-0.001567,9.314E-4,-9.475E-4,0.01143,0.00219,0.001541,-2.731E-5,5.148E-4,-8.391E-4,0.001573,-0.001381,junk
0.005453,7.081E-4,0.003621,-0.001814,0.003467,-0.001574,0.001657,-9.605E-4,0.01353,0.00238,0.003398,6.415E-5,0.002877,-7.04E-4,0.003049,-0.001359,junk
0.004796,6.745E-4,0.003161,-0.001815,0.00302,-0.001584,0.001248,-9.167E-4,0.01277,0.002299,0.003024,-1.996E-5,0.002351,-7.992E-4,0.002723,-0.001436,junk
0.004695,6.408E-4,0.003085,-0.001844,0.002888,-0.001598,0.001212,-9.619E-4,0.01149,0.002267,0.001709,2.462E-5,7.457E-4,-7.32E-4,0.00174,-0.001329,junk
0.005414,6.051E-4,0.003783,-0.001824,0.003686,-0.001583,0.001815,-9.399E-4,0.01369,0.002434,0.003692,8.96E-5,0.003097,-6.481E-4,0.003361,-0.001383,junk
0.004695,6.121E-4,0.003105,-0.001824,0.00285,-0.001583,0.001161,-9.364E-4,0.01198,0.002209,0.002071,-4.35E-5,0.001141,-8.134E-4,0.002017,-0.001367,junk
0.005523,5.951E-4,0.003921,-0.001835,0.003731,-0.00159,0.001826,-9.217E-4,0.01386,0.002368,0.003477,9.101E-5,0.002916,-6.575E-4,0.003245,-0.001307,junk
0.005612,4.617E-4,0.003845,-0.001782,0.003651,-0.001578,0.001848,-9.193E-4,0.01402,0.002432,0.003985,7.126E-5,0.003467,-7.009E-4,0.003546,-0.001356,junk
0.00534,4.673E-4,0.003561,-0.001841,0.003299,-0.001622,0.00147,-9.453E-4,0.0123,0.002312,0.002019,5.095E-5,0.001066,-6.947E-4,0.002142,-0.001278,junk
0.006387,4.398E-4,0.004553,-0.001785,0.004429,-0.001601,0.00244,-9.347E-4,0.01532,0.002534,0.004699,1.609E-4,0.004266,-5.393E-4,0.004313,-0.001243,junk
0.005899,4.403E-4,0.004302,-0.001778,0.004116,-0.001585,0.002241,-9.132E-4,0.01495,0.002418,0.004648,1.091E-4,0.00426,-6.454E-4,0.004281,-0.001334,junk
0.005622,4.046E-4,0.004057,-0.001818,0.003751,-0.001595,0.001977,-9.413E-4,0.01308,0.002345,0.00293,1.382E-4,0.002112,-6.224E-4,0.002891,-0.001251,junk
0.006737,3.707E-4,0.004943,-0.001785,0.004748,-0.001584,0.002753,-9.095E-4,0.01599,0.002492,0.005295,1.94E-4,0.00494,-4.727E-4,0.004864,-0.001249,junk
0.006002,4.395E-4,0.004481,-0.001767,0.004281,-0.001568,0.002435,-9.09E-4,0.01498,0.002364,0.004777,1.372E-4,0.004364,-6.106E-4,0.004373,-0.001322,junk
0.006195,3.356E-4,0.004383,-0.001804,0.004116,-0.001592,0.002306,-9.162E-4,0.0138,0.002321,0.00351,1.677E-4,0.002808,-5.782E-4,0.003342,-0.001218,junk
0.007279,3.73E-4,0.005197,-0.001753,0.00501,-0.001553,0.00304,-9.144E-4,0.01653,0.002499,0.005686,2.588E-4,0.005486,-4.378E-4,0.005241,-0.001194,junk
0.00684,3.252E-4,0.004674,-0.001747,0.004432,-0.001548,0.00266,-9.075E-4,0.01546,0.002327,0.004971,1.599E-4,0.004639,-5.742E-4,0.004595,-0.001273,junk
0.00677,3.179E-4,0.004531,-0.001768,0.00424,-0.001547,0.002467,-9.066E-4,0.01455,0.002326,0.003833,1.841E-4,0.003142,-5.732E-4,0.003621,-0.001223,junk
0.007805,3.247E-4,0.00529,-0.001739,0.005125,-0.001563,0.003194,-9.029E-4,0.01717,0.002511,0.005874,2.749E-4,0.005675,-4.242E-4,0.005388,-0.001197,junk
0.007144,3.39E-4,0.004884,-0.001746,0.004686,-0.001543,0.002827,-8.895E-4,0.01631,0.002426,0.005478,2.255E-4,0.005379,-5.693E-4,0.005149,-0.001304,junk
0.006957,2.712E-4,0.004385,-0.001756,0.004201,-0.001581,0.002415,-9.396E-4,0.01449,0.002388,0.003783,1.73E-4,0.003189,-5.836E-4,0.003505,-0.001234,junk
0.007347,3.754E-4,0.005037,-0.001767,0.004977,-0.001597,0.003032,-9.475E-4,0.01706,0.002509,0.005509,2.995E-4,0.005473,-4.65E-4,0.005218,-0.001248,junk
