Uk1,YAxis,Uk2,PRbpm,SpO2,Time
148,42,5,62,97,2014-06-27 16:10:45.428221
148,35,4,62,97,2014-06-27 16:10:45.445057
148,28,3,62,97,2014-06-27 16:10:45.461517
148,23,2,62,97,2014-06-27 16:10:45.478342
148,22,2,62,97,2014-06-27 16:10:45.495129
148,21,2,62,97,2014-06-27 16:10:45.511657
148,19,2,62,97,2014-06-27 16:10:45.528625
148,19,2,62,97,2014-06-27 16:10:45.545265
148,20,2,62,97,2014-06-27 16:10:45.561843
148,21,2,62,97,2014-06-27 16:10:45.578683
148,20,2,62,97,2014-06-27 16:10:45.595413
148,20,2,62,97,2014-06-27 16:10:45.611936
148,21,2,62,97,2014-06-27 16:10:45.628742
148,21,2,62,97,2014-06-27 16:10:45.645610
148,21,2,62,97,2014-06-27 16:10:45.661980
148,21,2,62,97,2014-06-27 16:10:45.678789
148,22,2,62,97,2014-06-27 16:10:45.695535
148,23,2,62,97,2014-06-27 16:10:45.712184
148,23,2,62,97,2014-06-27 16:10:45.728881
148,24,3,62,97,2014-06-27 16:10:45.745611
148,25,3,62,97,2014-06-27 16:10:45.762201
148,25,3,62,97,2014-06-27 16:10:45.778965
148,26,3,62,97,2014-06-27 16:10:45.795739
148,27,3,62,97,2014-06-27 16:10:45.812677
148,27,3,62,97,2014-06-27 16:10:45.829253
148,27,3,62,97,2014-06-27 16:10:45.845825
148,26,3,62,97,2014-06-27 16:10:45.862440
148,26,3,62,97,2014-06-27 16:10:45.879280
148,24,3,62,97,2014-06-27 16:10:45.895960
148,23,2,62,97,2014-06-27 16:10:45.912654
148,23,2,62,97,2014-06-27 16:10:45.929322
148,21,2,62,97,2014-06-27 16:10:45.946108
148,17,2,62,97,2014-06-27 16:10:45.962613
148,9,1,62,97,2014-06-27 16:10:45.979431
148,0,0,62,97,2014-06-27 16:10:45.996192
148,0,0,62,97,2014-06-27 16:10:46.013161
148,0,0,62,97,2014-06-27 16:10:46.029488
148,0,0,62,97,2014-06-27 16:10:46.046256
148,0,0,62,97,2014-06-27 16:10:46.063000
148,0,0,62,97,2014-06-27 16:10:46.079652
148,0,0,62,97,2014-06-27 16:10:46.096424
148,10,1,62,97,2014-06-27 16:10:46.112871
148,23,2,62,97,2014-06-27 16:10:46.129920
148,35,4,62,97,2014-06-27 16:10:46.146534
148,45,5,62,97,2014-06-27 16:10:46.163303
148,56,7,62,97,2014-06-27 16:10:46.180028
148,65,8,62,97,2014-06-27 16:10:46.196581
148,72,9,62,97,2014-06-27 16:10:46.213604
148,76,9,62,97,2014-06-27 16:10:46.230025
148,80,10,62,97,2014-06-27 16:10:46.246981
148,81,10,62,97,2014-06-27 16:10:46.263898
