Subject:	S205
Project:	glassroutes
Time:	2015-01-21_11-32-25

Matlab_now	Increasing Marker	BoxyTime	Marker	A-DC1	A-DC2	A-DC3	A-DC4	A-DC5	A-DC6	A-DC7	A-DC8	B-DC1	B-DC2	B-DC3	B-DC4	B-DC5	B-DC6	B-DC7	B-DC8
41546.077	0	2936.305	0	-0.276	-0.097	-0.017	-0.006	-0.289	-0.051	-0.020	-0.002	-1.524	-0.051	-0.022	-0.010	-0.311	-0.141	-0.051	-0.020	
41546.184	0	2936.390	0	-0.265	-0.106	-0.018	-0.005	-0.268	-0.050	-0.020	-0.003	-1.488	-0.050	-0.022	-0.010	-0.316	-0.141	-0.051	-0.020	
41546.300	0	2936.474	0	-0.267	-0.120	-0.018	-0.005	-0.304	-0.049	-0.016	-0.003	-1.508	-0.051	-0.022	-0.010	-0.312	-0.140	-0.050	-0.020	
41546.374	0	2936.558	0	-0.279	-0.104	-0.017	-0.005	-0.295	-0.050	-0.017	-0.003	-1.498	-0.051	-0.022	-0.010	-0.310	-0.142	-0.049	-0.020	
41546.469	0	2936.663	0	-0.213	-0.105	-0.017	-0.005	-0.301	-0.054	-0.017	-0.003	-1.474	-0.051	-0.022	-0.010	-0.314	-0.142	-0.050	-0.020	
41546.585	0	2936.747	0	-0.284	-0.101	-0.019	-0.005	-0.304	-0.050	-0.015	-0.003	-1.476	-0.051	-0.022	-0.010	-0.313	-0.143	-0.050	-0.021	
41546.657	0	2936.830	0	-0.286	-0.092	-0.021	-0.005	-0.297	-0.061	-0.019	-0.003	-1.507	-0.049	-0.022	-0.010	-0.316	-0.144	-0.050	-0.020	
41546.698	0	2936.914	0	-0.243	-0.100	-0.019	-0.005	-0.273	-0.057	-0.017	-0.003	-1.503	-0.050	-0.022	-0.010	-0.308	-0.142	-0.049	-0.020	
41546.801	0	2936.998	0	-0.280	-0.097	-0.019	-0.005	-0.307	-0.058	-0.017	-0.003	-1.512	-0.049	-0.022	-0.011	-0.308	-0.144	-0.050	-0.020	
41546.913	0	2937.082	0	-0.317	-0.101	-0.018	-0.005	-0.261	-0.055	-0.018	-0.002	-1.538	-0.050	-0.022	-0.010	-0.307	-0.143	-0.050	-0.020	
41547.025	0	2937.166	0	-0.298	-0.100	-0.020	-0.006	-0.274	-0.057	-0.020	-0.002	-1.529	-0.050	-0.022	-0.011	-0.310	-0.142	-0.051	-0.020	
41547.038	0	2937.250	0	-0.338	-0.103	-0.019	-0.005	-0.263	-0.050	-0.019	-0.002	-1.519	-0.051	-0.022	-0.010	-0.311	-0.141	-0.050	-0.020	
41547.058	0	2937.313	0	-0.301	-0.108	-0.015	-0.005	-0.274	-0.050	-0.018	-0.002	-1.504	-0.051	-0.022	-0.010	-0.307	-0.141	-0.051	-0.020	
41547.209	0	2937.418	0	-0.210	-0.102	-0.016	-0.004	-0.312	-0.049	-0.018	-0.003	-1.492	-0.051	-0.022	-0.010	-0.311	-0.141	-0.050	-0.020	
41547.223	0	2937.482	0	-0.259	-0.099	-0.018	-0.005	-0.297	-0.048	-0.018	-0.003	-1.512	-0.051	-0.022	-0.010	-0.317	-0.140	-0.050	-0.021	
41547.339	0	2937.566	0	-0.245	-0.111	-0.020	-0.005	-0.293	-0.051	-0.016	-0.003	-1.491	-0.050	-0.022	-0.010	-0.312	-0.143	-0.049	-0.021	
41547.416	0	2937.648	0	-0.246	-0.099	-0.020	-0.005	-0.273	-0.056	-0.016	-0.003	-1.487	-0.050	-0.022	-0.010	-0.313	-0.144	-0.050	-0.020	
41547.524	0	2937.734	0	-0.289	-0.101	-0.021	-0.005	-0.299	-0.053	-0.016	-0.003	-1.523	-0.050	-0.023	-0.010	-0.309	-0.145	-0.049	-0.021	
41547.624	0	2937.818	0	-0.285	-0.090	-0.019	-0.005	-0.295	-0.053	-0.016	-0.002	-1.507	-0.050	-0.022	-0.010	-0.313	-0.143	-0.050	-0.020	
