mean,standard_deviation,root_mean_square,condition
82.8,1.424279266355945,82.81143238305526,neutral
78.73333333333333,1.0997835284835873,78.74050207273679,neutral
76.46666666666667,0.5163977794943222,76.46829408323426,positive
78.4,0.50709255283711,78.40153059730403,negative
78.8,1.4735767952260146,78.81285851094773,negative
77.4375,0.51234753829798,77.43908896674857,negative
79.86666666666666,1.0600988273786194,79.87323289646747,neutral
76.73333333333333,0.7988086367179803,76.73721391867183,positive
81.86666666666666,0.5163977794943223,81.86818673941667,neutral
80.33333333333333,2.690370836538197,80.37536936151523,negative
79.06666666666666,0.9611501047232547,79.07211898008046,negative
77.13333333333334,1.2459458063579458,77.14272486761146,negative
77.66666666666667,1.3451854182690985,77.67753858098234,negative
82.26666666666667,1.2227992865708155,82.27514813113375,positive
78.53333333333333,1.245945806357946,78.54255746621276,negative
78.06666666666666,0.8837151016885368,78.07133490169957,positive
83.93333333333334,0.7988086367179803,83.93688104760624,positive
81.26666666666667,1.3870146083619752,81.27771322242442,neutral
80.06666666666666,0.5936168397046637,80.06872048434394,neutral
80.66666666666667,1.1126972805283735,80.67382888314317,neutral
84.73333333333333,1.9073791542572858,84.75336768136906,negative
82.0,1.7320508075688772,82.01707139370437,neutral
79.86666666666666,0.9154754164341269,79.8715635671837,neutral
81.4,0.50709255283711,81.40147418812512,negative
82.2,0.9411239481143201,82.20502823226002,positive
81.6,0.50709255283711,81.60147057498412,positive
83.4,1.2983506020002014,83.40943192069668,neutral
84.73333333333333,1.2798809468443688,84.74235462073653,neutral
85.33333333333333,1.3972762620115435,85.34400974878085,negative
84.0,1.889822365046136,84.01983892708515,positive
90.4,1.8822478962286402,90.41828723586102,neutral
88.26666666666667,1.751190071541826,88.28287867229221,negative
87.53333333333333,1.7674302033770735,87.54998572244315,negative
85.93333333333334,1.9073791542572858,85.95308798020774,neutral
85.0,2.7774602993176543,85.04234239483294,positive
83.53333333333333,2.030716505032035,83.55636819935789,neutral
87.8,0.6761234037828132,87.802429730997,negative
84.66666666666667,2.126924898488314,84.69159737935439,positive
87.26666666666667,3.731462116089285,87.34109380278373,neutral
93.93333333333334,1.791514389985135,93.94927709496581,negative
88.8,3.931557306862365,88.88119411139044,positive
82.66666666666667,0.9759000729485332,82.67204283593497,negative
79.0,2.53546276418555,79.03796556086195,negative
83.46666666666667,2.356349072692956,83.49770455926718,negative
82.86666666666666,1.5522640914238175,82.88023487740206,positive
82.13333333333334,2.0655911179772892,82.15757218094183,positive
85.73333333333333,1.709915063331955,85.74924683828618,positive
87.2,1.01418510567422,87.20550441342564,neutral
84.46666666666667,1.1254628677422756,84.47366453516742,positive
80.06666666666666,1.2227992865708155,80.07538115217852,positive
88.06666666666666,1.9444671200491876,88.08669971492101,positive
87.8,1.2071217242444348,87.80774453315607,neutral
85.33333333333333,0.7237468644557459,85.3361978685872,positive
83.93333333333334,1.830950832868254,83.9519703957765,neutral
86.73333333333333,1.3870146083619754,86.74368372778889,negative
82.2,1.3732131246511903,82.210704899058,neutral
79.93333333333334,1.5337473561121315,79.94706582066244,positive
82.26666666666667,0.7988086367179801,82.27028625208496,positive
81.73333333333333,0.5936168397046637,81.7353452715939,negative
91.26666666666667,2.086236073022646,91.28891864112897,neutral
