mean,standard_deviation,root_mean_square,triangular_index,condition
695.0,65.98153695080772,698.0896009174545,0.13530005285158314,hard
679.0222222222222,52.26614099921186,680.9862129457705,0.07084870848708487,hard
720.0,42.34123861916274,721.2143199064307,0.056922620812333236,hard
703.4545454545455,40.68795293132935,704.6035635860649,0.06482206159937388,easy
699.3488372093024,82.10993899613528,704.0412250086126,0.06306430175535084,easy
775.8,47.4753377271578,777.2150281614477,0.05250420443824603,hard
750.3,57.15933645162218,752.4198296164183,0.05563524144825488,easy
749.2,49.63208226282259,750.8011720821964,0.05690153367414981,hard
765.8,57.20283299421544,767.8801989893997,0.057211817816117644,hard
771.8,49.65480842778472,773.3558042712293,0.05117338983728461,easy
692.0888888888888,53.932542976566495,694.1405557314102,0.06044071353620147,hard
809.0526315789474,43.75543046971801,810.2038729785693,0.046034450123036155,easy
790.6315789473684,72.85543666394155,793.8932713632163,0.04302444892615787,hard
740.4878048780488,54.955946880760564,742.4747018766561,0.057070772978380965,hard
753.0731707317074,51.629637924307794,754.7978569643986,0.057345163687224095,hard
817.4736842105264,40.562755411834196,818.4529694233473,0.0475948178010881,easy
747.0243902439024,37.4996585350307,747.9420872324665,0.05608994912573212,hard
831.5555555555555,63.948391890624,833.9427105289934,0.0395156587658217,easy
838.7777777777778,74.28020736608917,841.9693845054252,0.04304450173747338,easy
752.8780487804878,32.82087378632021,753.5756715041475,0.05436088667909675,hard
809.8947368421053,65.7644401874761,812.4903886071191,0.05461977271706419,easy
833.2972972972973,47.36669297727681,834.6061055080722,0.04439278617224701,easy
804.9473684210526,68.06314531113281,807.7443576828135,0.04610776172600766,easy
898.0,29.5296461204668,898.4711197034529,0.03801404563083051,easy
758.6,43.56945530870721,759.818925797456,0.05473594184306179,hard
835.1351351351351,24.821767062804373,835.4939629717035,0.043499026415371615,easy
872.9142857142857,40.30572242875944,873.8177645906987,0.04152916311320405,easy
805.2631578947369,51.352351566211645,806.8558861733808,0.0483556686682308,hard
862.5142857142857,59.7885349173487,864.5249727864594,0.03908021912837154,easy
804.9473684210526,45.20161882321225,806.1821656490091,0.04807654291701261,hard
