mean,standard_deviation,root_mean_square,condition
79.46666666666667,6.199706737932339,79.70278121454317,neutral
72.93333333333334,1.0327955589886444,72.94015812065851,negative
74.06666666666666,0.5936168397046637,74.06888685541318,positive
75.06666666666666,1.334523278535216,75.07773749032843,neutral
74.46666666666667,1.505545305418162,74.48087002714186,neutral
75.73333333333333,0.9611501047232546,75.73902560767468,negative
76.13333333333334,1.1872336794093274,76.14197265634769,neutral
74.5,0.816496580927726,74.50419451279237,neutral
75.86666666666666,0.990430401872025,75.87270040447135,neutral
78.53333333333333,1.4573295865416045,78.5459525797903,positive
77.0,0.6546536707079771,77.00259735879044,positive
74.86666666666666,0.8338093878327919,74.87100017140592,negative
78.73333333333333,2.939063666900606,78.78451624526231,positive
77.2,0.5606119105813879,77.20189980391243,positive
77.4,1.0555973258234952,77.40671805470117,neutral
76.53333333333333,1.3020130933435712,76.54366945302095,negative
75.93333333333334,2.4043611170022654,75.96885326676102,neutral
78.46666666666667,1.1872336794093274,78.47504911329035,negative
77.4,1.4540583599999395,77.41274658176994,neutral
75.86666666666666,1.6846647257229665,75.88412218639681,positive
73.0,0.8451542547285166,73.0045660672445,negative
78.8,2.210365192839022,78.82892870006543,negative
84.2,2.007130147392398,84.22232483136523,positive
79.53333333333333,1.5522640914238175,79.54747010433455,negative
78.46666666666667,0.915475416434127,78.47165093204042,positive
81.73333333333333,2.433887738538802,81.76714906774399,negative
81.93333333333334,1.9073791542572858,81.95405216745945,positive
81.26666666666667,1.6676187756655838,81.28263447174105,negative
84.0,2.29906813420444,84.0293599483736,negative
83.46666666666667,1.995232412766087,83.488921420749,negative
79.93333333333334,0.7988086367179803,79.93705857318828,neutral
83.8,1.4242792663559452,83.8112959769346,positive
81.2,0.5606119105813879,81.20180621964842,neutral
80.8,1.1464230084422218,80.80759040255232,negative
85.53333333333333,2.231804736295804,85.56050490734613,positive
81.06666666666666,3.575045787252574,81.1402078709029,negative
84.0,1.889822365046136,84.01983892708515,positive
79.4,0.7367883976130073,79.40319053203508,positive
81.0,1.3093073414159542,81.00987594114683,neutral
83.26666666666667,2.153623745712151,83.29265673915478,positive
82.6,1.3522468075656262,82.6103302660549,positive
81.4,1.594633858557237,81.41457690937989,negative
85.6,1.404075700034927,85.61074698891488,positive
81.93333333333334,0.5936168397046636,81.93534036055505,neutral
91.66666666666667,2.9920529661723827,91.71223109996471,positive
80.46666666666667,1.88477610139267,80.48726607358458,neutral
82.73333333333333,1.579632265825846,82.74740680730324,positive
82.53333333333333,1.3020130933435712,82.54291812949995,neutral
83.13333333333334,0.9904304018720249,83.13883970002628,neutral
85.06666666666666,0.8837151016885367,85.07095078031435,neutral
82.13333333333334,1.4074631010979934,82.14458797348328,negative
79.26666666666667,0.7037315505489968,79.26958222841007,neutral
82.13333333333334,3.8705235280194827,82.21840831995391,negative
82.5,2.6076809620810595,82.53862732078842,neutral
77.26666666666667,1.279880946844369,77.27655961976224,negative
77.0,0.9660917830792959,77.00568160856704,positive
77.2,0.9411239481143201,77.20535387307454,negative
78.66666666666667,1.1751393027860062,78.67485833055775,negative
75.53333333333333,1.0600988273786194,75.5402762328371,neutral
82.0,1.0,82.00406493989591,classifying
