heart_rate,condition
76,neutral
76,neutral
77,neutral
78,neutral
79,neutral
81,neutral
82,neutral
83,neutral
83,neutral
82,neutral
82,neutral
82,neutral
82,neutral
81,neutral
81,neutral
80,negative
80,negative
81,negative
80,negative
79,negative
79,negative
79,negative
79,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
78,negative
75,positive
75,positive
75,positive
76,positive
76,positive
76,positive
75,positive
75,positive
76,positive
76,positive
76,positive
76,positive
77,positive
77,positive
77,positive
86,positive
86,positive
86,positive
85,positive
85,positive
84,positive
83,positive
81,positive
80,positive
80,positive
79,positive
77,positive
76,positive
77,positive
76,positive
73,neutral
73,neutral
72,neutral
72,neutral
73,neutral
73,neutral
72,neutral
72,neutral
73,neutral
73,neutral
73,neutral
73,neutral
74,neutral
73,neutral
72,neutral
73,negative
74,negative
74,negative
74,negative
73,negative
73,negative
73,negative
73,negative
72,negative
72,negative
73,negative
73,negative
73,negative
73,negative
73,negative
72,neutral
72,neutral
71,neutral
72,neutral
73,neutral
73,neutral
72,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
73,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
73,neutral
73,neutral
73,neutral
72,neutral
72,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
70,neutral
71,neutral
71,neutral
72,neutral
71,neutral
71,neutral
72,neutral
73,neutral
73,neutral
71,neutral
72,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
72,neutral
72,neutral
71,neutral
71,neutral
71,neutral
71,neutral
73,negative
72,negative
72,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
72,negative
73,negative
74,negative
73,negative
73,negative
74,negative
73,positive
73,positive
73,positive
73,positive
72,positive
72,positive
73,positive
74,positive
74,positive
74,positive
74,positive
75,positive
75,positive
74,positive
74,positive
74,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
73,positive
72,positive
73,positive
73,positive
74,positive
73,positive
73,negative
72,negative
72,negative
72,negative
73,negative
73,negative
73,negative
74,negative
73,negative
73,negative
73,negative
73,negative
74,negative
74,negative
74,negative
75,negative
74,negative
74,negative
75,negative
75,negative
75,negative
74,negative
74,negative
74,negative
73,negative
73,negative
74,negative
74,negative
74,negative
74,negative
76,positive
76,positive
77,positive
77,positive
77,positive
77,positive
78,positive
78,positive
78,positive
78,positive
77,positive
76,positive
77,positive
77,positive
76,positive
80,negative
79,negative
78,negative
78,negative
78,negative
78,negative
77,negative
77,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
74,negative
77,positive
77,positive
77,positive
76,positive
77,positive
78,positive
77,positive
76,positive
75,positive
76,positive
76,positive
76,positive
75,positive
76,positive
76,positive
74,neutral
72,neutral
72,neutral
73,neutral
73,neutral
72,neutral
72,neutral
73,neutral
74,neutral
74,neutral
73,neutral
73,neutral
74,neutral
74,neutral
73,neutral
73,positive
73,positive
74,positive
74,positive
73,positive
73,positive
73,positive
74,positive
73,positive
73,positive
74,positive
75,positive
75,positive
75,positive
75,positive
78,neutral
77,neutral
76,neutral
76,neutral
77,neutral
77,neutral
77,neutral
76,neutral
75,neutral
75,neutral
75,neutral
74,neutral
73,neutral
73,neutral
74,neutral
76,negative
76,negative
77,negative
78,negative
79,negative
79,negative
79,negative
78,negative
77,negative
77,negative
76,negative
75,negative
73,negative
74,negative
74,negative
71,positive
71,positive
70,positive
70,positive
71,positive
71,positive
71,positive
71,positive
71,positive
72,positive
73,positive
75,positive
75,positive
76,positive
75,positive
71,neutral
70,neutral
70,neutral
70,neutral
71,neutral
70,neutral
70,neutral
71,neutral
72,neutral
71,neutral
71,neutral
70,neutral
70,neutral
71,neutral
71,neutral
71,positive
71,positive
71,positive
72,positive
71,positive
71,positive
70,positive
71,positive
72,positive
72,positive
71,positive
70,positive
70,positive
71,positive
71,positive
71,neutral
71,neutral
72,neutral
73,neutral
73,neutral
74,neutral
76,neutral
77,neutral
77,neutral
77,neutral
77,neutral
77,neutral
77,neutral
77,neutral
77,neutral
74,positive
74,positive
74,positive
74,positive
75,positive
75,positive
74,positive
74,positive
74,positive
75,positive
74,positive
73,positive
72,positive
72,positive
72,positive
71,negative
70,negative
71,negative
72,negative
72,negative
72,negative
71,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
73,negative
73,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
73,negative
73,negative
73,negative
72,negative
72,negative
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
71,positive
72,positive
72,positive
72,positive
72,positive
73,positive
73,positive
73,positive
73,positive
72,positive
72,positive
72,positive
72,positive
72,positive
71,positive
72,positive
73,positive
73,positive
73,positive
74,positive
76,positive
78,positive
79,positive
81,neutral
80,neutral
80,neutral
79,neutral
78,neutral
77,neutral
76,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
73,neutral
72,neutral
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
71,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
72,negative
71,negative
72,negative
71,negative
71,negative
72,negative
72,negative
71,negative
71,negative
71,negative
72,negative
71,negative
71,negative
71,negative
72,negative
71,negative
71,neutral
71,neutral
71,neutral
72,neutral
72,neutral
71,neutral
72,neutral
72,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
71,neutral
72,neutral
73,negative
74,negative
74,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,negative
73,positive
73,positive
73,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
74,positive
75,positive
75,positive
76,positive
76,positive
76,positive
76,positive
77,positive
76,positive
76,positive
77,positive
78,positive
77,positive
76,positive
76,positive
76,positive
76,positive
75,positive
76,positive
76,positive
75,positive
75,positive
75,negative
74,negative
74,negative
74,negative
74,negative
74,negative
74,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
76,neutral
76,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
76,neutral
75,neutral
75,neutral
76,neutral
76,neutral
76,neutral
76,neutral
76,neutral
76,neutral
76,neutral
77,neutral
77,neutral
76,neutral
75,neutral
75,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
74,neutral
73,neutral
74,neutral
74,neutral
73,neutral
73,neutral
74,neutral
74,neutral
74,neutral
73,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
77,positive
76,positive
76,positive
77,positive
77,positive
77,positive
76,positive
76,positive
75,positive
75,positive
74,positive
74,positive
74,positive
74,positive
73,positive
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
74,neutral
75,neutral
76,neutral
76,neutral
76,neutral
76,neutral
75,neutral
75,neutral
72,positive
72,positive
72,positive
73,positive
73,positive
73,positive
73,positive
72,positive
73,positive
74,positive
74,positive
74,positive
73,positive
73,positive
73,positive
74,negative
74,negative
74,negative
73,negative
74,negative
74,negative
74,negative
73,negative
74,negative
74,negative
73,negative
73,negative
74,negative
74,negative
74,negative
76,positive
76,positive
76,positive
76,positive
76,positive
75,positive
74,positive
75,positive
76,positive
76,positive
75,positive
75,positive
75,positive
74,positive
73,positive
75,negative
75,negative
75,negative
74,negative
75,negative
75,negative
75,negative
75,negative
76,negative
76,negative
76,negative
75,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
75,negative
75,negative
74,negative
75,negative
75,negative
74,negative
74,negative
74,negative
75,negative
74,negative
74,negative
75,negative
75,negative
74,negative
75,negative
75,negative
74,negative
74,negative
75,negative
75,negative
75,negative
76,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
76,negative
77,negative
77,negative
77,negative
77,negative
77,negative
77,negative
76,negative
76,negative
76,negative
76,negative
75,negative
75,negative
75,negative
75,negative
74,positive
74,positive
75,positive
76,positive
76,positive
76,positive
77,positive
76,positive
76,positive
76,positive
76,positive
76,positive
76,positive
77,positive
77,positive
78,positive
77,positive
77,positive
78,positive
78,positive
77,positive
78,positive
78,positive
78,positive
78,positive
78,positive
77,positive
77,positive
76,positive
77,positive
76,positive
76,positive
75,positive
75,positive
76,positive
77,positive
77,positive
77,positive
76,positive
77,positive
77,positive
78,positive
77,positive
77,positive
77,positive
74,neutral
74,neutral
74,neutral
74,neutral
74,neutral
73,neutral
74,neutral
74,neutral
74,neutral
74,neutral
75,neutral
75,neutral
75,neutral
74,neutral
74,neutral
74,negative
74,negative
74,negative
74,negative
74,negative
75,negative
75,negative
74,negative
74,negative
74,negative
74,negative
74,negative
74,negative
75,negative
75,negative
75,neutral
75,neutral
