Subject:	S207
Project:	glassroutes
Time:	2015-01-21_15-33-22

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
190	56019.238	17412.570	0;baselinestart;1421872419061;	0	baselinestart	1421872419061	
544	56049.267	17442.540	0;baselineend;1421872449066;	0	baselineend	1421872449066	
549	56049.674	17443.000	15;easystart;1421872449568	15	easystart	1421872449568	
911	56080.313	17473.690	15;easy;1421872480090	15	easy	1421872480090	
916	56080.755	17474.130	10;passed;1421872480592	10	passed	1421872480592	
1064	56093.292	17486.680	15;easystart;1421872493093	15	easystart	1421872493093	
1423	56123.720	17517.110	15;easy;1421872523616	15	easy	1421872523616	
1429	56124.281	17517.660	10;passed;1421872524116	10	passed	1421872524116	
1577	56136.804	17530.180	15;easystart;1421872536617	15	easystart	1421872536617	
1937	56167.357	17560.700	15;easy;1421872567140	15	easy	1421872567140	
1943	56167.840	17561.240	10;passed;1421872567641	10	passed	1421872567641	
2090	56180.217	17573.700	15;easystart;1421872580142	15	easystart	1421872580142	
2450	56210.832	17604.260	15;easy;1421872610664	15	easy	1421872610664	
2456	56211.353	17604.740	10;passed;1421872611165	10	passed	1421872611165	
2603	56223.800	17617.200	15;easystart;1421872623666	15	easystart	1421872623666	
2963	56254.339	17647.760	15;easy;1421872654188	15	easy	1421872654188	
2969	56254.904	17648.270	10;passed;1421872654689	10	passed	1421872654689	
3116	56267.321	17660.720	16;hardstart;1421872667190	16	hardstart	1421872667190	
3476	56297.849	17691.260	16;hard;1421872697710	16	hard	1421872697710	
3483	56298.415	17691.850	10;passed;1421872698211	10	passed	1421872698211	
3630	56310.883	17704.310	16;hardstart;1421872710712	16	hardstart	1421872710712	
3989	56341.331	17734.780	16;hard;1421872741231	16	hard	1421872741231	
3996	56341.925	17735.350	10;passed;1421872741732	10	passed	1421872741732	
4143	56354.420	17747.850	16;hardstart;1421872754232	16	hardstart	1421872754232	
4503	56384.900	17778.370	16;hard;1421872784753	16	hard	1421872784753	
4508	56385.337	17778.790	10;passed;1421872785253	10	passed	1421872785253	
4657	56397.954	17791.440	15;easystart;1421872797754	15	easystart	1421872797754	
5016	56428.408	17821.870	15;easy;1421872828276	15	easy	1421872828276	
5023	56429.010	17822.460	10;passed;1421872828777	10	passed	1421872828777	
5169	56441.445	17834.880	15;easystart;1421872841277	15	easystart	1421872841277	
5529	56471.935	17865.390	15;easy;1421872871798	15	easy	1421872871798	
5535	56472.443	17865.880	10;passed;1421872872299	10	passed	1421872872299	
5682	56484.890	17878.380	16;hardstart;1421872884800	16	hardstart	1421872884800	
6043	56515.470	17908.980	16;hard;1421872915317	16	hard	1421872915317	
6048	56515.974	17909.400	10;passed;1421872915818	10	passed	1421872915818	
6933	56591.006	17984.490	15;easystart;1421872990818	15	easystart	1421872990818	
7292	56621.438	18014.930	15;easy;1421873021337	15	easy	1421873021337	
7298	56621.952	18015.410	10;passed;1421873021837	10	passed	1421873021837	
7446	56634.518	18027.990	15;easystart;1421873034338	15	easystart	1421873034338	
7806	56665.059	18058.510	15;easy;1421873064859	15	easy	1421873064859	
7811	56665.475	18058.930	10;passed;1421873065360	10	passed	1421873065360	
7959	56677.990	18071.520	16;hardstart;1421873077861	16	hardstart	1421873077861	
8319	56708.550	18102.040	16;hard;1421873108381	16	hard	1421873108381	
8325	56709.028	18102.560	10;passed;1421873108882	10	passed	1421873108882	
8473	56721.609	18115.100	15;easystart;1421873121382	15	easystart	1421873121382	
8833	56752.121	18145.620	15;easy;1421873151899	15	easy	1421873151899	
8839	56752.623	18146.150	10;passed;1421873152400	10	passed	1421873152400	
8986	56765.105	18158.600	16;hardstart;1421873164900	16	hardstart	1421873164900	
9346	56795.590	18189.140	16;hard;1421873195421	16	hard	1421873195421	
9352	56796.115	18189.670	10;passed;1421873195922	10	passed	1421873195922	
9499	56808.527	18202.130	15;easystart;1421873208422	15	easystart	1421873208422	
9859	56839.122	18232.650	15;easy;1421873238942	15	easy	1421873238942	
9865	56839.673	18233.170	10;passed;1421873239443	10	passed	1421873239443	
10012	56852.126	18245.630	16;hardstart;1421873251944	16	hardstart	1421873251944	
10372	56882.592	18276.190	16;hard;1421873282464	16	hard	1421873282464	
10377	56883.057	18276.610	10;passed;1421873282964	10	passed	1421873282964	
10526	56895.625	18289.210	16;hardstart;1421873295465	16	hardstart	1421873295465	
10886	56926.188	18319.770	16;hard;1421873325981	16	hard	1421873325981	
10891	56926.652	18320.190	10;passed;1421873326483	10	passed	1421873326483	
11039	56939.161	18332.730	16;hardstart;1421873338983	16	hardstart	1421873338983	
11399	56969.716	18363.300	16;hard;1421873369502	16	hard	1421873369502	
11405	56970.195	18363.780	10;passed;1421873370004	10	passed	1421873370004	
11552	56982.648	18376.240	16;hardstart;1421873382504	16	hardstart	1421873382504	
11912	57013.207	18406.800	16;hard;1421873413023	16	hard	1421873413023	
11918	57013.715	18407.300	10;passed;1421873413523	10	passed	1421873413523	
12212	57038.643	18432.240	15;easystart;1421873438524	15	easystart	1421873438524	
12573	57069.217	18462.840	15;easy;1421873469043	15	easy	1421873469043	
12578	57069.749	18463.300	10;passed;1421873469544	10	passed	1421873469544	
12726	57082.194	18475.840	16;hardstart;1421873482044	16	hardstart	1421873482044	
13086	57112.742	18506.360	16;hard;1421873512565	16	hard	1421873512565	
13091	57113.214	18506.800	10;passed;1421873513065	10	passed	1421873513065	
13239	57125.707	18519.340	16;hardstart;1421873525565	16	hardstart	1421873525565	
13599	57156.219	18549.860	16;hard;1421873556088	16	hard	1421873556088	
13605	57156.722	18550.390	10;passed;1421873556589	10	passed	1421873556589	
13752	57169.250	18562.850	15;easystart;1421873569090	15	easystart	1421873569090	
14113	57199.852	18593.490	15;easy;1421873599607	15	easy	1421873599607	
14118	57200.302	18593.910	10;passed;1421873600107	10	passed	1421873600107	
14265	57212.727	18606.370	15;easystart;1421873612608	15	easystart	1421873612608	
14624	57243.226	18636.800	15;easy;1421873643130	15	easy	1421873643130	
14632	57243.847	18637.500	10;passed;1421873643631	10	passed	1421873643631	
14779	57256.302	18649.950	16;hardstart;1421873656131	16	hardstart	1421873656131	
15139	57286.851	18680.510	16;hard;1421873686652	16	hard	1421873686652	
15144	57287.278	18680.930	10;passed;1421873687153	10	passed	1421873687153	
15292	57299.844	18693.470	16;hardstart;1421873699654	16	hardstart	1421873699654	
15651	57330.313	18723.950	16;hard;1421873730176	16	hard	1421873730176	
