mean,standard_deviation,root_mean_square,condition
72.65573770491804,2.0239009025611856,72.68345923180624,easy
72.96666666666667,1.5643293888377887,72.98287470359057,easy
71.7741935483871,1.4539527140260295,71.78844367418262,easy
73.96666666666667,1.401559066215888,73.97950166543883,easy
71.93548387096774,0.6290460434111188,71.93814547368835,hard
71.13333333333334,1.008013865987462,71.14023709078663,easy
69.74193548387096,0.7732072570569879,69.74608325226771,hard
71.13333333333334,1.8705214713316296,71.1571031825589,easy
69.16129032258064,1.0032206202542022,69.16833137004339,easy
70.3225806451613,1.8865682561058412,70.34706587640564,easy
66.96774193548387,1.3536092732085314,66.98097948599457,easy
71.26666666666667,4.682567328038027,71.41521779938316,hard
66.06896551724138,1.7098670475206674,66.09032481750077,hard
68.25806451612904,2.568627933813225,68.30481964764108,hard
65.3103448275862,1.1681318503081892,65.32043034678856,easy
67.16129032258064,1.3686191141328887,67.17478405550125,easy
70.0,1.8937283058959973,70.02475752665386,hard
76.09677419354838,5.009024114600084,76.25614729318549,hard
72.56666666666666,2.1605129233480698,72.59775019470874,hard
73.6774193548387,1.275071155509724,73.6880959441277,hard
72.73333333333333,0.4497764451088037,72.73467765332664,hard
75.3225806451613,4.19830995182739,75.43572354724766,hard
71.8,2.123757243092112,71.83035570007989,easy
71.43333333333334,0.9352607356658148,71.43925158249256,hard
71.96774193548387,1.3536092732085312,71.98005996286794,easy
70.74193548387096,1.8791441657570944,70.76608445913494,easy
72.25806451612904,0.8932241949060666,72.26340706055866,hard
71.26666666666667,2.2580634567506386,71.30123888591746,hard
71.09677419354838,1.0441851275732486,71.1041943320709,hard
72.86666666666666,4.606841489105862,73.0073055705158,easy
