mean,standard_deviation,root_mean_square,triangular_index,condition
756.2033898305085,85.20457727323651,760.9075758481124,0.08219058813286317,negative
806.1052631578947,60.507019553145064,808.2537381683786,0.02567892891835959,positive
814.2222222222222,40.14613827381973,815.1564267059422,0.022767698327997153,positive
802.6,69.866338555544,805.483705608003,0.028412874583795784,neutral
794.3157894736842,183.4305962093865,814.133572384907,0.024229864902562466,negative
838.8888888888889,226.26088245232444,867.2280233274548,0.05295577824767859,neutral
715.8181818181819,245.01265980190388,754.7835330862629,0.023389481378118873,neutral
936.5,185.7417562100671,953.6120804603935,0.022860204491672993,neutral
864.4705882352941,148.59261322785312,876.4076408505214,0.022341779949895273,neutral
731.6190476190476,220.03965010662878,762.4816625429661,0.02333900600840482,positive
840.0,193.92660831295098,860.8822348162507,0.026336244341822506,positive
862.8888888888889,219.9028900350144,888.9589416840353,0.017591546284702074,neutral
829.0526315789474,187.7248203811486,848.9488237009094,0.02097491979163073,negative
816.8888888888889,135.11515301831767,827.374965377448,0.02587949858471492,positive
754.0,168.58294850403996,771.696313325391,0.025085250656528044,positive
881.6470588235294,134.08996102266127,891.1924595731272,0.016719427113747427,neutral
921.75,152.11202012552022,933.4425531332927,0.02247486940871779,neutral
667.6521739130435,47.786084600257055,669.2859270699729,0.03262845236511948,negative
839.5555555555555,85.70141204288171,843.676609976964,0.023446086213212848,neutral
802.7368421052631,66.11844767390578,805.3123617578461,0.024656312097003124,neutral
868.9411764705883,48.98018807160106,870.2394531865083,0.020743565300285986,neutral
786.4,55.47725944735801,788.2568109442506,0.0239136120763741,negative
812.4444444444445,37.89493559554957,813.2786866887772,0.02211726759589909,negative
798.3157894736842,58.29146367043895,800.3294058665699,0.023853426968496214,neutral
653.5652173913044,108.90355453208734,662.1871533690129,0.03730170797222645,negative
769.6,53.29402059874022,771.3510225571754,0.02527745961530866,negative
807.3684210526316,20.2325659555628,807.6085555189273,0.023645626725780734,positive
797.8947368421053,28.514898127201477,798.3773016497111,0.023108205693436204,neutral
778.1052631578947,70.73416174259013,781.1451782310918,0.02241639936585186,negative
828.6666666666666,31.082433094254764,829.2170336461311,0.02197886060976075,negative
845.6470588235294,41.329379950089056,846.5970636821829,0.0192029369197642,neutral
840.4444444444445,10.966377611066322,840.5120132659881,0.02144532558918798,positive
805.7777777777778,25.417815788873842,806.1563123861278,0.02252375552340359,positive
825.5555555555555,18.718415663920922,825.755949956698,0.0217613056783407,positive
721.8,54.37452964103883,723.7430483258544,0.029832657437188274,positive
828.0,52.459508194416,829.56802681342,0.023221124773231204,positive
697.5238095238095,38.64662863383952,698.5427007434154,0.03150344568937227,neutral
764.0,38.56368621821366,764.9240485172368,0.024471379956410355,negative
824.4444444444445,108.89726525071679,831.209025723641,0.022921723904651997,negative
864.0,32.95451410656816,864.5913009318673,0.019981634527089072,negative
820.0,53.22538094246568,821.6298166178948,0.02072464289569316,positive
840.0,16.520931464980666,840.1534251419664,0.021247556162160168,positive
774.2,60.01368265040196,776.4065945108915,0.026768162616587897,neutral
774.9473684210526,62.52241703244482,777.3330925942271,0.02304863717350923,positive
784.421052631579,42.560174119153125,785.5141125738172,0.023472184689032158,positive
820.0,37.59849809265697,820.813688428203,0.020517935382752112,neutral
741.6,100.83775399907987,748.0844872071604,0.022890661325512356,negative
730.2857142857143,16.855690010031804,730.470950499614,0.02841077241787511,negative
817.8947368421053,28.421225903738648,818.3624213217387,0.023423354008552607,negative
848.2352941176471,20.320954123037342,848.4643567680863,0.020439601728348675,positive
823.3333333333334,39.24583155084941,824.2162607255723,0.02089909654947208,neutral
833.3333333333334,15.703128200906903,833.473054953388,0.02125225989742833,neutral
785.4,46.19911140635545,786.6897736719349,0.023564932434920284,positive
716.952380952381,42.893444942643846,718.1733442428452,0.028765891871067165,positive
669.2727272727273,39.75901433359761,670.3990670420933,0.032419986184664976,negative
753.7142857142857,46.98206344674832,755.1075609285266,0.027030288403523593,negative
803.3684210526316,24.989354458595162,803.7365370895064,0.02377507527470379,negative
792.6315789473684,29.822084520472384,793.1628889585371,0.024505259763814437,neutral
795.3333333333334,16.478149524892224,795.4945352141368,0.022518472184213614,positive
