rr_interval,condition
912,neutral
856,neutral
792,neutral
804,neutral
876,neutral
920,neutral
912,neutral
856,neutral
908,neutral
952,neutral
976,neutral
952,neutral
944,neutral
872,neutral
824,neutral
812,neutral
848,neutral
952,positive
972,positive
944,positive
888,positive
848,positive
868,positive
896,positive
884,positive
836,positive
872,positive
932,positive
964,positive
896,positive
840,positive
800,positive
816,positive
916,positive
804,negative
832,negative
932,negative
884,negative
884,negative
952,negative
968,negative
952,negative
892,negative
948,negative
956,negative
916,negative
864,negative
936,negative
1008,negative
948,negative
800,positive
784,positive
800,positive
900,positive
964,positive
936,positive
896,positive
932,positive
936,positive
876,positive
792,positive
760,positive
752,positive
860,positive
968,positive
908,positive
892,positive
848,negative
892,negative
924,negative
884,negative
836,negative
860,negative
880,negative
872,negative
848,negative
816,negative
852,negative
916,negative
940,negative
884,negative
804,negative
840,negative
880,negative
860,positive
868,positive
884,positive
908,positive
888,positive
924,positive
936,positive
920,positive
876,positive
916,positive
948,positive
900,positive
904,positive
936,positive
916,positive
856,positive
888,positive
856,positive
880,positive
932,positive
940,positive
892,positive
860,positive
876,positive
900,positive
896,positive
852,positive
896,positive
928,positive
920,positive
840,positive
844,positive
812,positive
808,positive
912,neutral
820,neutral
848,neutral
908,neutral
940,neutral
884,neutral
892,neutral
936,neutral
964,neutral
924,neutral
832,neutral
816,neutral
872,neutral
936,neutral
912,neutral
856,neutral
816,negative
768,negative
776,negative
812,negative
928,negative
992,negative
956,negative
904,negative
960,negative
1004,negative
968,negative
932,negative
956,negative
976,negative
948,negative
892,negative
916,negative
852,negative
892,negative
920,negative
884,negative
832,negative
908,negative
976,negative
948,negative
900,negative
924,negative
944,negative
912,negative
896,negative
944,negative
976,negative
940,negative
876,neutral
844,neutral
892,neutral
944,neutral
968,neutral
900,neutral
896,neutral
908,neutral
880,neutral
868,neutral
900,neutral
952,neutral
944,neutral
876,neutral
892,neutral
944,neutral
948,positive
892,positive
856,positive
892,positive
920,positive
916,positive
880,positive
820,positive
836,positive
864,positive
880,positive
888,positive
836,positive
828,positive
856,positive
904,positive
900,positive
856,neutral
860,neutral
824,neutral
832,neutral
868,neutral
904,neutral
856,neutral
880,neutral
916,neutral
908,neutral
868,neutral
816,neutral
840,neutral
872,neutral
892,neutral
852,neutral
880,neutral
900,neutral
868,negative
864,negative
792,negative
752,negative
748,negative
740,negative
724,negative
724,negative
684,negative
696,negative
720,negative
732,negative
772,negative
888,negative
888,negative
836,negative
780,negative
772,negative
780,negative
804,negative
732,negative
720,negative
736,negative
764,negative
788,negative
804,negative
804,negative
812,negative
808,negative
784,negative
736,negative
712,negative
708,negative
768,negative
868,negative
896,negative
872,negative
804,negative
788,negative
816,positive
784,positive
776,positive
808,positive
860,positive
812,positive
780,positive
764,positive
776,positive
788,positive
828,positive
816,positive
772,positive
772,positive
792,positive
828,positive
796,positive
756,positive
716,positive
776,positive
752,positive
732,positive
744,positive
788,positive
840,positive
856,positive
800,positive
764,positive
752,positive
784,positive
840,positive
828,positive
780,positive
772,positive
784,positive
840,positive
884,positive
832,positive
788,positive
808,positive
808,positive
772,positive
756,positive
744,positive
812,positive
844,positive
820,positive
812,positive
812,positive
848,positive
840,positive
792,positive
768,positive
772,positive
828,positive
912,positive
848,positive
804,neutral
780,neutral
760,neutral
768,neutral
776,neutral
808,neutral
888,neutral
908,neutral
856,neutral
848,neutral
864,neutral
880,neutral
876,neutral
840,neutral
876,neutral
892,neutral
844,neutral
828,neutral
816,neutral
808,neutral
800,neutral
784,neutral
732,neutral
700,neutral
708,neutral
680,neutral
756,neutral
844,neutral
840,neutral
840,neutral
848,neutral
892,neutral
900,neutral
888,neutral
784,neutral
760,neutral
772,neutral
768,neutral
792,neutral
828,neutral
836,neutral
800,neutral
832,neutral
904,neutral
916,neutral
852,neutral
784,neutral
756,neutral
732,neutral
720,neutral
748,neutral
740,neutral
732,neutral
808,neutral
784,neutral
752,neutral
844,positive
824,positive
848,positive
888,positive
848,positive
816,positive
800,positive
820,positive
880,positive
864,positive
808,positive
796,positive
824,positive
864,positive
848,positive
832,positive
820,positive
852,positive
796,neutral
904,neutral
900,neutral
856,neutral
824,neutral
840,neutral
864,neutral
876,neutral
828,neutral
804,neutral
824,neutral
892,neutral
900,neutral
860,neutral
832,neutral
852,neutral
820,neutral
780,neutral
808,neutral
772,neutral
776,neutral
820,neutral
844,neutral
848,neutral
812,neutral
820,neutral
868,neutral
880,neutral
808,neutral
776,neutral
788,neutral
840,neutral
860,neutral
784,neutral
