Subject:	S202
Project:	glassroutes
Time:	2015-01-19_15-28-37

NbPoints	Matlab_now	BoxyTime	Stimulus_String	Trial_no	Stimulus_Label	Stimulus_Time
15101	56998.078	3243.277	10;passed;1421700597169	10	passed	1421700597169	
15247	57010.447	3255.649	16;hardstart;1421700609669	16	hardstart	1421700609669	
15607	57040.977	3286.212	16;hard;1421700640187	16	hard	1421700640187	
15613	57041.492	3286.716	10;passed;1421700640687	10	passed	1421700640687	
15760	57053.986	3299.213	16;hardstart;1421700653188	16	hardstart	1421700653188	
16292	57099.073	3344.311	50;startClassifying;1421700698214;	50	startClassifying	1421700698214	
16293	57189.991	3344.395	50;startClassifying;1421700709212;	50	startClassifying	1421700709212	
16294	57190.007	3344.479	50;startClassifying;1421700710713;	50	startClassifying	1421700710713	
16295	57190.011	3344.541	50;startClassifying;1421700721711;	50	startClassifying	1421700721711	
16296	57190.026	3344.646	50;startClassifying;1421700723212;	50	startClassifying	1421700723212	
16657	57217.784	3463.031	h;100.0;0.0	h	100.0	0.0	
16663	57218.232	3463.557	h;100.0;0.0	h	100.0	0.0	
16669	57218.774	3464.060	h;95.0;5.0	h	95.0	5.0	
16675	57219.373	3464.606	h;99.6;0.4	h	99.6	0.4	
16681	57219.800	3465.089	h;99.6;0.4	h	99.6	0.4	
16687	57220.324	3465.572	h;99.7;0.3	h	99.7	0.3	
16693	57220.814	3466.098	h;55.6;44.4	h	55.6	44.4	
16699	57221.304	3466.601	h;53.7;46.3	h	53.7	46.3	
16706	57221.929	3467.211	e;0.0;100.0	e	0.0	100.0	
16712	57222.432	3467.716	h;100.0;0.0	h	100.0	0.0	
16717	57222.839	3468.156	h;100.0;0.0	h	100.0	0.0	
16723	57223.350	3468.660	e;33.6;66.4	e	33.6	66.4	
16729	57223.864	3469.144	h;75.9;24.1	h	75.9	24.1	
16736	57224.459	3469.752	h;91.5;8.5	h	91.5	8.5	
16741	57224.860	3470.173	h;99.9;0.1	h	99.9	0.1	
16748	57225.498	3470.783	h;68.4;31.6	h	68.4	31.6	
16753	57225.919	3471.181	h;68.4;31.6	h	68.4	31.6	
16759	57226.407	3471.727	h;62.9;37.1	h	62.9	37.1	
16765	57226.889	3472.211	e;0.0;100.0	e	0.0	100.0	
16771	57227.439	3472.714	h;90.9;9.1	h	90.9	9.1	
16777	57227.971	3473.240	h;66.9;33.1	h	66.9	33.1	
16783	57228.460	3473.722	h;68.2;31.8	h	68.2	31.8	
16790	57229.072	3474.353	h;68.0;32.0	h	68.0	32.0	
16795	57229.402	3474.752	h;69.2;30.8	h	69.2	30.8	
16801	57230.012	3475.256	e;0.0;100.0	e	0.0	100.0	
16807	57230.537	3475.781	e;0.0;100.0	e	0.0	100.0	
16813	57231.001	3476.265	e;45.6;54.4	e	45.6	54.4	
16819	57231.462	3476.789	e;0.7;99.3	e	0.7	99.3	
16825	57231.993	3477.294	e;0.0;100.0	e	0.0	100.0	
16832	57232.633	3477.904	h;97.6;2.4	h	97.6	2.4	
16837	57233.018	3478.323	h;99.8;0.2	h	99.8	0.2	
16843	57233.532	3478.806	h;99.5;0.5	h	99.5	0.5	
16850	57234.150	3479.436	h;53.1;46.9	h	53.1	46.9	
16855	57234.502	3479.835	e;5.9;94.1	e	5.9	94.1	
16861	57235.123	3480.381	e;0.0;100.0	e	0.0	100.0	
16867	57235.576	3480.864	h;100.0;0.0	h	100.0	0.0	
16873	57236.120	3481.389	e;0.8;99.2	e	0.8	99.2	
16879	57236.543	3481.872	h;64.6;35.4	h	64.6	35.4	
16885	57237.099	3482.377	h;100.0;0.0	h	100.0	0.0	
16892	57237.732	3482.985	h;81.3;18.7	h	81.3	18.7	
16897	57238.056	3483.406	h;96.9;3.1	h	96.9	3.1	
16903	57238.648	3483.931	h;56.5;43.5	h	56.5	43.5	
16909	57239.156	3484.414	h;56.1;43.9	h	56.1	43.9	
16915	57239.671	3484.960	h;56.4;43.6	h	56.4	43.6	
16921	57240.137	3485.444	h;56.6;43.4	h	56.6	43.4	
16927	57240.647	3485.947	h;53.3;46.7	h	53.3	46.7	
16933	57241.167	3486.473	h;56.6;43.4	h	56.6	43.4	
16939	57241.638	3486.956	h;56.7;43.3	h	56.7	43.3	
16945	57242.243	3487.502	h;56.4;43.6	h	56.4	43.6	
16951	57242.655	3487.985	e;2.2;97.8	e	2.2	97.8	
16957	57243.215	3488.489	e;0.0;100.0	e	0.0	100.0	
16963	57243.727	3489.014	e;20.8;79.2	e	20.8	79.2	
16969	57244.248	3489.498	e;18.3;81.7	e	18.3	81.7	
16975	57244.790	3490.043	e;0.0;100.0	e	0.0	100.0	
16981	57245.240	3490.527	e;0.3;99.7	e	0.3	99.7	
16987	57245.748	3491.073	h;100.0;0.0	h	100.0	0.0	
16993	57246.228	3491.556	e;0.0;100.0	e	0.0	100.0	
16999	57246.729	3492.039	e;0.7;99.3	e	0.7	99.3	
17005	57247.256	3492.565	e;7.5;92.5	e	7.5	92.5	
17011	57247.805	3493.068	h;71.4;28.6	h	71.4	28.6	
17017	57248.295	3493.615	h;99.9;0.1	h	99.9	0.1	
17023	57248.753	3494.098	e;0.0;100.0	e	0.0	100.0	
17029	57249.299	3494.623	h;98.1;1.9	h	98.1	1.9	
17036	57249.949	3495.211	h;56.2;43.8	h	56.2	43.8	
17041	57250.303	3495.611	h;55.7;44.3	h	55.7	44.3	
17047	57250.836	3496.135	h;56.2;43.8	h	56.2	43.8	
17053	57251.286	3496.640	h;98.2;1.8	h	98.2	1.8	
17059	57251.874	3497.164	h;99.5;0.5	h	99.5	0.5	
17065	57252.372	3497.647	h;74.6;25.4	h	74.6	25.4	
17071	57252.898	3498.151	e;1.1;98.9	e	1.1	98.9	
17077	57253.328	3498.677	e;30.3;69.7	e	30.3	69.7	
17083	57253.843	3499.180	h;54.1;45.9	h	54.1	45.9	
17089	57254.437	3499.706	e;0.0;100.0	e	0.0	100.0	
17095	57254.827	3500.189	h;71.7;28.3	h	71.7	28.3	
17101	57255.448	3500.735	e;0.0;100.0	e	0.0	100.0	
17107	57255.908	3501.218	h;78.2;21.8	h	78.2	21.8	
17113	57256.396	3501.723	e;45.5;54.5	e	45.5	54.5	
17119	57256.923	3502.247	e;0.0;100.0	e	0.0	100.0	
17125	57257.427	3502.731	h;99.8;0.2	h	99.8	0.2	
17132	57258.054	3503.339	h;100.0;0.0	h	100.0	0.0	
17137	57258.434	3503.760	h;100.0;0.0	h	100.0	0.0	
17143	57258.993	3504.306	e;0.0;100.0	e	0.0	100.0	
17149	57259.493	3504.789	h;56.4;43.6	h	56.4	43.6	
17155	57259.994	3505.272	h;56.4;43.6	h	56.4	43.6	
17161	57260.455	3505.819	h;100.0;0.0	h	100.0	0.0	
17168	57261.141	3506.385	h;100.0;0.0	h	100.0	0.0	
17173	57261.511	3506.848	e;0.0;100.0	e	0.0	100.0	
17179	57262.079	3507.331	e;2.1;97.9	e	2.1	97.9	
17185	57262.541	3507.814	e;49.1;50.9	e	49.1	50.9	
17191	57262.980	3508.339	h;99.9;0.1	h	99.9	0.1	
17197	57263.490	3508.844	h;72.0;28.0	h	72.0	28.0	
17204	57264.173	3509.452	h;67.0;33.0	h	67.0	33.0	
17210	57264.639	3509.957	h;94.1;5.9	h	94.1	5.9	
17215	57265.155	3510.397	h;63.5;36.5	h	63.5	36.5	
17221	57265.566	3510.881	h;54.4;45.6	h	54.4	45.6	
17227	57266.117	3511.385	h;99.9;0.1	h	99.9	0.1	
17233	57266.586	3511.910	h;100.0;0.0	h	100.0	0.0	
17239	57267.121	3512.414	h;54.3;45.7	h	54.3	45.7	
17245	57267.598	3512.940	h;55.9;44.1	h	55.9	44.1	
17252	57268.236	3513.506	h;56.1;43.9	h	56.1	43.9	
17257	57268.622	3513.969	h;56.7;43.3	h	56.7	43.3	
17263	57269.143	3514.452	h;51.3;48.7	h	51.3	48.7	
17269	57269.656	3514.956	h;99.6;0.4	h	99.6	0.4	
17275	57270.130	3515.480	h;54.8;45.2	h	54.8	45.2	
17281	57270.689	3515.964	h;55.4;44.6	h	55.4	44.6	
17287	57271.214	3516.509	e;47.1;52.9	e	47.1	52.9	
17293	57271.653	3516.992	h;66.9;33.1	h	66.9	33.1	
17299	57272.190	3517.539	h;67.1;32.9	h	67.1	32.9	
17305	57272.678	3518.021	h;67.3;32.7	h	67.3	32.7	
17311	57273.181	3518.505	h;100.0;0.0	h	100.0	0.0	
17317	57273.767	3519.052	h;66.7;33.3	h	66.7	33.3	
17323	57274.260	3519.534	h;66.3;33.7	h	66.3	33.7	
17329	57274.795	3520.081	h;99.5;0.5	h	99.5	0.5	
17335	57275.292	3520.564	e;0.0;100.0	e	0.0	100.0	
17341	57275.748	3521.046	e;0.0;100.0	e	0.0	100.0	
17347	57276.295	3521.593	h;96.3;3.7	h	96.3	3.7	
17353	57276.801	3522.077	h;59.3;40.7	h	59.3	40.7	
17359	57277.344	3522.601	h;56.0;44.0	h	56.0	44.0	
17365	57277.868	3523.106	h;55.7;44.3	h	55.7	44.3	
17371	57278.286	3523.631	h;55.2;44.8	h	55.2	44.8	
17378	57278.922	3524.198	h;55.7;44.3	h	55.7	44.3	
17384	57279.432	3524.702	e;0.0;100.0	e	0.0	100.0	
17389	57279.815	3525.144	e;35.4;64.6	e	35.4	64.6	
17395	57280.311	3525.647	h;93.9;6.1	h	93.9	6.1	
17401	57280.895	3526.173	h;75.6;24.4	h	75.6	24.4	
17407	57281.398	3526.655	h;99.6;0.4	h	99.6	0.4	
17413	57281.841	3527.202	h;68.3;31.7	h	68.3	31.7	
17419	57282.362	3527.685	e;0.0;100.0	e	0.0	100.0	
17425	57282.826	3528.188	h;69.2;30.8	h	69.2	30.8	
17432	57283.500	3528.798	h;71.4;28.6	h	71.4	28.6	
17438	57284.004	3529.282	h;67.9;32.1	h	67.9	32.1	
17443	57284.452	3529.743	h;67.8;32.2	h	67.8	32.2	
17449	57284.988	3530.227	e;0.0;100.0	e	0.0	100.0	
17455	57285.411	3530.731	h;99.9;0.1	h	99.9	0.1	
17461	57285.994	3531.256	e;0.4;99.6	e	0.4	99.6	
17467	57286.446	3531.739	h;99.9;0.1	h	99.9	0.1	
