S1_mean,S1_slope_polyfit,S2_mean,S2_slope_polyfit,S3_mean,S3_slope_polyfit,S4_mean,S4_slope_polyfit,S5_mean,S5_slope_polyfit,S6_mean,S6_slope_polyfit,S7_mean,S7_slope_polyfit,S8_mean,S8_slope_polyfit,S9_mean,S9_slope_polyfit,S10_mean,S10_slope_polyfit,S11_mean,S11_slope_polyfit,S12_mean,S12_slope_polyfit,S13_mean,S13_slope_polyfit,S14_mean,S14_slope_polyfit,S15_mean,S15_slope_polyfit,S16_mean,S16_slope_polyfit,class
0.078496,0.016081,-0.03536,-0.066208,0.13851,0.077761,0.0076382,-0.023128,0.13075,0.14833,0.16998,0.16267,0.043375,0.03034,0.02234,-0.0094294,0.0032089,-0.0044796,-0.010767,-0.013153,0.0047136,-0.0028916,-0.0094361,-0.011308,0.0053848,0.0079861,0.0066365,0.0030982,0.0037651,0.0022675,-0.0004394,-0.0068346,15
-0.19566,-0.48315,-0.65264,-0.66111,-0.099744,-0.36026,-0.51809,-0.52589,-0.037701,0.036545,-0.020373,-0.16599,-0.0099177,-0.083366,-0.20048,-0.46874,-0.011685,-0.029508,-0.039978,-0.040314,-0.0061566,-0.021384,-0.031763,-0.033335,-0.0014094,0.00046277,-0.0039476,-0.012273,-0.0010283,-0.0045539,-0.010837,-0.026676,15
-0.11223,-0.60546,-0.99952,-1.0628,-0.066483,-0.60669,-0.92451,-0.99533,0.081966,0.096331,-0.13023,-0.44789,0.13801,0.016753,-0.22068,-0.71489,-0.021653,-0.058549,-0.082821,-0.08491,-0.023889,-0.062043,-0.080069,-0.082578,-0.014232,-0.0083139,-0.026957,-0.051142,0.0014445,-0.0091394,-0.028155,-0.067208,15
-0.019609,-0.3306,-0.57822,-0.64346,-0.070107,-0.39971,-0.60523,-0.54011,-0.1216,-0.010009,-0.16804,-0.40143,0.033457,-0.043337,-0.18877,-0.54863,-0.0037863,-0.020123,-0.031858,-0.034238,-0.012613,-0.030118,-0.0378,-0.032346,-0.017456,-0.0091346,-0.019751,-0.031948,-0.00065426,-0.0066796,-0.016332,-0.037288,15
0.11669,0.28064,0.34721,0.34321,-0.028458,0.13962,0.24938,0.30557,-0.067354,-0.11746,-0.12906,-0.028706,0.013202,0.023454,0.052553,0.18522,0.0072229,0.039454,0.060487,0.064953,0.0058043,0.038955,0.061253,0.066536,-0.010988,-0.0088397,-0.0045651,0.015106,-0.0068187,-0.0057277,0.0016897,0.035281,15
-0.68952,-1.1477,-1.3615,-1.3002,-0.62106,-1.0058,-1.1605,-1.1492,-0.18074,-0.27893,-0.5484,-0.78315,-0.28059,-0.457,-0.72432,-1.0652,-0.036615,-0.065369,-0.082272,-0.080275,-0.023161,-0.048067,-0.061613,-0.064095,-0.012224,-0.008341,-0.02426,-0.041754,-0.014288,-0.02554,-0.043253,-0.063835,15
0.436,-0.1702,-0.64216,-0.78275,-0.026349,-0.7743,-1.2297,-1.3482,0.12471,-0.025667,-0.15438,-0.45921,0.37759,0.40408,0.3069,-0.40685,0.007538,-0.02012,-0.040811,-0.044908,-0.014096,-0.048557,-0.067749,-0.072763,0.0075692,-0.021654,-0.03531,-0.047952,0.00267,0.0045451,-0.0023526,-0.030958,15
-0.064015,-0.52897,-0.82963,-0.92511,-0.31016,-0.80538,-1.0469,-1.1142,-0.19888,-0.10503,-0.26111,-0.59439,0.18624,0.11643,-0.058251,-0.70502,-0.012892,-0.027871,-0.036861,-0.038729,-0.025388,-0.040338,-0.045976,-0.047728,-0.013853,-0.023506,-0.033654,-0.043382,-0.0059838,-0.0092498,-0.018879,-0.039341,15
0.43457,0.45686,0.34141,0.24055,0.26033,0.21883,0.12725,0.024069,0.10873,-0.037037,0.0022811,0.1383,0.16665,0.20545,0.25884,0.25034,0.022119,0.029532,0.027171,0.022843,0.013306,0.017786,0.016534,0.011666,0.010814,-0.0098441,-0.0067979,0.0052641,0.0022344,0.0058083,0.0089545,0.016494,15
0.011037,-0.091286,-0.14694,-0.18427,-0.17751,-0.31008,-0.3324,-0.38062,-0.23056,-0.22521,-0.30656,-0.38704,0.0066174,-0.020662,-0.060298,-0.26377,-0.0038605,0.015499,0.03249,0.035505,-0.0074322,0.013739,0.030503,0.031677,-0.0086209,-0.016132,-0.012449,-0.0027711,-0.012678,-0.011117,-0.0063667,0.011685,15
-0.083492,-1.074,-1.8289,-2.0119,-0.21068,-1.2217,-1.8908,-2.003,-0.011341,0.0053411,-0.37691,-0.97962,0.21005,0.024197,-0.42198,-1.5115,-0.017857,-0.082773,-0.12637,-0.13371,-0.029062,-0.093863,-0.13021,-0.13272,-0.034723,-0.020967,-0.051853,-0.093629,-0.0016547,-0.017843,-0.049068,-0.11601,15
0.25837,-0.3766,-0.77297,-0.90907,-0.062981,-0.74474,-1.1542,-1.2529,-0.60946,-0.033528,-0.22666,-0.62603,0.29016,0.12764,-0.17232,-1.1213,0.013734,-0.0043388,-0.016697,-0.022178,-0.0040298,-0.025001,-0.039343,-0.046866,-0.03439,-0.024483,-0.033616,-0.043621,-0.00014757,-0.006157,-0.015654,-0.04749,15
0.13602,-0.28625,-0.64324,-0.75735,-0.061176,-0.54253,-0.85606,-0.95626,-0.033038,0.070437,-0.06479,-0.27759,0.33978,0.27773,0.10928,-0.50412,-0.00061986,-0.021995,-0.04007,-0.045169,-0.013255,-0.036619,-0.052797,-0.059683,-0.014731,-0.01751,-0.028712,-0.039531,0.0062842,0.00012704,-0.010349,-0.042138,15
0.070116,-0.71363,-1.3511,-1.564,0.02817,-0.81261,-1.4018,-1.5501,-0.29766,-0.0069904,-0.25446,-0.73833,0.1454,0.010512,-0.37098,-1.2965,-0.0084804,-0.072128,-0.11877,-0.13308,-0.0089733,-0.077321,-0.12119,-0.13138,-0.036354,-0.015968,-0.043394,-0.088821,-0.00049874,-0.014965,-0.048964,-0.12611,15
0.032991,-0.094743,-0.20578,-0.2493,-0.073142,-0.20335,-0.29924,-0.33826,0.053697,0.030042,0.073035,0.13916,0.045154,0.051278,0.038859,-0.073614,0.0040285,-0.0075974,-0.016775,-0.019835,-0.0014257,-0.013629,-0.022685,-0.026117,0.0055748,0.0018264,0.001266,0.0020378,0.003501,0.0031622,0.00081111,-0.010203,15
0.045545,0.080353,0.11055,0.11849,-0.080722,-0.091423,-0.075325,-0.07606,0.0069001,-0.11056,-0.19987,-0.184,0.16014,0.15929,0.14818,0.10255,-0.0023241,0.00083063,0.0056085,0.0071174,-0.0042647,-0.0013225,0.0012438,0.0021576,-0.000918,-0.0053112,-0.0083281,-0.0064821,0.0080193,0.008073,0.0080638,0.0079608,17
0.026405,-0.021105,-0.06006,-0.065484,0.055098,-0.021303,-0.053245,-0.064183,-0.020805,-0.062002,-0.16359,-0.20418,0.00098367,-0.0084221,-0.041417,-0.092152,-0.0038957,-0.0082978,-0.010171,-0.0096234,0.0016394,-0.0033433,-0.0050361,-0.005016,-0.0069039,-0.0045462,-0.012189,-0.019856,-0.0046753,-0.0061965,-0.0097201,-0.013317,17
-0.034793,-0.13076,-0.2359,-0.28456,-0.054043,-0.15599,-0.26048,-0.30773,0.11936,0.076068,0.02881,-0.018497,0.071199,0.041749,-0.0070314,-0.1324,-0.0063011,-0.015991,-0.024536,-0.027271,-0.0065075,-0.015627,-0.023441,-0.025921,0.0036606,0.002566,-0.0037101,-0.011379,0.0042151,0.0023077,-0.002002,-0.0133,17
0.073499,0.069081,0.067041,0.050189,0.1038,0.072867,0.035981,-0.0090286,0.046254,0.065626,0.069942,0.054001,0.037589,0.03491,0.043368,-0.0026335,0.0066617,0.0055226,0.0040492,0.0023773,0.0066851,0.0042673,0.00052,-0.0040278,0.0050692,0.0030018,0.0014844,-3.0178e-005,0.0044328,0.0059073,0.007765,0.0041364,17
0.13197,-0.039403,-0.077408,-0.10768,-0.15199,-0.37651,-0.40568,-0.29837,-0.29687,0.066321,0.04216,-0.18134,0.20713,0.13012,0.07498,-0.3127,0.017711,0.021646,0.027106,0.025866,-0.00067074,0.00034542,0.0051751,0.0067583,-0.0078641,0.0029114,0.008431,0.0062758,0.013379,0.013701,0.019066,0.011775,17
-0.077546,-0.28271,-0.40463,-0.42845,-0.24246,-0.46043,-0.56122,-0.52865,-0.013341,-0.18845,-0.30445,-0.40801,0.015624,0.00081433,-0.076423,-0.34594,-0.012446,-0.020882,-0.024184,-0.0229,-0.022957,-0.031752,-0.032004,-0.02877,-0.0099154,-0.0211,-0.030289,-0.033271,-0.0050415,-0.0078724,-0.014212,-0.026047,17
-0.30356,-0.47286,-0.58796,-0.59827,-0.20423,-0.40428,-0.50006,-0.51784,-0.15758,-0.25315,-0.46231,-0.6884,-0.22055,-0.29388,-0.43624,-0.60049,-0.023613,-0.043196,-0.054317,-0.055294,-0.010408,-0.03129,-0.040927,-0.042841,-0.011959,-0.016258,-0.036307,-0.059936,-0.015106,-0.021285,-0.035847,-0.055201,17
0.01329,0.17929,0.30256,0.32969,-0.026185,0.15316,0.27223,0.30102,-0.048554,-0.098817,-0.11837,-0.025997,-0.094759,-0.092437,-0.051621,0.089713,0.0011582,0.02727,0.047498,0.052891,0.0079369,0.037015,0.054167,0.057801,-0.0026358,-0.0035581,-0.0028169,0.010222,-0.010851,-0.0098858,-0.004408,0.02023,17
0.14564,-0.45081,-0.76501,-0.84554,-0.40552,-1.0883,-1.3847,-1.4327,-0.78337,-0.38057,-0.7598,-1.1649,0.24631,0.096775,-0.14807,-1.0588,0.0093157,0.0088019,0.012472,0.013407,-0.017206,-0.021007,-0.018151,-0.018482,-0.026211,-0.031641,-0.042814,-0.041902,0.002097,0.00038231,-0.00019062,-0.011671,17
-0.27516,-0.74189,-1.0695,-1.1445,-0.49634,-1.0359,-1.3183,-1.3934,-0.29935,-0.18684,-0.30866,-0.51071,0.029646,-0.06521,-0.24075,-0.82396,-0.026033,-0.032614,-0.036787,-0.035105,-0.034695,-0.042941,-0.045484,-0.049588,-0.015229,-0.025538,-0.027497,-0.023035,-0.015946,-0.018654,-0.019794,-0.02416,17
-0.73677,-1.5885,-2.0755,-2.1622,-0.67961,-1.5377,-1.9871,-2.0243,-0.37697,-0.47405,-0.92278,-1.526,-0.38992,-0.55401,-0.95187,-1.7717,-0.032933,-0.045245,-0.047917,-0.045806,-0.029073,-0.04118,-0.040222,-0.035404,-0.026429,-0.034527,-0.049981,-0.063744,-0.034269,-0.03787,-0.046513,-0.048406,17
0.0034724,-0.73555,-1.2556,-1.4228,-0.44712,-1.2265,-1.6672,-1.7855,-0.37585,-0.37843,-0.72907,-1.1987,0.22564,0.07304,-0.26204,-1.2648,-0.011481,-0.032788,-0.047909,-0.051731,-0.029406,-0.051122,-0.061193,-0.065239,-0.039925,-0.050343,-0.071269,-0.086736,-0.01474,-0.023453,-0.038074,-0.063627,17
-0.13878,-0.97233,-1.4705,-1.6176,-0.30875,-1.1955,-1.6811,-1.777,-0.54453,0.049066,-0.2961,-0.97338,0.28869,0.097461,-0.31993,-1.4492,-0.013557,-0.056647,-0.080441,-0.086623,-0.025941,-0.072562,-0.096137,-0.10253,-0.044839,-0.019962,-0.040341,-0.07541,0.0028485,-0.009355,-0.032692,-0.092769,17
0.25862,0.65692,0.9362,1.0104,0.12876,0.54151,0.81885,0.88633,0.26689,0.31156,0.50003,0.74716,0.2804,0.37214,0.57965,0.97967,0.018733,0.032926,0.041117,0.042809,0.0063864,0.0202,0.028661,0.029858,0.0060378,0.0095204,0.015563,0.023307,0.020239,0.023259,0.03033,0.038593,17
0.012692,0.0094529,0.0026615,-0.0048293,0.0072949,-0.0072903,0.0041954,0.02059,-0.11078,0.0016134,-0.041586,-0.11934,0.0039679,-0.015553,-0.055094,-0.079908,0.001445,0.0017259,0.0013687,0.00075394,-0.00017956,-0.00066588,0.0002968,0.0010995,-0.0068989,0.00066213,-0.00074643,-0.0041476,0.00072359,-0.00033408,-0.0022867,-0.0035779,17
